phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.122628,-0.121037,0,0
rest,1,200.0,-0.121212,-0.122333,0,0
rest,1,300.0,-0.122987,-0.106222,0,0
rest,1,400.0,-0.121387,-0.116170,0,0
rest,1,500.0,-0.127854,-0.117117,0,0
rest,1,600.0,-0.128467,-0.112927,0,0
rest,1,700.0,-0.117130,-0.114286,0,0
rest,1,800.0,-0.109792,-0.117478,0,0
rest,1,900.0,-0.107872,-0.119658,0,0
rest,1,1000.0,-0.119048,-0.116976,0,0
rest,1,1100.0,-0.111748,-0.124814,0,0
rest,1,1200.0,-0.117143,-0.111748,0,0
rest,1,1300.0,-0.115556,-0.106825,0,0
rest,1,1400.0,-0.119225,-0.117143,0,0
rest,1,1500.0,-0.112069,-0.117478,0,0
rest,1,1600.0,-0.124077,-0.112554,0,0
rest,1,1700.0,-0.117994,-0.115607,0,0
rest,1,1800.0,-0.109039,-0.119658,0,0
rest,1,1900.0,-0.111748,-0.116976,0,0
rest,1,2000.0,-0.109985,-0.114613,0,0
rest,1,2100.0,-0.112069,-0.108883,0,0
rest,1,2200.0,-0.112554,-0.109039,0,0
rest,1,2300.0,-0.109352,-0.109195,0,0
rest,1,2400.0,-0.112069,-0.103896,0,0
rest,1,2500.0,-0.116976,-0.110626,0,0
rest,1,2600.0,-0.121482,-0.111748,0,0
rest,1,2700.0,-0.118343,-0.109985,0,0
rest,1,2800.0,-0.108883,-0.112880,0,0
rest,1,2900.0,-0.111588,-0.113960,0,0
rest,1,3000.0,-0.111952,-0.108346,0,0
rest,1,3100.0,-0.110949,-0.116477,0,0
rest,1,3200.0,-0.111908,-0.109039,0,0
rest,1,3300.0,-0.110787,-0.109195,0,0
rest,1,3400.0,-0.114943,-0.110599,0,0
rest,1,3500.0,-0.111111,-0.099548,0,0
rest,1,3600.0,-0.118343,-0.106416,0,0
rest,1,3700.0,-0.112069,-0.105105,0,0
rest,1,3800.0,-0.109985,-0.101949,0,0
rest,1,3900.0,-0.106782,-0.099099,0,0
rest,1,4000.0,-0.098551,-0.099099,0,0
rest,1,4100.0,-0.105109,-0.102964,0,0
rest,1,4200.0,-0.118721,-0.102167,0,0
rest,1,4300.0,-0.109195,-0.094118,0,0
rest,1,4400.0,-0.114114,-0.106583,0,0
rest,1,4500.0,-0.121662,-0.108984,0,0
rest,1,4600.0,-0.127869,-0.112633,0,0
rest,1,4700.0,-0.116592,-0.102009,0,0
rest,1,4800.0,-0.115085,-0.154696,0,0
rest,1,4900.0,-0.105105,-0.176796,0,0
rest,1,5000.0,-0.112554,-0.187845,0,0
rest,1,5100.0,-0.109668,-0.209945,0,0
rest,1,5200.0,-0.101744,-0.243094,0,0
rest,1,5300.0,-0.102190,-0.209945,0,0
rest,1,5400.0,-0.109966,-0.209302,0,0
rest,1,5500.0,-0.101587,-0.201117,0,0
rest,1,5600.0,-0.105105,-0.223464,0,0
rest,1,5700.0,-0.101010,-0.265193,0,0
rest,1,5800.0,-0.095930,-0.254144,0,0
rest,1,5900.0,-0.110599,-0.248588,0,0
rest,1,6000.0,-0.107946,-0.200000,0,0
rest,1,6100.0,-0.109501,-0.234637,0,0
rest,1,6200.0,-0.097842,-0.198895,0,0
rest,1,6300.0,-0.100430,-0.095101,0,0
rest,1,6400.0,-0.103152,-0.092754,0,0
rest,1,6500.0,-0.097983,-0.093159,0,0
rest,1,6600.0,-0.094675,-0.176796,0,0
rest,1,6700.0,-0.099698,-0.220994,0,0
rest,1,6800.0,-0.089985,-0.209945,0,0
rest,1,6900.0,-0.106918,-0.103448,0,0
rest,1,7000.0,-0.101156,-0.155556,0,0
rest,1,7100.0,-0.096350,-0.187845,0,0
rest,1,7200.0,-0.102564,-0.243094,0,0
rest,1,7300.0,-0.100000,-0.254144,0,0
rest,1,7400.0,-0.099398,-0.243094,0,0
