phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,100.0,-0.115044,-0.122206,0,0
rest,1,200.0,-0.109890,-0.131250,0,0
rest,1,300.0,-0.103704,-0.123308,0,0
rest,1,400.0,-0.104265,-0.115646,0,0
rest,1,500.0,-0.119632,-0.110236,0,0
rest,1,600.0,-0.113671,-0.125392,0,0
rest,1,700.0,-0.112994,-0.117816,0,0
rest,1,800.0,-0.111446,-0.115774,0,0
rest,1,900.0,-0.117450,-0.118343,0,0
rest,1,1000.0,-0.110170,-0.114943,0,0
rest,1,1100.0,-0.111952,-0.120411,0,0
rest,1,1200.0,-0.099573,-0.116110,0,0
rest,1,1300.0,-0.103448,-0.118721,0,0
rest,1,1400.0,-0.104478,-0.114370,0,0
rest,1,1500.0,-0.119850,-0.127103,0,0
rest,1,1600.0,-0.098200,-0.115200,0,0
rest,1,1700.0,-0.101303,-0.107558,0,0
rest,1,1800.0,-0.108984,-0.117302,0,0
rest,1,1900.0,-0.102418,-0.112392,0,0
rest,1,2000.0,-0.111332,-0.156566,0,0
rest,1,2100.0,-0.103152,-0.118012,0,0
rest,1,2200.0,-0.099698,-0.126214,0,0
rest,1,2300.0,-0.103550,-0.106038,0,0
rest,1,2400.0,-0.105417,-0.108187,0,0
rest,1,2500.0,-0.101303,-0.116959,0,0
rest,1,2600.0,-0.096774,-0.102041,0,0
rest,1,2700.0,-0.107937,-0.125448,0,0
rest,1,2800.0,-0.095385,-0.097859,0,0
rest,1,2900.0,-0.096866,-0.100443,0,0
rest,1,3000.0,-0.098009,-0.123577,0,0
rest,1,3100.0,-0.091603,-0.109306,0,0
rest,1,3200.0,-0.093514,-0.100486,0,0
rest,1,3300.0,-0.102256,-0.101190,0,0
rest,1,3400.0,-0.101644,-0.108911,0,0
rest,1,3500.0,-0.100304,-0.105263,0,0
rest,1,3600.0,-0.114901,-0.102041,0,0
rest,1,3700.0,-0.096823,-0.096350,0,0
rest,1,3800.0,-0.090517,-0.140351,0,0
rest,1,3900.0,-0.097778,-0.114467,0,0
rest,1,4000.0,-0.094082,-0.113074,0,0
rest,1,4100.0,-0.101010,-0.116323,0,0
rest,1,4200.0,-0.110345,-0.108235,0,0
rest,1,4300.0,-0.104065,-0.109929,0,0
rest,1,4400.0,-0.093939,-0.103343,0,0
rest,1,4500.0,-0.096774,-0.102819,0,0
rest,1,4600.0,-0.104777,-0.117438,0,0
rest,1,4700.0,-0.100304,-0.104101,0,0
rest,1,4800.0,-0.089645,-0.094368,0,0
rest,1,4900.0,-0.142373,-0.140351,0,0
rest,1,5000.0,-0.096632,-0.094256,0,0
rest,1,5100.0,-0.119048,-0.110132,0,0
rest,1,5200.0,-0.097638,-0.107843,0,0
rest,1,5300.0,-0.094256,-0.103093,0,0
rest,1,5400.0,-0.089506,-0.111465,0,0
rest,1,5500.0,-0.077961,-0.099415,0,0
rest,1,5600.0,-0.086236,-0.091772,0,0
rest,1,5700.0,-0.091743,-0.094937,0,0
rest,1,5800.0,-0.092450,-0.102256,0,0
rest,1,5900.0,-0.094488,-0.106280,0,0
rest,1,6000.0,-0.094340,-0.105839,0,0
rest,1,6100.0,-0.093514,-0.107425,0,0
rest,1,6200.0,-0.085926,-0.098613,0,0
rest,1,6300.0,-0.089506,-0.101538,0,0
rest,1,6400.0,-0.092537,-0.103858,0,0
rest,1,6500.0,-0.090116,-0.094256,0,0
rest,1,6600.0,-0.099352,-0.146154,0,0
rest,1,6700.0,-0.089021,-0.096774,0,0
rest,1,6800.0,-0.084548,-0.090909,0,0
rest,1,6900.0,-0.101781,-0.219048,0,0
rest,1,7000.0,-0.164251,-0.192000,0,0
rest,1,7100.0,-0.087349,-0.088365,0,0
rest,1,7200.0,-0.083077,-0.091205,0,0
rest,1,7300.0,-0.086400,-0.092409,0,0
rest,1,7400.0,-0.105000,-0.181818,0,0
rest,1,7500.0,-0.079268,-0.102473,0,0
rest,1,7600.0,-0.090909,-0.104869,0,0
rest,1,7700.0,-0.100218,-0.167539,0,0
rest,1,7800.0,-0.083095,-0.090116,0,0
rest,1,7900.0,-0.081752,-0.090343,0,0
rest,1,8000.0,-0.081169,-0.079618,0,0
