x,y,radius,charge,species,electrons
-200.007,-120.002,2.500,-0.0000,EC,1
-197.313,-119.810,0.760,1.0000,LithiumIon,0
-194.507,-120.001,2.500,-0.0000,EC,1
-188.496,-120.007,2.500,-0.0000,EC,1
-200.000,-115.003,2.500,-0.0000,DMC,1
-195.000,-114.985,2.500,-0.0000,DMC,1
-187.635,-117.382,0.760,1.0000,LithiumIon,0
-182.170,-119.995,2.500,-0.0000,DMC,1
-177.112,-120.006,2.500,-0.0000,EC,1
-186.895,-114.678,2.500,-0.0000,EC,1
-181.326,-115.041,2.500,-0.0000,DMC,1
-175.612,-117.628,0.760,1.0000,LithiumIon,0
-200.000,-110.004,2.500,-0.0000,EC,1
-199.963,-107.185,0.760,1.0000,LithiumIon,0
-193.129,-108.158,2.500,-0.0000,EC,1
-190.903,-106.379,0.760,1.0000,LithiumIon,0
-200.001,-104.371,2.500,-0.0000,EC,1
-188.867,-104.473,2.500,-0.0000,EC,1
-183.903,-110.444,2.500,-0.0000,DMC,1
-178.555,-109.972,2.500,-0.0000,EC,1
-183.868,-104.379,2.500,-0.0000,DMC,1
-178.637,-104.974,2.500,-0.0000,EC,1
-179.547,-102.275,0.760,1.0000,LithiumIon,0
-171.774,-120.004,2.500,-0.0000,EC,1
-169.419,-118.399,0.760,1.0000,LithiumIon,0
-173.749,-115.407,2.500,-0.0000,EC,1
-167.140,-116.719,2.500,-0.0000,EC,1
-160.575,-120.006,2.500,-0.0000,EC,1
-153.157,-120.008,2.500,-0.0000,EC,1
-158.545,-118.419,0.760,1.0000,LithiumIon,0
-156.882,-116.685,2.000,-1.0000,ElectrolyteAnion,1
-159.919,-112.986,2.500,-0.0000,DMC,1
-157.252,-114.480,0.760,1.0000,LithiumIon,0
-154.536,-117.636,0.760,1.0000,LithiumIon,0
-164.867,-112.266,2.500,-0.0000,DMC,1
-164.789,-104.244,2.500,-0.0000,DMC,1
-154.955,-112.322,2.500,-0.0000,DMC,1
-154.132,-107.208,2.500,-0.0000,DMC,1
-160.143,-101.814,2.500,-0.0000,DMC,1
-155.143,-102.308,2.500,-0.0000,DMC,1
-147.030,-120.002,2.500,-0.0000,EC,1
-144.255,-119.912,0.760,1.0000,LithiumIon,0
-141.476,-120.001,2.500,-0.0000,EC,1
-147.770,-115.058,2.500,-0.0000,DMC,1
-138.947,-115.651,2.500,-0.0000,DMC,1
-136.489,-120.006,2.500,-0.0000,EC,1
-133.502,-119.874,0.760,1.0000,LithiumIon,0
-130.906,-120.002,2.500,-0.0000,EC,1
-125.911,-119.990,2.500,-0.0000,DMC,1
-128.433,-115.656,2.500,-0.0000,DMC,1
-145.566,-110.569,2.500,-0.0000,DMC,1
-148.820,-105.688,2.500,-0.0000,DMC,1
-143.811,-105.872,2.500,-0.0000,DMC,1
-146.158,-101.457,2.500,-0.0000,EC,1
-127.904,-108.487,2.500,-0.0000,DMC,1
-130.414,-102.184,2.500,-0.0000,EC,1
-125.129,-100.245,0.760,1.0000,LithiumIon,0
-120.915,-120.004,2.500,-0.0000,EC,1
-115.632,-120.001,2.500,-0.0000,DMC,1
-118.466,-118.524,0.760,1.0000,LithiumIon,0
-117.744,-115.408,2.500,-0.0000,DMC,1
-112.507,-115.366,2.500,-0.0000,DMC,1
-110.633,-120.002,2.500,-0.0000,EC,1
-107.785,-119.951,0.760,1.0000,LithiumIon,0
-104.920,-120.000,2.500,-0.0000,EC,1
-101.728,-112.726,2.500,-0.0000,EC,1
-121.630,-112.261,2.500,-0.0000,DMC,1
-119.904,-107.561,2.500,-0.0000,DMC,1
-122.710,-103.412,2.500,-0.0000,EC,1
-100.095,-108.515,2.000,-1.0000,ElectrolyteAnion,1
-105.787,-103.977,0.760,1.0000,LithiumIon,0
-103.281,-103.182,2.000,-1.0000,ElectrolyteAnion,1
-106.221,-101.227,1.520,-0.0000,LithiumMetal,1
-101.310,-100.820,0.760,1.0000,LithiumIon,0
-99.922,-120.002,2.500,-0.0000,DMC,1
-92.339,-120.006,2.500,-0.0000,EC,1
-94.368,-118.103,0.760,1.0000,LithiumIon,0
-96.543,-116.317,2.500,-0.0000,EC,1
-89.500,-115.526,2.500,-0.0000,DMC,1
-87.272,-120.003,2.500,-0.0000,DMC,1
-82.214,-120.005,2.500,-0.0000,EC,1
-77.221,-120.002,2.500,-0.0000,DMC,1
-84.497,-118.373,0.760,1.0000,LithiumIon,0
-84.510,-115.197,2.500,-0.0000,DMC,1
-79.523,-115.563,2.500,-0.0000,DMC,1
-99.219,-111.031,0.760,1.0000,LithiumIon,0
-95.908,-111.358,2.500,-0.0000,DMC,1
-98.892,-104.172,2.500,-0.0000,EC,1
-96.722,-101.963,0.760,1.0000,LithiumIon,0
-89.105,-100.598,2.500,-0.0000,DMC,1
-72.225,-120.001,2.500,-0.0000,EC,1
-69.389,-119.882,0.760,1.0000,LithiumIon,0
-66.681,-120.003,2.500,-0.0000,EC,1
-63.807,-115.922,2.500,-0.0000,DMC,1
-67.978,-113.128,2.500,-0.0000,DMC,1
-60.916,-120.001,2.500,-0.0000,EC,1
-58.058,-119.949,0.760,1.0000,LithiumIon,0
-55.219,-120.002,2.500,-0.0000,EC,1
