x,y,radius,charge,species,electrons
-199.209,-117.469,2.500,-0.0000,DMC,1
-191.073,-118.189,2.500,-0.0000,EC,1
-189.726,-115.655,0.760,1.0000,LithiumIon,0
-188.648,-113.117,2.500,-0.0000,EC,1
-186.341,-119.898,2.500,-0.0000,EC,1
-176.563,-118.907,2.000,-1.0000,ElectrolyteAnion,1
-184.225,-114.315,2.000,-1.0000,ElectrolyteAnion,1
-180.054,-115.995,2.500,-0.0000,EC,1
-177.451,-114.983,0.760,1.0000,LithiumIon,0
-196.026,-111.214,2.000,-1.0000,ElectrolyteAnion,1
-197.829,-107.091,2.500,-0.0000,EC,1
-191.057,-108.736,2.500,-0.0000,EC,1
-195.877,-101.069,0.760,1.0000,LithiumIon,0
-193.330,-102.340,2.500,-0.0000,EC,1
-188.336,-102.310,2.500,-0.0000,EC,1
-184.879,-109.390,2.000,-1.0000,ElectrolyteAnion,1
-183.485,-111.695,0.760,1.0000,LithiumIon,0
-180.554,-110.937,2.500,-0.0000,EC,1
-176.363,-109.294,2.000,-1.0000,ElectrolyteAnion,1
-183.367,-105.152,2.500,-0.0000,EC,1
-184.130,-100.713,2.000,-1.0000,ElectrolyteAnion,1
-180.551,-104.973,0.760,1.0000,LithiumIon,0
-177.702,-105.000,2.500,-0.0000,EC,1
-169.098,-118.713,2.500,-0.0000,DMC,1
-174.961,-113.569,2.500,-0.0000,EC,1
-160.449,-114.007,2.500,-0.0000,DMC,1
-151.058,-117.416,2.500,-0.0000,DMC,1
-155.681,-115.510,2.500,-0.0000,DMC,1
-161.338,-105.204,2.500,-0.0000,DMC,1
-156.352,-104.827,2.500,-0.0000,DMC,1
-151.374,-104.355,2.500,-0.0000,DMC,1
-146.778,-120.000,2.500,-0.0000,DMC,1
-134.321,-120.003,2.500,-0.0000,DMC,1
-134.353,-115.005,2.500,-0.0000,EC,1
-142.113,-107.383,2.500,-0.0000,DMC,1
-146.394,-104.800,2.500,-0.0000,DMC,1
-134.535,-110.009,2.500,-0.0000,EC,1
-134.650,-105.013,2.500,-0.0000,EC,1
-134.278,-100.030,2.500,-0.0000,EC,1
-116.670,-119.868,2.500,-0.0000,DMC,1
-104.420,-120.007,2.500,-0.0000,EC,1
-101.759,-119.093,0.760,1.0000,LithiumIon,0
-111.935,-118.261,2.500,-0.0000,DMC,1
-107.652,-116.882,2.000,-1.0000,ElectrolyteAnion,1
-106.727,-112.480,2.500,-0.0000,EC,1
-103.468,-108.690,2.500,-0.0000,EC,1
-107.516,-102.522,2.500,-0.0000,EC,1
-102.670,-103.754,2.500,-0.0000,EC,1
-99.408,-120.002,2.000,-1.0000,ElectrolyteAnion,1
-94.930,-119.561,2.500,-0.0000,EC,1
-89.235,-119.405,2.500,-0.0000,DMC,1
-95.707,-116.871,0.760,1.0000,LithiumIon,0
-96.288,-114.061,2.500,-0.0000,EC,1
-92.175,-115.988,2.000,-1.0000,ElectrolyteAnion,1
-87.891,-114.589,2.500,-0.0000,DMC,1
-84.263,-119.998,2.500,-0.0000,DMC,1
-79.263,-120.000,2.500,-0.0000,DMC,1
-83.071,-113.259,2.500,-0.0000,EC,1
-98.794,-106.913,2.500,-0.0000,EC,1
-91.792,-111.461,2.500,-0.0000,DMC,1
-90.212,-106.717,2.500,-0.0000,EC,1
-97.989,-101.978,2.500,-0.0000,EC,1
-78.145,-112.404,2.500,-0.0000,DMC,1
-75.635,-108.079,2.500,-0.0000,DMC,1
-86.728,-103.130,2.500,-0.0000,EC,1
-82.434,-100.569,2.500,-0.0000,DMC,1
-74.263,-120.000,2.500,-0.0000,DMC,1
-69.263,-119.999,2.500,-0.0000,DMC,1
-64.267,-119.791,2.500,-0.0000,DMC,1
-73.149,-112.621,2.500,-0.0000,DMC,1
-68.152,-112.764,2.500,-0.0000,DMC,1
-63.073,-113.179,2.500,-0.0000,DMC,1
-55.826,-119.960,2.500,-0.0000,DMC,1
-70.674,-107.454,2.500,-0.0000,DMC,1
-65.752,-106.573,2.500,-0.0000,DMC,1
-57.102,-111.917,2.500,-0.0000,DMC,1
-53.674,-108.277,2.500,-0.0000,EC,1
-61.318,-104.262,2.500,-0.0000,DMC,1
-52.685,-103.376,2.500,-0.0000,EC,1
-35.846,-113.209,2.500,-0.0000,DMC,1
-38.682,-101.100,2.500,-0.0000,DMC,1
-31.795,-108.458,2.500,-0.0000,EC,1
-29.130,-104.228,2.500,-0.0000,EC,1
-25.300,-101.023,2.500,-0.0000,EC,1
-21.119,-119.991,2.500,-0.0000,DMC,1
-15.427,-119.653,2.500,-0.0000,DMC,1
-17.779,-115.241,2.500,-0.0000,DMC,1
-3.742,-118.957,0.760,1.0000,LithiumIon,0
-0.981,-119.633,2.500,-0.0000,EC,1
-6.423,-118.196,2.500,-0.0000,EC,1
-7.905,-113.421,2.500,-0.0000,EC,1
-0.701,-115.135,2.000,-1.0000,ElectrolyteAnion,1
-17.057,-110.293,2.500,-0.0000,DMC,1
-3.570,-110.928,2.500,-0.0000,EC,1
-197.867,-99.010,2.500,-0.0000,EC,1
-193.521,-97.843,2.000,-1.0000,ElectrolyteAnion,1
-187.522,-95.545,0.760,1.0000,LithiumIon,0
-190.199,-94.815,2.500,-0.0000,EC,1
-199.797,-92.939,2.500,-0.0000,DMC,1
-193.300,-89.513,2.500,-0.0000,EC,1
-188.911,-90.504,2.000,-1.0000,ElectrolyteAnion,1
-184.750,-96.257,2.500,-0.0000,EC,1
-196.561,-85.722,2.500,-0.0000,EC,1
-200.002,-82.095,2.500,-0.0000,EC,1
-188.755,-78.785,2.500,-0.0000,DMC,1
-185.706,-87.348,2.500,-0.0000,EC,1
-181.495,-84.659,2.500,-0.0000,EC,1
-178.756,-80.480,2.500,-0.0000,EC,1
-176.659,-75.942,2.500,-0.0000,EC,1
-157.873,-94.688,2.500,-0.0000,EC,1
-152.957,-93.775,2.500,-0.0000,DMC,1
-189.613,-73.859,2.500,-0.0000,DMC,1
-192.195,-69.578,2.500,-0.0000,DMC,1
-196.180,-66.557,2.500,-0.0000,EC,1
-177.518,-62.510,2.500,-0.0000,DMC,1
-200.009,-58.774,2.500,-0.0000,EC,1
-195.018,-58.573,2.500,-0.0000,EC,1
-190.029,-58.320,2.500,-0.0000,EC,1
-191.381,-50.714,2.500,-0.0000,DMC,1
-185.057,-57.820,2.500,-0.0000,EC,1
-180.073,-58.213,2.500,-0.0000,EC,1
-175.076,-58.140,2.500,-0.0000,DMC,1
-183.072,-53.232,2.500,-0.0000,DMC,1
-174.467,-71.449,2.500,-0.0000,EC,1
-163.366,-71.737,2.500,-0.0000,DMC,1
-174.010,-66.470,2.500,-0.0000,DMC,1
-169.709,-63.912,2.500,-0.0000,DMC,1
-159.076,-69.168,2.500,-0.0000,DMC,1
-154.119,-68.517,2.500,-0.0000,DMC,1
-170.139,-58.931,2.500,-0.0000,DMC,1
-150.026,-50.464,2.500,-0.0000,EC,1
-138.967,-95.466,2.500,-0.0000,DMC,1
-148.077,-92.690,2.500,-0.0000,DMC,1
-145.634,-88.322,2.500,-0.0000,DMC,1
-143.077,-92.619,2.500,-0.0000,EC,1
-132.584,-95.328,2.500,-0.0000,EC,1
-133.291,-90.379,2.500,-0.0000,EC,1
-128.650,-92.242,2.500,-0.0000,EC,1
-141.802,-83.705,2.500,-0.0000,DMC,1
-141.358,-78.726,2.500,-0.0000,EC,1
-133.876,-85.152,2.500,-0.0000,DMC,1
-129.357,-87.292,2.500,-0.0000,DMC,1
-130.789,-81.219,2.500,-0.0000,DMC,1
-126.403,-78.817,2.500,-0.0000,DMC,1
-120.078,-98.387,2.500,-0.0000,DMC,1
-124.717,-89.155,2.500,-0.0000,DMC,1
-114.172,-92.708,2.500,-0.0000,DMC,1
-101.866,-98.819,2.500,-0.0000,EC,1
-103.959,-94.269,2.500,-0.0000,DMC,1
-111.469,-88.500,2.500,-0.0000,DMC,1
-120.001,-87.495,2.500,-0.0000,DMC,1
-115.436,-85.455,2.500,-0.0000,DMC,1
-121.610,-77.393,2.500,-0.0000,EC,1
-116.665,-76.656,2.500,-0.0000,DMC,1
-109.213,-84.038,2.500,-0.0000,EC,1
-106.347,-79.941,2.500,-0.0000,EC,1
-101.354,-80.276,2.500,-0.0000,DMC,1
-103.600,-76.376,2.000,-1.0000,ElectrolyteAnion,1
-141.330,-73.729,2.500,-0.0000,EC,1
-142.157,-68.801,2.500,-0.0000,EC,1
-144.253,-64.265,2.500,-0.0000,EC,1
-132.846,-64.641,2.500,-0.0000,DMC,1
-146.581,-59.844,2.500,-0.0000,EC,1
-148.333,-55.165,2.500,-0.0000,EC,1
-141.687,-53.415,2.000,0.0000,SEI,0
-138.749,-56.136,2.000,0.0000,SEI,0
-138.931,-50.517,2.000,0.0000,SEI,0
-129.831,-57.069,2.000,0.0000,SEI,0
-134.820,-55.383,2.000,0.0000,SEI,0
-134.932,-50.627,2.000,0.0000,SEI,0
-131.661,-52.929,2.000,0.0000,SEI,0
-126.271,-55.245,2.000,0.0000,SEI,0
-127.240,-50.850,2.500,-0.0000,DMC,1
-123.028,-63.066,2.500,-0.0000,DMC,1
-114.355,-67.284,2.500,-0.0000,DMC,1
-118.114,-63.987,2.500,-0.0000,DMC,1
-106.015,-72.579,2.500,-0.0000,EC,1
-108.618,-68.310,2.500,-0.0000,EC,1
-110.771,-63.797,2.500,-0.0000,DMC,1
-124.175,-58.652,2.000,0.0000,SEI,0
-120.184,-58.924,2.000,0.0000,SEI,0
-114.837,-56.583,2.000,0.0000,SEI,0
-122.456,-52.860,2.500,-0.0000,DMC,1
-118.608,-55.248,2.000,0.0000,SEI,0
-116.501,-51.848,2.000,0.0000,SEI,0
-112.074,-59.475,2.000,0.0000,SEI,0
-107.428,-60.784,2.000,0.0000,SEI,0
-108.534,-56.403,2.500,-0.0000,EC,1
-102.005,-60.486,2.500,-0.0000,DMC,1
-112.125,-52.925,2.500,-0.0000,EC,1
-102.149,-54.995,2.000,0.0000,SEI,0
-105.663,-52.937,2.000,0.0000,SEI,0
-102.705,-50.245,2.000,0.0000,SEI,0
-198.498,-48.017,2.500,-0.0000,DMC,1
-195.317,-44.160,2.500,-0.0000,DMC,1
-188.244,-46.820,2.500,-0.0000,EC,1
-192.684,-39.909,2.500,-0.0000,DMC,1
-179.389,-49.851,2.500,-0.0000,DMC,1
-176.145,-46.047,2.500,-0.0000,DMC,1
-185.906,-42.401,2.500,-0.0000,DMC,1
-183.819,-37.857,2.500,-0.0000,DMC,1
-199.867,-37.486,2.500,-0.0000,DMC,1
-199.099,-32.548,2.500,-0.0000,DMC,1
-191.025,-35.192,2.500,-0.0000,DMC,1
-198.600,-27.575,2.500,-0.0000,EC,1
-191.524,-30.217,2.500,-0.0000,DMC,1
-172.579,-42.542,2.500,-0.0000,DMC,1
-168.914,-39.142,2.500,-0.0000,DMC,1
-151.695,-45.755,2.500,-0.0000,EC,1
-153.770,-41.209,2.500,-0.0000,EC,1
-167.904,-34.245,2.500,-0.0000,DMC,1
-164.364,-31.468,2.000,-1.0000,ElectrolyteAnion,1
-168.341,-29.100,2.500,-0.0000,EC,1
-165.314,-28.930,0.760,1.0000,LithiumIon,0
-166.321,-25.066,2.000,-1.0000,ElectrolyteAnion,1
