x,y,radius,charge,species,electrons
-190.649,-119.986,2.000,-1.0000,ElectrolyteAnion,1
-188.174,-120.081,0.760,1.0000,LithiumIon,0
-194.117,-117.116,2.500,-0.0000,EC,1
-195.517,-112.833,2.000,-1.0000,ElectrolyteAnion,1
-192.484,-114.843,0.760,1.0000,LithiumIon,0
-186.183,-118.387,2.500,-0.0000,EC,1
-186.783,-113.928,2.000,-1.0000,ElectrolyteAnion,1
-199.999,-112.426,2.500,-0.0000,EC,1
-196.048,-108.359,2.500,-0.0000,DMC,1
-191.023,-112.420,2.500,-0.0000,EC,1
-182.700,-112.036,2.500,-0.0000,EC,1
-178.004,-110.322,2.500,-0.0000,EC,1
-177.333,-101.532,2.500,-0.0000,DMC,1
-162.680,-119.824,2.500,-0.0000,DMC,1
-172.294,-117.072,2.500,-0.0000,EC,1
-167.482,-118.432,2.500,-0.0000,EC,1
-153.042,-113.762,2.500,-0.0000,DMC,1
-173.440,-108.279,2.500,-0.0000,EC,1
-168.547,-107.249,2.500,-0.0000,DMC,1
-168.330,-102.250,2.500,-0.0000,DMC,1
-162.432,-112.371,2.500,-0.0000,DMC,1
-157.507,-111.511,2.500,-0.0000,DMC,1
-150.115,-106.878,2.500,-0.0000,DMC,1
-159.465,-100.839,2.500,-0.0000,EC,1
-153.062,-102.833,2.500,-0.0000,DMC,1
-142.988,-120.112,0.760,1.0000,LithiumIon,0
-140.609,-120.006,2.000,-1.0000,ElectrolyteAnion,1
-144.790,-118.261,2.500,-0.0000,EC,1
-143.840,-113.862,2.000,-1.0000,ElectrolyteAnion,1
-139.678,-115.608,2.500,-0.0000,EC,1
-140.219,-112.855,0.760,1.0000,LithiumIon,0
-135.933,-119.741,2.500,-0.0000,DMC,1
-125.410,-118.765,2.500,-0.0000,DMC,1
-130.075,-116.350,2.500,-0.0000,DMC,1
-126.169,-113.225,2.500,-0.0000,EC,1
-147.444,-111.113,2.500,-0.0000,DMC,1
-141.200,-110.211,2.500,-0.0000,EC,1
-128.082,-107.008,2.500,-0.0000,DMC,1
-120.565,-117.529,2.500,-0.0000,DMC,1
-107.623,-119.094,2.500,-0.0000,DMC,1
-102.677,-119.832,2.500,-0.0000,DMC,1
-110.269,-114.852,2.500,-0.0000,DMC,1
