x,y,radius,charge,species,electrons
-200.006,-114.722,2.500,-0.0000,EC,1
-197.204,-114.359,0.760,1.0000,LithiumIon,0
-194.419,-114.733,2.500,-0.0000,EC,1
-178.176,-119.932,2.500,-0.0000,DMC,1
-184.884,-115.082,2.500,-0.0000,DMC,1
-175.631,-114.457,2.500,-0.0000,EC,1
-200.001,-109.721,2.500,-0.0000,EC,1
-195.762,-107.070,2.500,-0.0000,EC,1
-192.862,-110.511,2.000,-1.0000,ElectrolyteAnion,1
-188.366,-110.310,2.500,-0.0000,EC,1
-200.000,-104.418,2.500,-0.0000,DMC,1
-183.367,-110.318,2.500,-0.0000,DMC,1
-178.367,-110.272,2.500,-0.0000,EC,1
-185.861,-105.983,2.500,-0.0000,DMC,1
-183.425,-101.616,2.500,-0.0000,DMC,1
-180.763,-105.882,2.500,-0.0000,DMC,1
-176.904,-101.057,2.500,-0.0000,EC,1
-173.289,-118.874,2.500,-0.0000,DMC,1
-168.293,-119.374,2.500,-0.0000,DMC,1
-162.254,-118.869,2.500,-0.0000,DMC,1
-157.276,-119.334,2.500,-0.0000,DMC,1
-152.320,-120.000,2.500,-0.0000,DMC,1
-158.936,-113.665,2.500,-0.0000,DMC,1
-150.431,-113.796,2.500,-0.0000,DMC,1
-162.893,-108.988,2.500,-0.0000,EC,1
-171.918,-100.697,2.500,-0.0000,EC,1
-157.898,-108.774,2.500,-0.0000,EC,1
-157.507,-103.792,2.500,-0.0000,EC,1
-162.430,-102.905,2.500,-0.0000,EC,1
-142.410,-119.394,2.500,-0.0000,DMC,1
-145.640,-115.344,2.500,-0.0000,DMC,1
-140.685,-114.679,2.500,-0.0000,DMC,1
-137.426,-119.782,2.500,-0.0000,DMC,1
-132.426,-119.831,2.500,-0.0000,DMC,1
-127.447,-119.368,2.500,-0.0000,DMC,1
-139.693,-102.040,2.500,-0.0000,EC,1
-137.166,-106.354,2.500,-0.0000,EC,1
-134.479,-105.554,0.760,1.0000,LithiumIon,0
-131.758,-104.857,2.500,-0.0000,EC,1
-132.887,-100.501,2.000,-1.0000,ElectrolyteAnion,1
-122.459,-119.711,2.500,-0.0000,DMC,1
-124.010,-113.781,2.500,-0.0000,DMC,1
-119.316,-115.503,2.500,-0.0000,DMC,1
-114.965,-117.967,2.500,-0.0000,DMC,1
-110.139,-119.273,2.500,-0.0000,DMC,1
-105.140,-119.394,2.500,-0.0000,DMC,1
-100.142,-119.254,2.500,-0.0000,DMC,1
-104.272,-114.042,2.500,-0.0000,DMC,1
-117.184,-106.429,2.500,-0.0000,DMC,1
-112.824,-108.877,2.500,-0.0000,EC,1
-108.661,-111.646,2.500,-0.0000,EC,1
-104.564,-106.153,2.500,-0.0000,DMC,1
-105.717,-101.003,2.500,-0.0000,DMC,1
-95.446,-117.517,2.500,-0.0000,DMC,1
-99.278,-114.305,2.500,-0.0000,DMC,1
-88.213,-114.621,2.500,-0.0000,DMC,1
-83.243,-115.198,2.500,-0.0000,EC,1
-80.796,-113.783,0.760,1.0000,LithiumIon,0
-78.161,-112.875,2.500,-0.0000,EC,1
-98.593,-105.197,2.500,-0.0000,DMC,1
-85.228,-110.608,2.500,-0.0000,EC,1
-82.142,-107.215,2.000,-1.0000,ElectrolyteAnion,1
-85.898,-102.788,2.500,-0.0000,EC,1
-83.092,-102.987,0.760,1.0000,LithiumIon,0
-80.231,-102.891,2.500,-0.0000,EC,1
-71.970,-119.934,2.500,-0.0000,DMC,1
-66.903,-119.914,2.500,-0.0000,DMC,1
-70.206,-114.124,2.500,-0.0000,DMC,1
-65.104,-114.977,2.500,-0.0000,DMC,1
-50.276,-119.823,2.500,-0.0000,DMC,1
-61.415,-118.363,2.500,-0.0000,DMC,1
-60.306,-113.487,2.500,-0.0000,EC,1
-73.724,-110.571,2.500,-0.0000,EC,1
-68.952,-109.075,2.500,-0.0000,DMC,1
-57.273,-109.512,2.500,-0.0000,EC,1
-54.406,-105.418,2.500,-0.0000,EC,1
-53.581,-100.486,2.500,-0.0000,EC,1
-47.674,-115.554,2.500,-0.0000,DMC,1
-39.668,-113.784,2.500,-0.0000,DMC,1
-25.319,-120.007,2.500,-0.0000,EC,1
-34.441,-117.177,2.500,-0.0000,DMC,1
-26.050,-117.294,0.760,1.0000,LithiumIon,0
-26.401,-114.464,2.500,-0.0000,EC,1
-45.388,-111.107,2.500,-0.0000,DMC,1
-42.015,-107.416,2.500,-0.0000,DMC,1
-37.881,-104.604,2.500,-0.0000,DMC,1
-35.534,-110.972,2.500,-0.0000,DMC,1
-26.140,-109.325,2.500,-0.0000,EC,1
-27.752,-107.075,0.760,1.0000,LithiumIon,0
-29.167,-104.604,2.500,-0.0000,EC,1
-19.446,-120.002,2.500,-0.0000,DMC,1
-14.436,-119.736,2.500,-0.0000,DMC,1
-22.385,-116.593,2.000,-1.0000,ElectrolyteAnion,1
-18.058,-115.199,2.500,-0.0000,DMC,1
-9.436,-119.779,2.500,-0.0000,DMC,1
-0.110,-119.814,2.500,-0.0000,DMC,1
-7.878,-113.703,2.500,-0.0000,DMC,1
-4.885,-117.709,2.500,-0.0000,DMC,1
-2.974,-112.732,2.500,-0.0000,EC,1
-21.990,-112.111,2.500,-0.0000,EC,1
-18.283,-109.559,2.000,-1.0000,ElectrolyteAnion,1
-14.384,-111.807,2.500,-0.0000,EC,1
-14.707,-106.818,2.500,-0.0000,EC,1
-24.690,-105.061,2.000,-1.0000,ElectrolyteAnion,1
-20.211,-105.490,2.500,-0.0000,EC,1
-17.494,-105.944,0.760,1.0000,LithiumIon,0
-10.224,-109.030,2.500,-0.0000,DMC,1
-2.807,-100.358,2.500,-0.0000,DMC,1
-197.063,-99.027,2.500,-0.0000,DMC,1
-200.001,-94.982,2.500,-0.0000,EC,1
-190.758,-97.375,2.500,-0.0000,DMC,1
-198.113,-90.355,2.500,-0.0000,EC,1
-180.488,-97.570,2.500,-0.0000,EC,1
-182.027,-92.813,2.500,-0.0000,DMC,1
-196.211,-85.734,2.500,-0.0000,EC,1
-193.213,-81.736,2.500,-0.0000,EC,1
-190.486,-77.549,2.500,-0.0000,EC,1
-182.108,-83.080,2.500,-0.0000,DMC,1
-167.155,-99.176,2.500,-0.0000,EC,1
-162.722,-98.412,2.000,-1.0000,ElectrolyteAnion,1
-167.399,-88.103,2.500,-0.0000,EC,1
-158.249,-98.848,2.500,-0.0000,EC,1
-156.321,-96.868,0.760,1.0000,LithiumIon,0
-154.807,-94.559,2.500,-0.0000,EC,1
-160.160,-93.611,2.500,-0.0000,EC,1
-156.752,-89.953,2.500,-0.0000,EC,1
-168.873,-85.713,0.760,1.0000,LithiumIon,0
-169.982,-83.133,2.500,-0.0000,EC,1
-164.868,-84.365,2.000,-1.0000,ElectrolyteAnion,1
-174.303,-80.622,2.500,-0.0000,DMC,1
-166.184,-79.882,2.500,-0.0000,EC,1
-158.288,-85.195,2.500,-0.0000,EC,1
-161.236,-80.601,2.500,-0.0000,EC,1
-158.890,-76.186,2.500,-0.0000,EC,1
-156.236,-80.635,2.500,-0.0000,EC,1
-151.778,-81.247,2.000,-1.0000,ElectrolyteAnion,1
-197.578,-70.242,2.500,-0.0000,DMC,1
-187.581,-73.482,2.500,-0.0000,EC,1
-200.000,-62.673,2.500,-0.0000,DMC,1
-192.837,-68.653,2.500,-0.0000,DMC,1
-189.412,-65.010,2.500,-0.0000,EC,1
-183.955,-70.043,2.500,-0.0000,EC,1
-195.426,-60.653,2.500,-0.0000,DMC,1
-191.244,-57.912,2.500,-0.0000,DMC,1
-185.300,-62.166,2.500,-0.0000,EC,1
-181.322,-59.137,2.500,-0.0000,DMC,1
-181.725,-50.498,2.500,-0.0000,DMC,1
-163.126,-67.027,2.500,-0.0000,EC,1
-154.548,-73.711,2.500,-0.0000,EC,1
-151.910,-74.656,0.760,1.0000,LithiumIon,0
-152.636,-69.091,2.500,-0.0000,EC,1
-158.399,-68.723,2.500,-0.0000,EC,1
-159.302,-63.805,2.500,-0.0000,EC,1
-162.567,-55.132,2.500,-0.0000,EC,1
-163.683,-50.259,2.500,-0.0000,EC,1
-158.111,-57.399,2.500,-0.0000,EC,1
-153.114,-57.535,2.500,-0.0000,EC,1
-143.759,-98.927,2.500,-0.0000,EC,1
-139.116,-97.073,2.500,-0.0000,EC,1
-144.663,-88.373,2.500,-0.0000,EC,1
-133.990,-88.508,2.500,-0.0000,EC,1
-148.926,-84.723,2.500,-0.0000,EC,1
-146.805,-86.574,0.760,1.0000,LithiumIon,0
-149.394,-75.946,2.500,-0.0000,EC,1
-143.168,-77.141,2.500,-0.0000,EC,1
-136.930,-84.447,2.500,-0.0000,EC,1
-125.046,-83.271,2.500,-0.0000,DMC,1
-137.327,-77.971,2.500,-0.0000,DMC,1
-126.510,-78.490,2.500,-0.0000,EC,1
-131.088,-76.481,2.500,-0.0000,EC,1
-119.941,-94.572,2.500,-0.0000,EC,1
-114.961,-95.010,2.500,-0.0000,EC,1
-124.024,-91.380,2.500,-0.0000,EC,1
-119.717,-90.078,2.000,-1.0000,ElectrolyteAnion,1
-116.016,-87.525,2.500,-0.0000,EC,1
-109.964,-94.931,2.500,-0.0000,EC,1
-107.156,-95.146,0.760,1.0000,LithiumIon,0
-104.428,-95.396,2.500,-0.0000,EC,1
-102.621,-90.734,2.500,-0.0000,EC,1
-106.133,-87.920,2.000,-1.0000,ElectrolyteAnion,1
-120.664,-85.679,2.500,-0.0000,EC,1
-114.003,-85.656,0.760,1.0000,LithiumIon,0
-116.854,-82.442,2.500,-0.0000,EC,1
-121.118,-80.906,2.000,-1.0000,ElectrolyteAnion,1
-117.712,-79.713,0.760,1.0000,LithiumIon,0
-118.722,-77.084,2.500,-0.0000,EC,1
-111.986,-83.578,2.500,-0.0000,EC,1
-100.245,-86.128,2.500,-0.0000,EC,1
-102.626,-84.584,0.760,1.0000,LithiumIon,0
-105.161,-83.526,2.500,-0.0000,EC,1
-102.989,-79.585,2.000,-1.0000,ElectrolyteAnion,1
-105.584,-75.914,2.500,-0.0000,EC,1
-144.818,-72.421,2.500,-0.0000,EC,1
-148.146,-69.393,2.000,-1.0000,ElectrolyteAnion,1
-145.676,-62.956,2.500,-0.0000,DMC,1
-143.699,-67.548,2.500,-0.0000,DMC,1
-138.588,-67.682,2.500,-0.0000,DMC,1
-132.423,-71.662,2.500,-0.0000,EC,1
-135.153,-64.020,2.500,-0.0000,DMC,1
-148.244,-58.666,2.500,-0.0000,EC,1
-139.240,-60.732,2.500,-0.0000,DMC,1
-139.259,-53.631,2.000,0.0000,SEI,0
-136.103,-56.838,2.500,-0.0000,DMC,1
-126.092,-59.463,2.500,-0.0000,DMC,1
-134.859,-51.227,2.000,0.0000,SEI,0
-126.215,-54.464,2.500,-0.0000,DMC,1
-131.002,-52.631,2.000,0.0000,SEI,0
-123.207,-74.737,2.500,-0.0000,EC,1
-117.388,-72.267,2.500,-0.0000,EC,1
-113.496,-64.548,2.500,-0.0000,EC,1
-109.290,-73.359,2.000,-1.0000,ElectrolyteAnion,1
-105.504,-73.159,0.760,1.0000,LithiumIon,0
-105.657,-70.343,2.500,-0.0000,EC,1
-110.235,-68.338,2.500,-0.0000,EC,1
-103.338,-65.913,2.500,-0.0000,DMC,1
-114.234,-59.529,2.500,-0.0000,DMC,1
-123.912,-50.596,2.000,0.0000,SEI,0
-119.923,-50.894,2.000,0.0000,SEI,0
-117.820,-54.307,2.000,0.0000,SEI,0
-112.669,-55.100,2.000,0.0000,SEI,0
-114.687,-51.077,2.500,-0.0000,DMC,1
-105.325,-61.325,2.500,-0.0000,DMC,1
-100.858,-59.841,2.000,0.0000,SEI,0
-103.772,-57.101,2.000,0.0000,SEI,0
-108.821,-54.010,2.000,0.0000,SEI,0
-110.265,-50.246,2.000,0.0000,SEI,0
-104.891,-53.261,2.000,0.0000,SEI,0
-102.359,-50.016,2.000,0.0000,SEI,0
-195.309,-44.441,2.500,-0.0000,EC,1
-191.191,-47.274,2.500,-0.0000,EC,1
-198.142,-40.321,2.500,-0.0000,EC,1
-189.858,-40.217,2.500,-0.0000,DMC,1
-186.464,-48.903,2.500,-0.0000,EC,1
-180.856,-45.574,2.500,-0.0000,DMC,1
-185.038,-41.546,2.500,-0.0000,DMC,1
-178.959,-40.948,2.500,-0.0000,DMC,1
-200.001,-35.681,2.500,-0.0000,EC,1
-200.000,-30.682,2.500,-0.0000,EC,1
-199.744,-25.688,2.500,-0.0000,EC,1
-189.238,-28.353,2.500,-0.0000,DMC,1
-165.863,-48.643,0.760,1.0000,LithiumIon,0
-168.104,-47.012,2.500,-0.0000,EC,1
-170.612,-42.688,2.500,-0.0000,EC,1
-174.842,-38.112,2.500,-0.0000,EC,1
-170.208,-38.206,2.000,-1.0000,ElectrolyteAnion,1
-164.889,-41.268,2.500,-0.0000,DMC,1
-158.693,-49.977,2.500,-0.0000,EC,1
-153.695,-49.826,2.500,-0.0000,EC,1
-158.888,-40.302,2.500,-0.0000,DMC,1
-174.078,-33.171,2.500,-0.0000,EC,1
-171.323,-33.543,0.760,1.0000,LithiumIon,0
-164.145,-36.325,2.500,-0.0000,DMC,1
-168.571,-34.013,2.500,-0.0000,EC,1
-174.412,-28.183,2.500,-0.0000,DMC,1
-166.623,-28.819,2.500,-0.0000,DMC,1
-161.803,-31.373,2.500,-0.0000,DMC,1
-156.804,-31.284,2.500,-0.0000,DMC,1
-151.845,-31.922,2.500,-0.0000,DMC,1
-196.580,-13.759,2.500,-0.0000,DMC,1
-175.803,-23.381,2.500,-0.0000,EC,1
-187.492,-18.631,2.500,-0.0000,DMC,1
-177.199,-18.582,2.500,-0.0000,EC,1
-178.904,-13.881,2.500,-0.0000,EC,1
-194.886,-9.055,2.500,-0.0000,EC,1
-190.691,-6.335,2.500,-0.0000,DMC,1
-199.850,-4.100,2.500,-0.0000,DMC,1
-195.940,-0.984,2.500,-0.0000,DMC,1
-188.035,-1.150,2.500,-0.0000,DMC,1
-181.405,-10.141,2.000,-1.0000,ElectrolyteAnion,1
-186.531,-9.361,2.500,-0.0000,EC,1
-175.802,-9.868,2.500,-0.0000,DMC,1
-184.579,-4.758,2.500,-0.0000,EC,1
-181.872,-5.423,0.760,1.0000,LithiumIon,0
-179.195,-6.200,2.500,-0.0000,EC,1
-164.233,-24.427,2.500,-0.0000,EC,1
-166.521,-14.336,2.500,-0.0000,DMC,1
-160.778,-20.813,2.500,-0.0000,EC,1
-156.542,-18.156,2.500,-0.0000,EC,1
-171.393,-2.758,2.500,-0.0000,EC,1
-166.478,-3.679,2.500,-0.0000,EC,1
-162.276,-11.297,2.500,-0.0000,EC,1
-157.641,-9.423,2.500,-0.0000,DMC,1
-143.030,-49.227,2.500,-0.0000,DMC,1
-138.554,-49.693,2.000,0.0000,SEI,0
-143.333,-43.944,2.000,0.0000,SEI,0
-139.849,-45.908,2.000,0.0000,SEI,0
-138.100,-41.984,2.000,0.0000,SEI,0
-143.523,-39.158,2.500,-0.0000,DMC,1
-138.478,-38.484,1.520,-0.0000,FoilMetal,1
-131.700,-48.693,2.000,0.0000,SEI,0
-135.352,-46.063,2.500,-0.0000,DMC,1
-127.856,-49.923,2.000,0.0000,SEI,0
-128.786,-45.953,2.000,0.0000,SEI,0
-134.107,-41.739,2.000,0.0000,SEI,0
-135.438,-38.480,1.520,-0.0000,FoilMetal,1
-132.398,-38.480,1.520,-0.0000,FoilMetal,1
-130.111,-41.918,2.000,0.0000,SEI,0
-126.228,-42.877,2.000,0.0000,SEI,0
-129.358,-38.479,1.520,-0.0000,FoilMetal,1
-126.318,-38.480,1.520,-0.0000,FoilMetal,1
-146.682,-34.801,2.750,0.0000,SEI,0
-141.514,-35.608,1.520,-1.0000,LithiumMetal,2
-138.479,-35.444,1.520,-0.0000,FoilMetal,1
-142.444,-31.693,2.500,-0.0000,DMC,1
-138.477,-32.404,1.520,-0.0000,FoilMetal,1
-147.456,-29.028,2.750,0.0000,SEI,0
-138.479,-29.364,1.520,-0.0000,FoilMetal,1
-141.114,-27.840,1.520,-0.0000,LithiumMetal,1
-138.479,-26.324,1.520,-0.0000,FoilMetal,1
-135.439,-35.440,1.520,-0.0000,FoilMetal,1
-132.399,-35.440,1.520,-0.0000,FoilMetal,1
-135.437,-32.400,1.520,-0.0000,FoilMetal,1
-132.397,-32.400,1.520,-0.0000,FoilMetal,1
-129.359,-35.439,1.520,-0.0000,FoilMetal,1
-126.319,-35.440,1.520,-0.0000,FoilMetal,1
-129.357,-32.399,1.520,-0.0000,FoilMetal,1
-126.317,-32.400,1.520,-0.0000,FoilMetal,1
-135.439,-29.360,1.520,-0.0000,FoilMetal,1
-132.399,-29.360,1.520,-0.0000,FoilMetal,1
-135.439,-26.320,1.520,-0.0000,FoilMetal,1
-132.399,-26.320,1.520,-0.0000,FoilMetal,1
-129.359,-29.359,1.520,-0.0000,FoilMetal,1
-126.319,-29.360,1.520,-0.0000,FoilMetal,1
-129.359,-26.319,1.520,-0.0000,FoilMetal,1
-126.319,-26.320,1.520,-0.0000,FoilMetal,1
-120.869,-47.007,2.000,0.0000,SEI,0
-124.858,-46.710,2.000,0.0000,SEI,0
-116.866,-47.140,2.000,0.0000,SEI,0
-113.189,-45.566,2.000,0.0000,SEI,0
-122.355,-41.877,2.000,0.0000,SEI,0
-118.751,-43.612,2.000,0.0000,SEI,0
-123.278,-38.480,1.520,-0.0000,FoilMetal,1
-120.239,-38.448,1.520,-0.0000,LithiumMetal,1
-115.075,-42.037,2.000,0.0000,SEI,0
-117.201,-38.424,1.520,-0.0000,LithiumMetal,1
-114.170,-38.635,1.520,-1.0000,LithiumMetal,2
-106.329,-49.529,2.000,0.0000,SEI,0
-108.691,-45.698,2.500,-0.0000,DMC,1
-104.176,-45.694,2.000,0.0000,SEI,0
-111.078,-41.883,2.000,0.0000,SEI,0
-111.144,-38.364,1.520,-0.0000,LithiumMetal,1
-108.108,-38.491,1.520,-0.0000,LithiumMetal,1
-105.966,-42.117,2.000,0.0000,SEI,0
-101.786,-42.115,2.000,0.0000,SEI,0
-105.078,-38.711,1.520,-0.0000,LithiumMetal,1
-102.042,-38.604,1.520,-0.0000,LithiumMetal,1
-123.279,-35.440,1.520,-0.0000,FoilMetal,1
-120.239,-35.409,1.520,-0.0000,LithiumMetal,1
-123.277,-32.400,1.520,-0.0000,FoilMetal,1
-120.238,-32.371,1.520,-0.0000,LithiumMetal,1
-117.202,-35.385,1.520,-0.0000,LithiumMetal,1
-114.171,-35.595,1.520,-0.0000,LithiumMetal,1
-117.200,-32.347,1.520,-0.0000,LithiumMetal,1
-114.168,-32.556,1.520,-0.0000,LithiumMetal,1
-123.279,-29.360,1.520,-0.0000,FoilMetal,1
-120.239,-29.333,1.520,-0.0000,LithiumMetal,1
-123.279,-26.320,1.520,-0.0000,FoilMetal,1
-120.239,-26.294,1.520,-0.0000,LithiumMetal,1
-117.201,-29.308,1.520,-0.0000,LithiumMetal,1
-114.169,-29.516,1.520,-0.0000,LithiumMetal,1
-117.201,-26.270,1.520,-0.0000,LithiumMetal,1
-114.169,-26.476,1.520,-0.0000,LithiumMetal,1
-111.143,-35.326,1.520,-0.0000,LithiumMetal,1
-108.107,-35.452,1.520,-0.0000,LithiumMetal,1
-111.142,-32.287,1.520,-0.0000,LithiumMetal,1
-108.106,-32.413,1.520,-0.0000,LithiumMetal,1
-105.077,-35.671,1.520,-0.0000,LithiumMetal,1
-102.040,-35.565,1.520,-0.0000,LithiumMetal,1
-105.076,-32.632,1.520,-0.0000,LithiumMetal,1
-102.039,-32.525,1.520,-0.0000,LithiumMetal,1
-111.142,-29.249,1.520,-0.0000,LithiumMetal,1
-108.106,-29.373,1.520,-0.0000,LithiumMetal,1
-111.142,-26.210,1.520,-0.0000,LithiumMetal,1
-108.106,-26.334,1.520,-0.0000,LithiumMetal,1
-105.076,-29.593,1.520,-0.0000,LithiumMetal,1
-102.039,-29.486,1.520,-0.0000,LithiumMetal,1
-105.075,-26.555,1.520,-0.0000,LithiumMetal,1
-102.038,-26.447,1.520,-0.0000,LithiumMetal,1
-148.210,-23.431,2.750,0.0000,SEI,0
-142.720,-23.764,2.750,0.0000,SEI,0
-138.477,-23.284,1.520,-0.0000,FoilMetal,1
-138.477,-20.244,1.520,-0.0000,FoilMetal,1
-144.620,-13.614,2.750,0.0000,SEI,0
-142.334,-18.352,2.500,-0.0000,DMC,1
-138.477,-17.204,1.520,-0.0000,FoilMetal,1
-138.477,-14.164,1.520,-0.0000,FoilMetal,1
-135.437,-23.280,1.520,-0.0000,FoilMetal,1
-132.397,-23.280,1.520,-0.0000,FoilMetal,1
-135.437,-20.240,1.520,-0.0000,FoilMetal,1
-132.397,-20.240,1.520,-0.0000,FoilMetal,1
-129.357,-23.280,1.520,-0.0000,FoilMetal,1
-126.317,-23.280,1.520,-0.0000,FoilMetal,1
-129.357,-20.240,1.520,-0.0000,FoilMetal,1
-126.317,-20.240,1.520,-0.0000,FoilMetal,1
-135.437,-17.200,1.520,-0.0000,FoilMetal,1
-132.397,-17.200,1.520,-0.0000,FoilMetal,1
-135.437,-14.160,1.520,-0.0000,FoilMetal,1
-132.397,-14.160,1.520,-0.0000,FoilMetal,1
-129.357,-17.200,1.520,-0.0000,FoilMetal,1
-126.317,-17.200,1.520,-0.0000,FoilMetal,1
-129.357,-14.160,1.520,-0.0000,FoilMetal,1
-126.317,-14.160,1.520,-0.0000,FoilMetal,1
-138.477,-11.124,1.520,-0.0000,FoilMetal,1
-142.889,-8.393,2.750,0.0000,SEI,0
-138.478,-8.084,1.520,-0.0000,FoilMetal,1
-147.246,-4.063,2.500,-0.0000,DMC,1
-142.326,-3.173,2.500,-0.0000,DMC,1
-138.478,-5.044,1.520,-0.0000,FoilMetal,1
-138.480,-2.004,1.520,-0.0000,FoilMetal,1
-135.437,-11.120,1.520,-0.0000,FoilMetal,1
-132.397,-11.120,1.520,-0.0000,FoilMetal,1
-135.438,-8.080,1.520,-0.0000,FoilMetal,1
-132.398,-8.080,1.520,-0.0000,FoilMetal,1
-129.357,-11.120,1.520,-0.0000,FoilMetal,1
-126.317,-11.120,1.520,-0.0000,FoilMetal,1
-129.358,-8.080,1.520,-0.0000,FoilMetal,1
-126.318,-8.080,1.520,-0.0000,FoilMetal,1
-135.438,-5.040,1.520,-0.0000,FoilMetal,1
-132.398,-5.040,1.520,-0.0000,FoilMetal,1
-135.440,-2.000,1.520,-0.0000,FoilMetal,1
-132.400,-2.000,1.520,-0.0000,FoilMetal,1
-129.358,-5.040,1.520,-0.0000,FoilMetal,1
-126.318,-5.040,1.520,-0.0000,FoilMetal,1
-129.360,-2.000,1.520,-0.0000,FoilMetal,1
-126.320,-2.000,1.520,-0.0000,FoilMetal,1
-123.277,-23.280,1.520,-0.0000,FoilMetal,1
-120.237,-23.256,1.520,-0.0000,LithiumMetal,1
-123.277,-20.240,1.520,-0.0000,FoilMetal,1
-120.237,-20.218,1.520,-0.0000,LithiumMetal,1
-117.199,-23.232,1.520,-0.0000,LithiumMetal,1
-114.168,-23.437,1.520,-0.0000,LithiumMetal,1
-117.199,-20.193,1.520,-0.0000,LithiumMetal,1
-114.168,-20.397,1.520,-0.0000,LithiumMetal,1
-123.277,-17.200,1.520,-0.0000,FoilMetal,1
-120.237,-17.179,1.520,-0.0000,LithiumMetal,1
-123.277,-14.160,1.520,-0.0000,FoilMetal,1
-120.238,-14.140,1.520,-0.0000,LithiumMetal,1
-117.199,-17.155,1.520,-0.0000,LithiumMetal,1
-114.168,-17.357,1.520,-0.0000,LithiumMetal,1
-117.200,-14.116,1.520,-0.0000,LithiumMetal,1
-114.168,-14.317,1.520,-0.0000,LithiumMetal,1
-111.141,-23.172,1.520,-0.0000,LithiumMetal,1
-108.105,-23.295,1.520,-0.0000,LithiumMetal,1
