x,y,radius,charge,species,electrons
-187.538,-113.006,2.500,-0.0000,EC,1
-175.562,-119.757,2.500,-0.0000,DMC,1
-195.277,-101.495,2.500,-0.0000,EC,1
-190.387,-102.538,2.500,-0.0000,EC,1
-184.298,-109.198,2.500,-0.0000,EC,1
-177.326,-107.546,2.500,-0.0000,EC,1
-185.742,-104.387,2.500,-0.0000,DMC,1
-181.440,-105.722,2.000,-1.0000,ElectrolyteAnion,1
-181.056,-101.238,2.500,-0.0000,EC,1
-172.189,-115.277,2.500,-0.0000,DMC,1
-164.982,-116.273,2.500,-0.0000,EC,1
-161.576,-119.934,2.500,-0.0000,DMC,1
-159.944,-115.207,2.500,-0.0000,DMC,1
-154.690,-114.951,2.500,-0.0000,EC,1
-173.208,-110.382,2.500,-0.0000,EC,1
-168.117,-112.376,2.500,-0.0000,DMC,1
-166.520,-107.586,2.500,-0.0000,DMC,1
-172.124,-101.854,2.500,-0.0000,DMC,1
-162.709,-104.786,2.000,-1.0000,ElectrolyteAnion,1
-165.878,-101.591,2.500,-0.0000,EC,1
-160.888,-108.915,2.500,-0.0000,EC,1
-159.258,-106.625,0.760,1.0000,LithiumIon,0
-150.470,-112.269,2.500,-0.0000,EC,1
-157.954,-104.090,2.500,-0.0000,EC,1
-161.078,-100.186,2.500,-0.0000,EC,1
-151.244,-104.072,2.500,-0.0000,DMC,1
-143.311,-119.991,2.500,-0.0000,DMC,1
-146.446,-115.237,2.500,-0.0000,DMC,1
-138.272,-115.174,2.500,-0.0000,EC,1
-136.971,-120.001,2.500,-0.0000,DMC,1
-131.954,-119.064,2.500,-0.0000,DMC,1
-139.140,-110.250,2.500,-0.0000,DMC,1
-145.823,-104.535,2.500,-0.0000,DMC,1
-140.935,-105.584,2.500,-0.0000,EC,1
-138.417,-101.265,2.500,-0.0000,EC,1
-129.598,-106.726,2.500,-0.0000,DMC,1
-119.391,-113.655,2.500,-0.0000,DMC,1
-117.723,-118.372,2.500,-0.0000,DMC,1
-113.392,-111.580,2.500,-0.0000,DMC,1
-119.834,-100.016,2.500,-0.0000,EC,1
-116.527,-103.766,2.500,-0.0000,EC,1
-89.104,-118.932,2.500,-0.0000,DMC,1
-75.851,-118.992,2.500,-0.0000,DMC,1
-80.388,-116.892,2.500,-0.0000,DMC,1
-75.864,-113.992,2.500,-0.0000,DMC,1
-88.623,-106.707,2.500,-0.0000,EC,1
-91.134,-102.383,2.500,-0.0000,EC,1
-86.891,-111.397,2.500,-0.0000,DMC,1
-65.657,-101.804,2.500,-0.0000,DMC,1
-58.265,-108.536,2.500,-0.0000,EC,1
-54.524,-111.853,2.500,-0.0000,EC,1
-61.889,-105.090,2.500,-0.0000,EC,1
