x,y,radius,charge,species,electrons
-193.810,-119.426,2.500,-0.0000,DMC,1
-188.811,-119.502,2.500,-0.0000,DMC,1
-199.978,-113.150,2.500,-0.0000,DMC,1
-191.244,-115.135,2.500,-0.0000,DMC,1
-185.216,-116.027,2.500,-0.0000,DMC,1
-177.711,-117.302,2.500,-0.0000,DMC,1
-195.403,-111.131,2.500,-0.0000,DMC,1
-192.237,-107.262,2.500,-0.0000,DMC,1
-189.108,-103.361,2.500,-0.0000,DMC,1
-181.537,-109.114,2.500,-0.0000,DMC,1
-151.923,-117.735,2.500,-0.0000,DMC,1
-162.629,-106.431,2.500,-0.0000,EC,1
-169.075,-102.231,0.760,1.0000,LithiumIon,0
-171.555,-100.812,2.500,-0.0000,EC,1
-166.527,-103.309,2.500,-0.0000,EC,1
-162.701,-100.090,2.500,-0.0000,EC,1
-152.700,-106.827,2.500,-0.0000,EC,1
-157.642,-106.067,2.500,-0.0000,EC,1
-146.928,-117.515,2.500,-0.0000,EC,1
-141.965,-116.905,2.500,-0.0000,DMC,1
-137.578,-114.505,2.500,-0.0000,DMC,1
-129.254,-120.007,2.500,-0.0000,DMC,1
-127.282,-115.415,2.500,-0.0000,EC,1
-148.278,-101.376,2.500,-0.0000,DMC,1
-134.122,-110.891,2.500,-0.0000,DMC,1
-129.675,-111.603,2.000,-1.0000,ElectrolyteAnion,1
-125.231,-110.861,2.500,-0.0000,EC,1
-130.754,-107.180,2.500,-0.0000,EC,1
-125.774,-108.137,0.760,1.0000,LithiumIon,0
-126.103,-105.340,2.500,-0.0000,EC,1
-115.636,-119.996,2.500,-0.0000,DMC,1
-123.582,-117.979,2.000,-1.0000,ElectrolyteAnion,1
-124.208,-115.301,0.760,1.0000,LithiumIon,0
-121.379,-114.048,2.500,-0.0000,EC,1
-120.920,-109.571,2.000,-1.0000,ElectrolyteAnion,1
-116.479,-110.298,2.500,-0.0000,EC,1
-111.538,-111.060,2.500,-0.0000,EC,1
-106.549,-111.363,2.500,-0.0000,EC,1
-101.561,-111.670,2.500,-0.0000,EC,1
-107.896,-100.301,2.500,-0.0000,EC,1
-102.080,-105.922,2.500,-0.0000,DMC,1
-89.226,-120.000,2.500,-0.0000,DMC,1
-91.832,-113.796,2.500,-0.0000,DMC,1
-84.232,-119.773,2.500,-0.0000,EC,1
-79.304,-118.928,2.500,-0.0000,EC,1
-96.592,-112.232,2.500,-0.0000,DMC,1
-88.110,-110.458,2.500,-0.0000,EC,1
-92.862,-108.903,2.500,-0.0000,DMC,1
-97.090,-106.235,2.500,-0.0000,DMC,1
-92.788,-103.185,2.500,-0.0000,DMC,1
-81.587,-112.463,2.500,-0.0000,DMC,1
-83.799,-107.925,2.500,-0.0000,DMC,1
-78.230,-108.283,2.500,-0.0000,DMC,1
-87.479,-104.417,2.500,-0.0000,DMC,1
-83.499,-100.477,2.500,-0.0000,EC,1
-74.520,-117.481,2.500,-0.0000,EC,1
-69.672,-116.274,2.500,-0.0000,EC,1
-64.824,-115.060,2.500,-0.0000,EC,1
-60.462,-112.633,2.500,-0.0000,EC,1
-54.502,-117.809,2.500,-0.0000,EC,1
-51.624,-113.723,2.500,-0.0000,EC,1
-69.529,-102.713,2.500,-0.0000,DMC,1
-64.095,-104.322,2.500,-0.0000,EC,1
-56.618,-109.441,2.500,-0.0000,EC,1
-51.670,-108.728,2.500,-0.0000,EC,1
-56.362,-104.949,2.000,-1.0000,ElectrolyteAnion,1
-59.704,-101.934,2.500,-0.0000,EC,1
-57.355,-100.335,0.760,1.0000,LithiumIon,0
-51.053,-105.779,0.760,1.0000,LithiumIon,0
-50.141,-103.366,2.500,-0.0000,EC,1
-48.348,-119.922,2.500,-0.0000,DMC,1
-40.433,-120.003,2.500,-0.0000,EC,1
-37.637,-120.005,0.760,1.0000,LithiumIon,0
-44.357,-116.910,2.500,-0.0000,DMC,1
-38.910,-115.763,2.000,-1.0000,ElectrolyteAnion,1
-34.853,-120.004,2.500,-0.0000,EC,1
-33.961,-115.084,2.500,-0.0000,EC,1
-27.495,-118.082,2.500,-0.0000,DMC,1
-46.667,-108.375,2.500,-0.0000,DMC,1
-43.257,-112.032,2.500,-0.0000,DMC,1
-38.309,-111.307,2.500,-0.0000,EC,1
-38.642,-108.550,0.760,1.0000,LithiumIon,0
-43.476,-104.525,2.500,-0.0000,DMC,1
-38.599,-105.624,2.500,-0.0000,EC,1
-34.971,-108.290,2.000,-1.0000,ElectrolyteAnion,1
-30.489,-108.642,2.500,-0.0000,EC,1
-25.546,-109.354,2.500,-0.0000,EC,1
-36.663,-100.829,2.500,-0.0000,DMC,1
-27.643,-102.030,2.500,-0.0000,DMC,1
-22.479,-119.988,2.500,-0.0000,DMC,1
-17.430,-119.457,2.500,-0.0000,DMC,1
-20.415,-115.434,2.500,-0.0000,DMC,1
-14.686,-115.278,2.500,-0.0000,DMC,1
-11.504,-119.924,2.500,-0.0000,DMC,1
-4.163,-120.004,2.500,-0.0000,EC,1
-7.998,-116.211,2.500,-0.0000,EC,1
-3.120,-115.115,2.500,-0.0000,EC,1
-0.659,-113.685,0.760,1.0000,LithiumIon,0
-20.804,-107.770,2.500,-0.0000,EC,1
-22.678,-101.445,2.500,-0.0000,DMC,1
-16.217,-105.795,2.500,-0.0000,EC,1
-0.541,-107.762,2.500,-0.0000,DMC,1
-11.933,-103.230,2.500,-0.0000,EC,1
-9.166,-102.225,0.760,1.0000,LithiumIon,0
-6.604,-101.429,2.500,-0.0000,EC,1
-199.687,-91.580,2.500,-0.0000,DMC,1
-185.727,-99.678,2.500,-0.0000,DMC,1
-198.440,-78.188,0.760,1.0000,LithiumIon,0
-196.592,-80.287,2.500,-0.0000,EC,1
-200.004,-75.844,2.500,-0.0000,EC,1
-194.901,-76.104,2.000,-1.0000,ElectrolyteAnion,1
-187.906,-80.693,2.500,-0.0000,EC,1
-190.408,-76.362,2.500,-0.0000,DMC,1
-183.733,-87.089,2.500,-0.0000,EC,1
-183.819,-82.588,2.000,-1.0000,ElectrolyteAnion,1
-179.630,-84.232,2.500,-0.0000,EC,1
-176.824,-84.334,0.760,1.0000,LithiumIon,0
-185.372,-79.327,0.760,1.0000,LithiumIon,0
-182.681,-78.227,2.500,-0.0000,EC,1
-177.718,-78.778,2.500,-0.0000,EC,1
-174.030,-97.058,2.000,-1.0000,ElectrolyteAnion,1
-172.241,-95.045,0.760,1.0000,LithiumIon,0
-169.606,-96.123,2.500,-0.0000,EC,1
-165.111,-96.290,2.000,-1.0000,ElectrolyteAnion,1
-173.554,-93.070,2.000,-1.0000,ElectrolyteAnion,1
-172.292,-90.918,0.760,1.0000,LithiumIon,0
