x,y,radius,charge,species,electrons
-200.007,-120.016,2.500,-0.0000,DMC,1
-195.008,-120.000,2.500,-0.0000,EC,1
-190.011,-120.001,2.500,-0.0000,EC,1
-200.000,-115.019,2.500,-0.0000,DMC,1
-195.657,-112.531,2.500,-0.0000,DMC,1
-191.435,-115.208,2.500,-0.0000,DMC,1
-187.228,-119.860,0.760,1.0000,LithiumIon,0
-184.426,-120.002,2.500,-0.0000,EC,1
-178.487,-120.000,2.500,-0.0000,DMC,1
-183.640,-115.064,2.500,-0.0000,DMC,1
-178.640,-115.000,2.500,-0.0000,DMC,1
-200.000,-110.021,2.500,-0.0000,DMC,1
-195.662,-107.530,2.500,-0.0000,DMC,1
-187.595,-112.006,2.500,-0.0000,DMC,1
-200.018,-105.022,2.500,-0.0000,EC,1
-198.304,-102.812,0.760,1.0000,LithiumIon,0
-196.629,-100.620,2.500,-0.0000,EC,1
-191.050,-105.601,2.500,-0.0000,DMC,1
-191.632,-100.637,2.500,-0.0000,EC,1
-186.271,-107.071,2.500,-0.0000,DMC,1
-181.009,-110.598,2.500,-0.0000,EC,1
-180.674,-107.774,0.760,1.0000,LithiumIon,0
-186.237,-101.859,2.500,-0.0000,EC,1
-181.563,-100.085,2.500,-0.0000,DMC,1
-180.154,-105.011,2.500,-0.0000,EC,1
-175.710,-105.733,2.000,-1.0000,ElectrolyteAnion,1
-176.564,-100.014,2.500,-0.0000,DMC,1
-173.403,-120.000,2.500,-0.0000,DMC,1
-168.402,-119.667,2.500,-0.0000,EC,1
-174.134,-112.833,2.500,-0.0000,DMC,1
-165.832,-118.480,0.760,1.0000,LithiumIon,0
-163.048,-117.149,2.500,-0.0000,EC,1
-154.035,-119.997,2.500,-0.0000,DMC,1
-158.409,-115.283,2.500,-0.0000,EC,1
-151.858,-115.495,2.500,-0.0000,DMC,1
-171.982,-108.322,2.500,-0.0000,EC,1
-165.765,-107.877,2.500,-0.0000,DMC,1
-172.066,-105.444,0.760,1.0000,LithiumIon,0
-172.352,-102.708,2.500,-0.0000,EC,1
-162.976,-102.935,2.500,-0.0000,DMC,1
-154.986,-111.594,2.500,-0.0000,EC,1
-154.963,-106.593,2.500,-0.0000,EC,1
-150.645,-109.114,2.500,-0.0000,DMC,1
-153.481,-104.269,0.760,1.0000,LithiumIon,0
-152.329,-101.707,2.500,-0.0000,EC,1
-148.931,-119.818,2.500,-0.0000,DMC,1
-143.898,-119.878,2.500,-0.0000,EC,1
-141.117,-120.105,0.760,1.0000,LithiumIon,0
-143.752,-112.807,0.760,1.0000,LithiumIon,0
-139.582,-118.052,2.000,-1.0000,ElectrolyteAnion,1
-141.282,-113.892,2.500,-0.0000,EC,1
-133.857,-120.007,2.500,-0.0000,EC,1
-134.662,-117.332,0.760,1.0000,LithiumIon,0
-135.999,-114.860,2.500,-0.0000,EC,1
-129.089,-118.500,2.500,-0.0000,DMC,1
-126.764,-114.065,2.500,-0.0000,DMC,1
-146.456,-111.843,2.500,-0.0000,EC,1
-146.487,-107.341,2.000,-1.0000,ElectrolyteAnion,1
-139.856,-109.100,2.500,-0.0000,DMC,1
-147.486,-102.953,2.500,-0.0000,EC,1
-142.268,-103.010,2.500,-0.0000,DMC,1
-131.763,-112.202,2.500,-0.0000,DMC,1
-134.917,-108.322,2.500,-0.0000,DMC,1
-126.771,-107.730,2.500,-0.0000,DMC,1
-137.359,-103.959,2.500,-0.0000,DMC,1
-131.757,-104.448,2.500,-0.0000,DMC,1
-127.085,-102.655,2.500,-0.0000,DMC,1
-123.684,-120.090,0.760,1.0000,LithiumIon,0
-120.456,-119.944,2.500,-0.0000,DMC,1
-124.603,-118.143,2.000,-1.0000,ElectrolyteAnion,1
-121.771,-114.652,2.500,-0.0000,EC,1
-118.956,-115.132,0.760,1.0000,LithiumIon,0
-116.044,-115.270,2.500,-0.0000,EC,1
-111.208,-119.126,2.500,-0.0000,DMC,1
-103.963,-119.996,2.500,-0.0000,DMC,1
-109.148,-114.573,2.500,-0.0000,EC,1
-101.294,-115.718,2.500,-0.0000,DMC,1
-122.162,-109.667,2.500,-0.0000,DMC,1
-117.222,-110.411,2.500,-0.0000,EC,1
-112.886,-112.067,2.000,-1.0000,ElectrolyteAnion,1
-115.106,-108.549,0.760,1.0000,LithiumIon,0
-112.722,-107.074,2.500,-0.0000,EC,1
-122.508,-104.668,2.500,-0.0000,DMC,1
-117.237,-102.005,2.500,-0.0000,DMC,1
-107.516,-112.249,0.760,1.0000,LithiumIon,0
-105.579,-110.235,2.500,-0.0000,EC,1
-102.350,-106.418,2.500,-0.0000,EC,1
-110.303,-102.698,2.500,-0.0000,EC,1
-103.425,-101.535,2.500,-0.0000,DMC,1
-98.712,-120.003,2.500,-0.0000,DMC,1
-93.567,-120.003,2.500,-0.0000,DMC,1
-88.568,-119.982,2.500,-0.0000,DMC,1
-96.130,-118.585,0.760,1.0000,LithiumIon,0
-96.148,-115.614,2.500,-0.0000,DMC,1
-91.114,-115.639,2.500,-0.0000,DMC,1
-83.570,-120.004,2.500,-0.0000,DMC,1
-78.513,-119.986,2.500,-0.0000,DMC,1
-86.051,-115.662,2.500,-0.0000,DMC,1
-81.057,-118.574,0.760,1.0000,LithiumIon,0
-81.051,-115.657,2.500,-0.0000,DMC,1
-75.934,-115.625,2.500,-0.0000,DMC,1
-91.851,-108.822,2.500,-0.0000,DMC,1
-95.298,-104.583,2.500,-0.0000,EC,1
-98.481,-100.727,2.500,-0.0000,DMC,1
-90.325,-104.060,2.500,-0.0000,DMC,1
-85.020,-110.715,2.500,-0.0000,DMC,1
-79.535,-110.893,2.500,-0.0000,DMC,1
-85.402,-105.584,2.500,-0.0000,DMC,1
-81.942,-105.003,0.760,1.0000,LithiumIon,0
-82.230,-102.369,2.000,-1.0000,ElectrolyteAnion,1
-78.967,-105.718,2.500,-0.0000,EC,1
-75.159,-103.276,2.000,-1.0000,ElectrolyteAnion,1
-78.293,-100.046,2.500,-0.0000,EC,1
-73.515,-120.000,2.500,-0.0000,DMC,1
-68.515,-120.004,2.500,-0.0000,DMC,1
-63.440,-119.959,2.500,-0.0000,DMC,1
-70.616,-115.465,2.500,-0.0000,DMC,1
-66.027,-118.364,0.760,1.0000,LithiumIon,0
-65.594,-115.414,2.500,-0.0000,DMC,1
-54.510,-120.000,0.760,1.0000,LithiumIon,0
-51.282,-120.000,2.500,-0.0000,DMC,1
-73.038,-111.087,2.500,-0.0000,DMC,1
-64.258,-110.596,2.500,-0.0000,DMC,1
-70.745,-104.376,2.500,-0.0000,DMC,1
-73.405,-101.378,0.760,1.0000,LithiumIon,0
-65.651,-104.542,2.500,-0.0000,EC,1
-67.836,-101.059,1.520,-0.0000,LithiumMetal,1
-57.389,-100.289,2.500,-0.0000,DMC,1
-43.735,-120.000,2.500,-0.0000,EC,1
-40.886,-119.955,0.760,1.0000,LithiumIon,0
-38.064,-120.000,2.500,-0.0000,EC,1
-33.067,-120.000,2.500,-0.0000,DMC,1
-27.200,-115.576,2.500,-0.0000,DMC,1
-47.772,-109.678,2.500,-0.0000,DMC,1
-32.835,-103.224,0.760,1.0000,LithiumIon,0
-24.875,-120.003,2.500,-0.0000,DMC,1
-22.090,-118.847,0.760,1.0000,LithiumIon,0
-19.270,-119.972,2.500,-0.0000,DMC,1
-22.170,-115.766,2.500,-0.0000,DMC,1
-9.361,-120.000,2.500,-0.0000,EC,1
-6.575,-120.008,0.760,1.0000,LithiumIon,0
-3.437,-119.696,2.500,-0.0000,DMC,1
-200.009,-96.939,2.500,-0.0000,DMC,1
-194.118,-96.293,2.500,-0.0000,EC,1
-188.015,-97.185,2.500,-0.0000,EC,1
-188.192,-94.223,0.760,1.0000,LithiumIon,0
-200.031,-91.943,2.500,-0.0000,EC,1
-197.957,-89.816,0.760,1.0000,LithiumIon,0
-195.944,-88.215,2.500,-0.0000,EC,1
-193.306,-91.867,2.000,-1.0000,ElectrolyteAnion,1
-188.801,-91.710,2.500,-0.0000,EC,1
-182.794,-95.239,2.500,-0.0000,DMC,1
-182.216,-89.873,2.500,-0.0000,DMC,1
-178.120,-93.463,2.500,-0.0000,DMC,1
-195.306,-83.260,2.500,-0.0000,DMC,1
-191.044,-87.248,2.500,-0.0000,DMC,1
-188.747,-82.810,2.500,-0.0000,DMC,1
-200.004,-78.933,2.500,-0.0000,DMC,1
-196.001,-75.937,2.500,-0.0000,EC,1
-192.262,-79.255,2.500,-0.0000,DMC,1
-183.983,-81.312,2.500,-0.0000,EC,1
-180.109,-78.153,2.500,-0.0000,EC,1
-178.239,-75.965,0.760,1.0000,LithiumIon,0
-173.371,-95.027,2.500,-0.0000,DMC,1
-166.975,-99.916,2.500,-0.0000,EC,1
-167.832,-97.211,0.760,1.0000,LithiumIon,0
-168.411,-94.401,2.500,-0.0000,EC,1
-164.278,-96.311,2.000,-1.0000,ElectrolyteAnion,1
-172.400,-89.201,2.500,-0.0000,DMC,1
-162.983,-92.002,2.500,-0.0000,EC,1
-167.329,-89.525,2.500,-0.0000,EC,1
-159.885,-97.288,2.500,-0.0000,EC,1
-157.366,-89.127,2.500,-0.0000,EC,1
-152.786,-91.127,2.500,-0.0000,EC,1
-170.752,-82.569,2.500,-0.0000,DMC,1
-163.792,-84.899,0.760,1.0000,LithiumIon,0
-165.790,-83.182,2.500,-0.0000,EC,1
-171.961,-76.049,2.500,-0.0000,DMC,1
-166.727,-78.280,2.500,-0.0000,EC,1
-161.941,-87.111,2.500,-0.0000,EC,1
-153.034,-85.892,2.500,-0.0000,EC,1
-150.335,-84.812,0.760,1.0000,LithiumIon,0
-161.823,-79.827,2.500,-0.0000,DMC,1
-154.983,-80.240,2.500,-0.0000,DMC,1
-200.008,-72.659,2.500,-0.0000,EC,1
-195.298,-70.988,2.500,-0.0000,EC,1
-190.877,-73.325,2.500,-0.0000,DMC,1
-194.230,-68.615,0.760,1.0000,LithiumIon,0
-192.731,-66.035,2.500,-0.0000,EC,1
-187.789,-66.791,2.500,-0.0000,DMC,1
-185.915,-72.391,2.500,-0.0000,DMC,1
-176.397,-73.717,2.500,-0.0000,EC,1
-179.042,-69.473,2.500,-0.0000,DMC,1
-182.912,-65.689,2.500,-0.0000,DMC,1
-200.004,-60.155,2.500,-0.0000,DMC,1
-195.255,-61.718,2.500,-0.0000,EC,1
-190.154,-61.753,2.500,-0.0000,EC,1
-190.755,-56.789,2.500,-0.0000,EC,1
-200.003,-55.155,2.500,-0.0000,DMC,1
-195.079,-54.284,2.500,-0.0000,DMC,1
-199.944,-50.156,2.500,-0.0000,DMC,1
-190.929,-50.831,2.500,-0.0000,EC,1
-184.643,-60.128,2.500,-0.0000,DMC,1
-179.441,-62.090,2.500,-0.0000,DMC,1
-177.332,-57.557,2.500,-0.0000,DMC,1
-186.831,-53.693,2.500,-0.0000,EC,1
-182.238,-55.694,2.500,-0.0000,DMC,1
-183.007,-50.472,2.500,-0.0000,DMC,1
-178.421,-52.464,2.500,-0.0000,EC,1
-173.685,-69.522,2.500,-0.0000,EC,1
-167.700,-73.383,2.500,-0.0000,EC,1
-172.280,-64.725,2.500,-0.0000,EC,1
-167.570,-68.388,2.500,-0.0000,EC,1
-167.147,-63.408,2.500,-0.0000,EC,1
-150.592,-73.343,2.500,-0.0000,EC,1
-153.120,-69.031,2.500,-0.0000,EC,1
-155.065,-64.425,2.500,-0.0000,EC,1
-171.482,-59.790,2.500,-0.0000,EC,1
-166.548,-58.444,2.500,-0.0000,EC,1
