x,y,radius,charge,species,electrons
-199.967,-120.003,2.500,-0.0000,DMC,1
-189.557,-120.000,2.500,-0.0000,DMC,1
-195.143,-118.685,2.500,-0.0000,DMC,1
-199.981,-115.004,2.500,-0.0000,DMC,1
-195.617,-112.560,2.500,-0.0000,DMC,1
-191.423,-115.346,2.500,-0.0000,DMC,1
-184.557,-120.016,2.500,-0.0000,EC,1
-179.338,-120.002,2.500,-0.0000,DMC,1
-181.959,-115.744,2.500,-0.0000,EC,1
-186.623,-113.945,2.500,-0.0000,DMC,1
-179.984,-113.539,0.760,1.0000,LithiumIon,0
-199.969,-110.004,2.500,-0.0000,DMC,1
-195.492,-107.530,2.500,-0.0000,DMC,1
-191.114,-110.352,2.500,-0.0000,DMC,1
-199.897,-105.004,2.500,-0.0000,DMC,1
-198.174,-100.847,2.000,-1.0000,ElectrolyteAnion,1
-189.718,-103.758,2.500,-0.0000,EC,1
-186.006,-107.140,2.500,-0.0000,DMC,1
-178.138,-111.586,2.500,-0.0000,EC,1
-178.841,-106.640,2.500,-0.0000,EC,1
-184.945,-102.233,2.500,-0.0000,EC,1
-179.963,-101.768,2.500,-0.0000,EC,1
-174.339,-120.000,2.500,-0.0000,DMC,1
-170.077,-117.385,2.500,-0.0000,DMC,1
-174.477,-114.991,2.500,-0.0000,DMC,1
-166.751,-113.677,0.760,1.0000,LithiumIon,0
-164.020,-114.314,2.500,-0.0000,EC,1
-154.917,-119.469,2.500,-0.0000,DMC,1
-161.588,-118.683,2.500,-0.0000,DMC,1
-150.460,-117.206,2.500,-0.0000,EC,1
-152.450,-112.619,2.500,-0.0000,EC,1
-169.357,-112.420,2.500,-0.0000,EC,1
-173.995,-108.733,2.500,-0.0000,EC,1
-169.162,-107.423,2.500,-0.0000,EC,1
-165.511,-110.058,2.000,-1.0000,ElectrolyteAnion,1
-173.075,-103.818,2.500,-0.0000,EC,1
-165.456,-102.288,2.500,-0.0000,DMC,1
-161.584,-107.836,2.500,-0.0000,DMC,1
-156.976,-100.674,2.500,-0.0000,DMC,1
-155.779,-105.965,2.500,-0.0000,DMC,1
-142.217,-119.981,2.500,-0.0000,DMC,1
-147.706,-116.778,0.760,1.0000,LithiumIon,0
-145.034,-115.834,2.500,-0.0000,EC,1
-137.695,-117.030,2.500,-0.0000,EC,1
-140.992,-113.863,2.000,-1.0000,ElectrolyteAnion,1
-132.707,-117.697,2.500,-0.0000,DMC,1
-134.626,-113.082,2.500,-0.0000,EC,1
-127.028,-117.565,2.500,-0.0000,DMC,1
-129.358,-113.116,2.500,-0.0000,DMC,1
