x,y,radius,charge,species,electrons
-200.000,-120.001,2.500,-0.0000,EC,1
-200.000,-115.501,2.000,-1.0000,ElectrolyteAnion,1
-193.431,-101.539,2.500,-0.0000,DMC,1
-176.818,-110.577,2.500,-0.0000,DMC,1
-172.672,-120.001,2.500,-0.0000,EC,1
-171.964,-115.052,2.500,-0.0000,EC,1
-158.224,-113.300,2.500,-0.0000,DMC,1
-154.536,-116.676,2.500,-0.0000,DMC,1
-150.636,-113.547,2.500,-0.0000,DMC,1
-172.318,-110.559,2.000,-1.0000,ElectrolyteAnion,1
-167.820,-110.679,2.500,-0.0000,DMC,1
-162.887,-111.496,2.500,-0.0000,DMC,1
-172.473,-106.061,2.500,-0.0000,EC,1
-172.541,-101.062,2.500,-0.0000,DMC,1
-165.382,-102.394,2.500,-0.0000,DMC,1
-150.245,-103.036,2.500,-0.0000,DMC,1
-139.849,-120.000,2.500,-0.0000,DMC,1
-138.021,-114.609,2.500,-0.0000,EC,1
-135.634,-118.424,2.000,-1.0000,ElectrolyteAnion,1
-131.135,-118.506,2.500,-0.0000,EC,1
-126.135,-118.571,2.500,-0.0000,EC,1
-139.446,-109.817,2.500,-0.0000,EC,1
-140.173,-104.870,2.500,-0.0000,DMC,1
-127.942,-111.227,2.500,-0.0000,DMC,1
-125.658,-106.419,2.500,-0.0000,DMC,1
-135.424,-103.304,2.500,-0.0000,DMC,1
-130.515,-105.219,2.500,-0.0000,DMC,1
-121.193,-119.327,2.500,-0.0000,EC,1
-116.238,-120.000,2.500,-0.0000,DMC,1
-114.413,-115.345,2.500,-0.0000,DMC,1
-111.273,-119.407,2.500,-0.0000,DMC,1
-107.379,-112.663,2.500,-0.0000,DMC,1
-100.344,-117.333,2.500,-0.0000,DMC,1
-122.971,-110.689,2.500,-0.0000,DMC,1
-118.153,-112.027,2.500,-0.0000,DMC,1
-113.861,-105.733,2.500,-0.0000,DMC,1
-116.143,-100.790,2.500,-0.0000,EC,1
-112.069,-110.929,2.500,-0.0000,DMC,1
-100.753,-111.901,2.500,-0.0000,DMC,1
-111.197,-101.507,2.500,-0.0000,EC,1
-104.058,-103.327,2.500,-0.0000,DMC,1
-89.225,-120.011,2.500,-0.0000,EC,1
-95.118,-116.937,0.760,1.0000,LithiumIon,0
-96.305,-114.183,2.500,-0.0000,EC,1
-92.524,-116.951,2.000,-1.0000,ElectrolyteAnion,1
-80.065,-119.435,2.500,-0.0000,DMC,1
-86.999,-118.561,0.760,1.0000,LithiumIon,0
-84.493,-117.116,2.500,-0.0000,EC,1
-75.831,-116.776,2.500,-0.0000,EC,1
-95.076,-101.494,2.500,-0.0000,EC,1
-91.493,-104.981,2.500,-0.0000,EC,1
-84.711,-112.121,2.500,-0.0000,EC,1
-87.475,-107.956,2.500,-0.0000,EC,1
-80.173,-109.923,2.500,-0.0000,DMC,1
-79.006,-105.061,2.500,-0.0000,EC,1
-79.656,-100.104,2.500,-0.0000,EC,1
-70.832,-116.662,2.500,-0.0000,EC,1
-66.113,-115.014,2.500,-0.0000,EC,1
-62.398,-119.996,2.500,-0.0000,DMC,1
-57.398,-120.000,2.500,-0.0000,DMC,1
-57.530,-115.002,2.500,-0.0000,DMC,1
