x,y,radius,charge,species,electrons
-200.000,-120.003,2.500,-0.0000,EC,1
-200.000,-115.504,2.000,-1.0000,ElectrolyteAnion,1
-195.765,-113.985,2.500,-0.0000,DMC,1
-190.925,-112.730,2.500,-0.0000,DMC,1
-177.998,-119.689,2.500,-0.0000,DMC,1
-175.584,-115.311,2.500,-0.0000,DMC,1
-200.000,-111.004,2.500,-0.0000,DMC,1
-199.078,-106.090,2.500,-0.0000,DMC,1
-198.442,-101.131,2.500,-0.0000,DMC,1
-191.830,-104.844,2.500,-0.0000,DMC,1
-186.162,-111.207,2.500,-0.0000,DMC,1
-183.009,-107.326,2.500,-0.0000,DMC,1
-184.336,-102.505,2.500,-0.0000,DMC,1
-176.325,-104.844,2.500,-0.0000,DMC,1
-179.559,-101.031,2.500,-0.0000,DMC,1
-162.911,-118.320,2.500,-0.0000,DMC,1
-162.862,-113.320,2.500,-0.0000,DMC,1
-171.454,-112.492,2.500,-0.0000,DMC,1
-172.111,-107.535,2.500,-0.0000,DMC,1
-167.119,-110.002,2.500,-0.0000,EC,1
-162.777,-108.821,2.000,-1.0000,ElectrolyteAnion,1
-165.220,-105.041,2.500,-0.0000,DMC,1
-167.840,-100.783,2.500,-0.0000,DMC,1
-158.436,-110.005,2.500,-0.0000,EC,1
-153.647,-111.442,2.500,-0.0000,EC,1
-160.220,-105.117,2.500,-0.0000,DMC,1
-157.334,-101.034,2.500,-0.0000,DMC,1
-150.295,-103.907,2.500,-0.0000,DMC,1
-148.925,-113.082,2.500,-0.0000,EC,1
-144.288,-114.952,2.500,-0.0000,EC,1
-139.785,-117.124,2.500,-0.0000,DMC,1
-134.884,-118.110,2.500,-0.0000,DMC,1
-129.915,-118.671,2.500,-0.0000,DMC,1
-145.479,-102.561,2.500,-0.0000,DMC,1
-128.277,-112.340,2.500,-0.0000,DMC,1
-130.449,-107.836,2.500,-0.0000,EC,1
-133.829,-104.152,2.500,-0.0000,EC,1
-128.766,-103.127,2.500,-0.0000,EC,1
-124.982,-119.486,2.500,-0.0000,DMC,1
-120.009,-120.000,2.500,-0.0000,DMC,1
-108.774,-119.917,2.500,-0.0000,DMC,1
-112.448,-116.526,2.500,-0.0000,DMC,1
-115.548,-104.904,2.500,-0.0000,DMC,1
-104.373,-104.208,2.500,-0.0000,DMC,1
-95.013,-114.584,2.500,-0.0000,DMC,1
-90.505,-116.746,2.500,-0.0000,DMC,1
-81.057,-120.000,2.500,-0.0000,DMC,1
-85.846,-118.562,2.500,-0.0000,DMC,1
-99.346,-112.089,2.500,-0.0000,DMC,1
-97.291,-100.437,2.500,-0.0000,DMC,1
-88.510,-105.163,2.500,-0.0000,EC,1
-92.732,-102.487,2.500,-0.0000,EC,1
-84.021,-107.359,2.500,-0.0000,EC,1
-79.375,-109.200,2.500,-0.0000,EC,1
-75.570,-101.328,2.500,-0.0000,EC,1
-64.791,-112.560,2.500,-0.0000,EC,1
-59.813,-112.992,2.500,-0.0000,EC,1
-54.819,-113.160,2.500,-0.0000,EC,1
-74.599,-110.669,2.500,-0.0000,EC,1
-69.727,-111.783,2.500,-0.0000,EC,1
-70.877,-103.051,2.500,-0.0000,EC,1
-66.078,-104.452,2.500,-0.0000,EC,1
-61.194,-105.519,2.500,-0.0000,DMC,1
-56.194,-105.494,2.500,-0.0000,DMC,1
-51.207,-105.853,2.500,-0.0000,DMC,1
-49.756,-120.000,2.500,-0.0000,DMC,1
-44.850,-119.036,2.500,-0.0000,DMC,1
-49.822,-113.232,2.500,-0.0000,EC,1
-44.833,-112.920,2.500,-0.0000,DMC,1
-39.977,-117.917,2.500,-0.0000,DMC,1
-35.059,-117.017,2.500,-0.0000,DMC,1
-30.135,-116.151,2.500,-0.0000,DMC,1
-25.189,-115.420,2.500,-0.0000,DMC,1
-46.221,-106.236,2.500,-0.0000,DMC,1
-45.255,-101.330,2.500,-0.0000,DMC,1
-41.489,-104.620,2.500,-0.0000,EC,1
-36.495,-104.861,2.500,-0.0000,DMC,1
-31.501,-104.610,2.500,-0.0000,EC,1
-26.600,-105.597,2.500,-0.0000,EC,1
-18.302,-119.424,2.500,-0.0000,DMC,1
-13.284,-119.976,2.500,-0.0000,DMC,1
-20.249,-114.657,2.500,-0.0000,DMC,1
-15.310,-115.406,2.500,-0.0000,EC,1
-13.035,-113.740,0.760,1.0000,LithiumIon,0
-21.801,-107.002,2.500,-0.0000,DMC,1
-16.759,-105.184,2.500,-0.0000,DMC,1
-10.732,-112.088,2.500,-0.0000,EC,1
-12.238,-107.320,2.500,-0.0000,DMC,1
-7.056,-108.702,2.500,-0.0000,EC,1
-0.840,-107.209,2.500,-0.0000,DMC,1
-4.867,-104.207,2.500,-0.0000,EC,1
-197.954,-96.155,2.500,-0.0000,DMC,1
-191.125,-99.894,2.500,-0.0000,DMC,1
-192.268,-95.027,2.500,-0.0000,DMC,1
-198.546,-91.190,2.500,-0.0000,EC,1
-191.934,-87.649,2.500,-0.0000,DMC,1
-183.225,-97.631,2.500,-0.0000,EC,1
-184.494,-92.794,2.500,-0.0000,DMC,1
-186.671,-88.293,2.500,-0.0000,DMC,1
-176.931,-89.391,2.500,-0.0000,DMC,1
-200.000,-86.407,2.500,-0.0000,DMC,1
-200.000,-81.407,2.500,-0.0000,DMC,1
-193.380,-82.862,2.500,-0.0000,DMC,1
-188.026,-83.480,2.500,-0.0000,DMC,1
-194.479,-77.985,2.500,-0.0000,DMC,1
-181.578,-87.397,2.500,-0.0000,DMC,1
-183.377,-81.463,2.500,-0.0000,DMC,1
-176.531,-83.094,2.500,-0.0000,EC,1
-187.394,-78.487,2.500,-0.0000,DMC,1
-172.078,-98.129,2.500,-0.0000,DMC,1
-167.644,-95.787,2.500,-0.0000,DMC,1
-174.371,-93.686,2.500,-0.0000,DMC,1
-154.173,-97.160,2.500,-0.0000,EC,1
-150.969,-93.322,2.500,-0.0000,EC,1
-171.533,-83.230,2.500,-0.0000,EC,1
-166.840,-79.927,2.500,-0.0000,DMC,1
-161.704,-77.101,2.500,-0.0000,EC,1
-196.216,-73.296,2.500,-0.0000,DMC,1
-199.524,-69.547,2.500,-0.0000,DMC,1
-183.525,-63.967,2.500,-0.0000,EC,1
-198.882,-59.380,2.500,-0.0000,DMC,1
-190.041,-55.793,2.500,-0.0000,EC,1
-192.359,-51.363,2.500,-0.0000,EC,1
-186.724,-60.718,2.000,-1.0000,ElectrolyteAnion,1
-185.092,-56.492,2.500,-0.0000,EC,1
-182.400,-57.105,0.760,1.0000,LithiumIon,0
-178.748,-62.489,2.500,-0.0000,EC,1
-179.700,-57.581,2.500,-0.0000,EC,1
-166.244,-74.963,2.500,-0.0000,EC,1
-165.421,-69.333,2.500,-0.0000,EC,1
-162.382,-72.652,2.000,-1.0000,ElectrolyteAnion,1
-158.008,-73.734,2.500,-0.0000,EC,1
-159.072,-71.028,0.760,1.0000,LithiumIon,0
-160.483,-68.552,2.500,-0.0000,EC,1
-166.895,-62.423,2.500,-0.0000,EC,1
-166.671,-54.325,2.500,-0.0000,EC,1
-166.194,-51.486,0.760,1.0000,LithiumIon,0
-162.172,-60.786,2.500,-0.0000,EC,1
-159.400,-56.626,2.500,-0.0000,EC,1
-154.177,-58.179,2.500,-0.0000,DMC,1
-158.562,-54.036,0.760,1.0000,LithiumIon,0
-162.450,-52.617,2.000,-1.0000,ElectrolyteAnion,1
-157.948,-51.308,2.500,-0.0000,EC,1
-141.102,-99.406,2.500,-0.0000,DMC,1
-135.245,-99.357,2.500,-0.0000,EC,1
-133.859,-94.553,2.500,-0.0000,EC,1
-127.041,-98.434,2.500,-0.0000,DMC,1
-135.210,-89.739,2.500,-0.0000,EC,1
-130.365,-90.976,2.500,-0.0000,EC,1
-126.253,-88.130,2.500,-0.0000,DMC,1
-144.728,-83.696,2.500,-0.0000,EC,1
-146.951,-79.217,2.500,-0.0000,DMC,1
-125.134,-78.046,2.500,-0.0000,EC,1
-126.084,-75.336,0.760,1.0000,LithiumIon,0
-115.764,-99.909,2.500,-0.0000,EC,1
-116.747,-95.006,2.500,-0.0000,EC,1
-116.707,-90.007,2.500,-0.0000,EC,1
-101.873,-87.736,2.500,-0.0000,EC,1
-113.605,-86.085,2.500,-0.0000,EC,1
-120.468,-79.840,2.500,-0.0000,EC,1
-106.625,-86.184,2.500,-0.0000,EC,1
-110.075,-83.294,2.000,-1.0000,ElectrolyteAnion,1
-106.621,-80.404,2.500,-0.0000,EC,1
-109.015,-78.868,0.760,1.0000,LithiumIon,0
-111.505,-77.532,2.500,-0.0000,EC,1
-100.069,-76.873,2.500,-0.0000,EC,1
-147.726,-70.076,2.500,-0.0000,DMC,1
-138.285,-67.518,2.500,-0.0000,EC,1
-139.401,-63.159,2.000,-1.0000,ElectrolyteAnion,1
-131.440,-74.030,2.000,-1.0000,ElectrolyteAnion,1
-133.179,-69.883,2.500,-0.0000,EC,1
-126.846,-72.716,2.500,-0.0000,EC,1
-135.739,-68.748,0.760,1.0000,LithiumIon,0
-131.601,-65.131,2.500,-0.0000,DMC,1
-128.844,-68.687,2.000,-1.0000,ElectrolyteAnion,1
-125.817,-65.148,0.760,1.0000,LithiumIon,0
-127.187,-62.758,2.500,-0.0000,EC,1
-149.710,-60.579,2.500,-0.0000,DMC,1
-147.606,-54.772,2.500,-0.0000,DMC,1
-139.286,-51.938,2.500,-0.0000,EC,1
-135.169,-61.634,2.500,-0.0000,EC,1
-136.252,-59.144,0.760,1.0000,LithiumIon,0
-137.457,-56.590,2.500,-0.0000,EC,1
-130.899,-60.215,2.000,-1.0000,ElectrolyteAnion,1
-130.801,-55.716,2.500,-0.0000,DMC,1
-122.436,-71.707,2.000,-1.0000,ElectrolyteAnion,1
-117.547,-71.958,2.500,-0.0000,EC,1
-113.290,-73.403,2.000,-1.0000,ElectrolyteAnion,1
-118.406,-69.248,0.760,1.0000,LithiumIon,0
-112.510,-68.972,2.500,-0.0000,EC,1
-124.456,-67.688,2.500,-0.0000,EC,1
-119.143,-66.529,2.500,-0.0000,EC,1
-114.863,-65.139,2.000,-1.0000,ElectrolyteAnion,1
-109.738,-68.763,0.760,1.0000,LithiumIon,0
-106.941,-68.231,2.500,-0.0000,EC,1
-102.673,-66.809,2.000,-1.0000,ElectrolyteAnion,1
-114.726,-60.642,2.500,-0.0000,EC,1
-110.825,-57.514,2.500,-0.0000,EC,1
-105.905,-56.638,2.500,-0.0000,EC,1
-103.142,-56.756,0.760,1.0000,LithiumIon,0
-100.295,-56.567,2.500,-0.0000,EC,1
-106.395,-51.155,2.500,-0.0000,DMC,1
-193.835,-44.298,2.500,-0.0000,EC,1
-189.476,-46.747,2.500,-0.0000,EC,1
-190.769,-38.022,2.500,-0.0000,EC,1
-183.094,-42.821,2.500,-0.0000,EC,1
-185.805,-38.620,2.500,-0.0000,EC,1
-195.239,-35.781,2.500,-0.0000,DMC,1
-195.312,-29.191,2.500,-0.0000,EC,1
