x,y,radius,charge,species,electrons
-191.353,-120.002,2.500,-0.0000,EC,1
-199.360,-114.076,2.500,-0.0000,EC,1
-189.141,-115.518,2.500,-0.0000,EC,1
-198.106,-109.236,2.500,-0.0000,DMC,1
-197.351,-104.293,2.500,-0.0000,EC,1
-189.728,-104.889,2.500,-0.0000,DMC,1
-186.835,-111.082,2.500,-0.0000,EC,1
-184.973,-106.442,2.500,-0.0000,DMC,1
-186.262,-101.285,2.500,-0.0000,EC,1
-163.732,-111.705,2.500,-0.0000,DMC,1
-169.244,-101.206,2.500,-0.0000,EC,1
-166.625,-106.212,2.500,-0.0000,EC,1
-168.094,-103.762,0.760,1.0000,LithiumIon,0
-163.481,-102.980,2.000,-1.0000,ElectrolyteAnion,1
-161.710,-107.122,2.500,-0.0000,EC,1
-159.605,-100.693,2.500,-0.0000,EC,1
-137.935,-119.431,2.500,-0.0000,DMC,1
-146.373,-111.721,2.500,-0.0000,DMC,1
-147.722,-107.396,2.000,-1.0000,ElectrolyteAnion,1
-139.621,-111.277,2.500,-0.0000,DMC,1
-143.238,-107.826,2.500,-0.0000,EC,1
-149.056,-103.090,2.500,-0.0000,EC,1
-144.119,-102.299,2.500,-0.0000,EC,1
-143.629,-105.066,0.760,1.0000,LithiumIon,0
-127.526,-101.140,2.500,-0.0000,DMC,1
-123.438,-118.594,2.500,-0.0000,DMC,1
-102.885,-116.117,2.500,-0.0000,DMC,1
-101.682,-111.264,2.500,-0.0000,EC,1
-106.145,-106.430,2.500,-0.0000,EC,1
-101.659,-106.765,2.000,-1.0000,ElectrolyteAnion,1
-108.914,-105.239,0.760,1.0000,LithiumIon,0
-108.546,-102.609,2.000,-1.0000,ElectrolyteAnion,1
-104.721,-100.249,2.500,-0.0000,EC,1
-102.116,-101.410,0.760,1.0000,LithiumIon,0
-99.437,-119.738,2.500,-0.0000,DMC,1
-94.441,-119.925,2.500,-0.0000,DMC,1
-89.441,-119.982,2.500,-0.0000,DMC,1
-89.479,-112.536,2.500,-0.0000,DMC,1
-79.605,-116.707,2.500,-0.0000,DMC,1
-77.387,-114.386,0.760,1.0000,LithiumIon,0
-75.020,-115.307,2.000,-1.0000,ElectrolyteAnion,1
-99.658,-102.735,2.500,-0.0000,EC,1
-94.177,-102.559,2.500,-0.0000,DMC,1
-90.478,-106.081,2.500,-0.0000,DMC,1
-88.096,-100.194,2.500,-0.0000,DMC,1
-81.292,-108.335,2.500,-0.0000,DMC,1
-77.353,-111.444,2.500,-0.0000,EC,1
-76.621,-106.498,2.500,-0.0000,DMC,1
-84.477,-104.425,2.500,-0.0000,DMC,1
-81.104,-100.683,2.500,-0.0000,DMC,1
-75.345,-101.282,2.500,-0.0000,DMC,1
-69.603,-120.000,2.500,-0.0000,DMC,1
-69.873,-115.008,2.500,-0.0000,DMC,1
-64.686,-118.692,2.500,-0.0000,DMC,1
-65.112,-113.482,2.500,-0.0000,DMC,1
-60.112,-113.472,2.500,-0.0000,EC,1
-51.179,-116.340,2.500,-0.0000,EC,1
-53.305,-114.590,0.760,1.0000,LithiumIon,0
-55.195,-112.563,2.500,-0.0000,EC,1
-72.408,-110.698,2.500,-0.0000,DMC,1
-66.162,-108.527,2.500,-0.0000,DMC,1
-70.646,-106.008,2.500,-0.0000,DMC,1
-70.435,-100.338,2.500,-0.0000,EC,1
-66.419,-103.311,2.500,-0.0000,EC,1
-57.825,-108.315,2.500,-0.0000,EC,1
-61.878,-105.390,2.500,-0.0000,EC,1
-41.924,-120.001,2.500,-0.0000,EC,1
-46.725,-118.604,2.500,-0.0000,EC,1
-36.241,-120.000,2.500,-0.0000,DMC,1
-30.081,-119.993,2.500,-0.0000,DMC,1
-25.082,-119.786,2.500,-0.0000,DMC,1
-35.308,-113.897,2.500,-0.0000,EC,1
-39.805,-102.045,2.500,-0.0000,EC,1
-30.583,-112.262,2.500,-0.0000,EC,1
-26.235,-109.793,2.500,-0.0000,EC,1
-20.063,-119.247,2.500,-0.0000,DMC,1
-22.563,-114.915,2.500,-0.0000,DMC,1
-17.563,-114.917,2.500,-0.0000,EC,1
-12.570,-115.181,2.500,-0.0000,DMC,1
-10.562,-119.980,2.500,-0.0000,DMC,1
-5.570,-119.701,2.500,-0.0000,EC,1
-0.423,-120.001,2.500,-0.0000,DMC,1
-1.830,-115.203,2.500,-0.0000,DMC,1
-21.975,-107.176,2.500,-0.0000,DMC,1
-17.023,-106.438,2.500,-0.0000,DMC,1
-20.314,-102.460,2.500,-0.0000,DMC,1
-13.961,-101.331,2.500,-0.0000,DMC,1
-7.409,-108.155,2.500,-0.0000,DMC,1
-2.779,-110.294,2.500,-0.0000,EC,1
-12.040,-106.013,2.500,-0.0000,DMC,1
-197.326,-99.294,2.500,-0.0000,DMC,1
-198.230,-94.376,2.500,-0.0000,DMC,1
-188.773,-92.183,2.500,-0.0000,EC,1
-191.134,-87.783,2.500,-0.0000,EC,1
-185.939,-96.297,2.500,-0.0000,EC,1
-179.351,-88.446,2.500,-0.0000,DMC,1
-192.977,-83.144,2.500,-0.0000,EC,1
-194.161,-78.298,2.500,-0.0000,EC,1
-175.964,-84.768,2.500,-0.0000,DMC,1
-180.843,-83.674,2.500,-0.0000,EC,1
-183.870,-79.695,2.500,-0.0000,DMC,1
-179.171,-76.073,2.500,-0.0000,DMC,1
-165.338,-98.085,2.500,-0.0000,EC,1
-174.521,-89.738,2.500,-0.0000,DMC,1
-155.846,-97.398,2.500,-0.0000,EC,1
-156.808,-92.492,2.500,-0.0000,EC,1
-158.318,-87.725,2.500,-0.0000,EC,1
-163.150,-79.040,2.500,-0.0000,EC,1
-167.124,-76.005,2.500,-0.0000,DMC,1
-160.256,-83.117,2.500,-0.0000,EC,1
-150.718,-76.456,2.500,-0.0000,DMC,1
-194.607,-73.320,2.500,-0.0000,EC,1
-195.059,-68.342,2.500,-0.0000,DMC,1
-199.839,-65.064,2.500,-0.0000,DMC,1
-195.146,-63.344,2.500,-0.0000,EC,1
-183.420,-73.438,2.500,-0.0000,DMC,1
-186.451,-69.462,2.500,-0.0000,DMC,1
-183.009,-63.128,2.500,-0.0000,DMC,1
-179.887,-67.036,2.500,-0.0000,DMC,1
-197.357,-56.910,2.500,-0.0000,DMC,1
-193.495,-60.959,0.760,1.0000,LithiumIon,0
-191.814,-58.657,2.500,-0.0000,EC,1
-200.000,-52.666,2.500,-0.0000,DMC,1
-194.272,-52.519,2.500,-0.0000,DMC,1
-189.483,-54.234,2.500,-0.0000,EC,1
-179.609,-59.462,2.500,-0.0000,EC,1
-175.019,-57.479,2.500,-0.0000,DMC,1
-184.591,-53.141,2.500,-0.0000,DMC,1
-171.304,-69.457,2.500,-0.0000,DMC,1
-166.325,-69.920,2.500,-0.0000,DMC,1
-174.981,-66.070,2.500,-0.0000,DMC,1
-170.212,-64.567,2.500,-0.0000,DMC,1
