x,y,radius,charge,species,electrons
-196.355,-115.651,2.500,-0.0000,EC,1
-191.757,-117.615,2.500,-0.0000,EC,1
-191.470,-112.610,2.500,-0.0000,EC,1
-176.460,-119.340,2.500,-0.0000,DMC,1
-182.177,-116.911,2.500,-0.0000,DMC,1
-195.780,-111.183,2.000,-1.0000,ElectrolyteAnion,1
-198.466,-107.536,2.500,-0.0000,EC,1
-195.593,-107.531,0.760,1.0000,LithiumIon,0
-192.780,-107.785,2.500,-0.0000,EC,1
-183.625,-101.363,2.500,-0.0000,DMC,1
-174.834,-114.485,2.500,-0.0000,DMC,1
-164.434,-117.592,2.500,-0.0000,DMC,1
-160.052,-120.000,2.500,-0.0000,DMC,1
-155.580,-117.765,2.500,-0.0000,DMC,1
-150.938,-115.905,2.500,-0.0000,DMC,1
-172.429,-100.213,2.500,-0.0000,EC,1
-154.717,-108.943,2.500,-0.0000,EC,1
-160.635,-104.968,2.500,-0.0000,DMC,1
-155.719,-104.044,2.500,-0.0000,EC,1
-138.767,-119.407,2.500,-0.0000,DMC,1
-147.138,-112.656,2.500,-0.0000,DMC,1
-138.135,-114.447,2.500,-0.0000,DMC,1
-133.354,-112.982,2.500,-0.0000,DMC,1
-130.390,-117.010,2.500,-0.0000,DMC,1
-138.410,-104.773,2.500,-0.0000,EC,1
-137.014,-109.574,2.500,-0.0000,EC,1
-125.245,-107.232,2.500,-0.0000,EC,1
-128.915,-103.836,2.500,-0.0000,DMC,1
-117.044,-119.233,2.500,-0.0000,DMC,1
-119.240,-114.739,2.500,-0.0000,DMC,1
-104.609,-119.987,2.500,-0.0000,DMC,1
-107.941,-116.260,2.500,-0.0000,DMC,1
-112.408,-114.012,2.500,-0.0000,DMC,1
-100.574,-115.953,2.500,-0.0000,DMC,1
-121.167,-110.125,2.500,-0.0000,EC,1
-116.208,-110.763,2.500,-0.0000,DMC,1
-115.478,-105.250,2.500,-0.0000,DMC,1
-110.678,-106.649,2.500,-0.0000,DMC,1
-107.193,-103.064,2.500,-0.0000,DMC,1
-101.407,-106.019,2.500,-0.0000,DMC,1
-95.352,-119.947,2.500,-0.0000,DMC,1
-89.108,-119.070,2.500,-0.0000,DMC,1
-91.122,-113.921,2.500,-0.0000,DMC,1
-82.563,-119.827,2.500,-0.0000,DMC,1
-97.656,-111.893,2.500,-0.0000,DMC,1
-96.217,-106.772,2.500,-0.0000,DMC,1
-94.427,-102.079,2.000,-1.0000,ElectrolyteAnion,1
-90.908,-104.919,2.500,-0.0000,EC,1
-85.914,-104.689,2.500,-0.0000,EC,1
-85.557,-101.902,0.760,1.0000,LithiumIon,0
-67.332,-120.007,2.500,-0.0000,EC,1
-69.063,-117.800,0.760,1.0000,LithiumIon,0
-70.441,-115.260,2.500,-0.0000,EC,1
-65.962,-115.718,2.000,-1.0000,ElectrolyteAnion,1
-62.527,-118.626,2.500,-0.0000,EC,1
-62.211,-113.224,2.500,-0.0000,DMC,1
-67.254,-111.407,2.500,-0.0000,EC,1
-72.976,-101.089,2.500,-0.0000,EC,1
-57.580,-111.318,2.500,-0.0000,DMC,1
-52.621,-111.955,2.500,-0.0000,DMC,1
-62.059,-100.857,2.500,-0.0000,EC,1
-46.481,-119.757,2.500,-0.0000,DMC,1
-42.160,-117.241,2.500,-0.0000,DMC,1
-39.804,-112.831,2.500,-0.0000,DMC,1
-30.353,-119.541,2.500,-0.0000,DMC,1
-30.013,-112.845,2.500,-0.0000,DMC,1
-47.642,-112.411,2.500,-0.0000,DMC,1
-38.971,-100.912,2.500,-0.0000,EC,1
-33.566,-109.299,2.500,-0.0000,EC,1
-36.552,-105.288,2.500,-0.0000,EC,1
-33.971,-100.894,2.500,-0.0000,EC,1
-24.556,-115.841,2.500,-0.0000,DMC,1
-19.562,-116.085,2.500,-0.0000,DMC,1
-14.803,-114.554,2.500,-0.0000,DMC,1
-5.452,-118.862,2.500,-0.0000,DMC,1
-0.689,-117.343,2.500,-0.0000,DMC,1
-13.873,-105.537,2.500,-0.0000,DMC,1
-10.324,-112.332,2.500,-0.0000,DMC,1
-5.385,-111.566,2.500,-0.0000,DMC,1
-0.426,-112.207,2.500,-0.0000,DMC,1
-9.118,-103.992,2.500,-0.0000,DMC,1
-3.414,-100.470,2.500,-0.0000,DMC,1
-191.090,-98.580,2.500,-0.0000,DMC,1
-194.312,-92.420,2.500,-0.0000,DMC,1
-198.948,-90.548,2.500,-0.0000,DMC,1
-181.260,-94.658,2.500,-0.0000,EC,1
-176.974,-98.130,2.500,-0.0000,EC,1
-179.266,-96.513,0.760,1.0000,LithiumIon,0
-185.088,-92.293,2.000,-1.0000,ElectrolyteAnion,1
-183.292,-88.169,2.500,-0.0000,EC,1
-177.991,-91.565,2.000,-1.0000,ElectrolyteAnion,1
-187.897,-80.983,2.500,-0.0000,DMC,1
-181.334,-86.178,0.760,1.0000,LithiumIon,0
-176.176,-87.070,2.500,-0.0000,EC,1
-180.245,-83.485,2.500,-0.0000,EC,1
-176.535,-80.136,2.500,-0.0000,EC,1
-180.731,-77.418,2.500,-0.0000,EC,1
-154.123,-93.833,2.500,-0.0000,EC,1
-151.255,-93.780,0.760,1.0000,LithiumIon,0
-155.968,-89.186,2.500,-0.0000,EC,1
-151.564,-90.113,2.000,-1.0000,ElectrolyteAnion,1
-164.841,-86.413,2.500,-0.0000,DMC,1
-151.600,-85.612,2.500,-0.0000,EC,1
-155.406,-82.367,2.500,-0.0000,EC,1
-150.695,-80.695,2.500,-0.0000,EC,1
-154.509,-77.447,2.500,-0.0000,EC,1
-199.713,-73.384,2.500,-0.0000,DMC,1
-194.764,-72.670,2.500,-0.0000,DMC,1
-190.181,-69.025,2.500,-0.0000,DMC,1
-180.621,-68.889,2.500,-0.0000,EC,1
-175.641,-69.307,2.500,-0.0000,EC,1
-185.422,-67.492,2.500,-0.0000,EC,1
-186.296,-62.518,2.500,-0.0000,DMC,1
-200.000,-57.990,2.500,-0.0000,DMC,1
-195.011,-57.657,2.500,-0.0000,EC,1
-190.810,-60.368,2.500,-0.0000,EC,1
-197.794,-53.503,2.500,-0.0000,DMC,1
-182.712,-58.912,2.500,-0.0000,DMC,1
-176.016,-58.241,2.500,-0.0000,EC,1
-177.875,-53.602,2.500,-0.0000,EC,1
-172.827,-69.366,0.760,1.0000,LithiumIon,0
-170.031,-69.250,2.500,-0.0000,EC,1
-166.435,-72.722,2.500,-0.0000,EC,1
-174.853,-63.102,2.500,-0.0000,DMC,1
-165.311,-67.609,2.500,-0.0000,EC,1
-161.496,-73.501,2.500,-0.0000,EC,1
-156.536,-72.877,2.500,-0.0000,EC,1
-152.467,-69.972,2.500,-0.0000,EC,1
-160.890,-65.273,2.500,-0.0000,EC,1
-164.506,-53.984,2.500,-0.0000,DMC,1
-158.462,-60.902,2.500,-0.0000,DMC,1
-159.008,-50.058,2.500,-0.0000,DMC,1
-139.939,-95.023,2.500,-0.0000,EC,1
-148.426,-93.341,2.500,-0.0000,EC,1
-147.412,-88.378,2.500,-0.0000,EC,1
-143.695,-91.722,2.500,-0.0000,EC,1
-135.410,-97.140,2.500,-0.0000,DMC,1
-130.773,-99.193,2.500,-0.0000,DMC,1
-129.978,-91.654,2.500,-0.0000,DMC,1
-147.464,-83.840,2.000,-1.0000,ElectrolyteAnion,1
-142.972,-84.259,2.500,-0.0000,DMC,1
-147.994,-79.969,0.760,1.0000,LithiumIon,0
-145.163,-79.768,2.500,-0.0000,EC,1
-138.060,-78.053,2.500,-0.0000,DMC,1
-125.784,-82.720,2.500,-0.0000,EC,1
-127.509,-77.598,2.500,-0.0000,DMC,1
-118.296,-95.437,2.500,-0.0000,EC,1
-113.557,-93.844,2.500,-0.0000,EC,1
-122.539,-92.795,2.500,-0.0000,EC,1
-124.375,-88.150,2.500,-0.0000,EC,1
-108.709,-92.622,2.500,-0.0000,EC,1
-109.360,-87.664,2.500,-0.0000,DMC,1
-104.013,-90.907,2.500,-0.0000,EC,1
-124.964,-85.365,0.760,1.0000,LithiumIon,0
-119.469,-87.184,2.500,-0.0000,EC,1
-121.486,-81.388,2.000,-1.0000,ElectrolyteAnion,1
-121.878,-76.905,2.500,-0.0000,EC,1
-110.311,-82.742,2.500,-0.0000,DMC,1
-100.764,-87.107,2.500,-0.0000,EC,1
-105.013,-82.435,2.500,-0.0000,DMC,1
-109.510,-77.669,2.500,-0.0000,DMC,1
-101.166,-79.241,2.500,-0.0000,DMC,1
-147.856,-68.039,2.500,-0.0000,EC,1
-147.336,-63.062,2.500,-0.0000,DMC,1
