# v_dc=-4.494976e-2  i_dc=-1.845323e-5  freq=2.154e-3
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
5.0000e0,-9.895472e-3,-6.763193e-3,3.505429e-2,-6.744740e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
1.0000e1,-2.010131e-2,-1.349541e-2,2.484845e-2,-1.347696e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
1.5000e1,-1.401342e-2,-2.016584e-2,3.093634e-2,-2.014738e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.0000e1,-2.979133e-2,-2.674391e-2,1.515843e-2,-2.672546e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
2.5000e1,-8.033921e-3,-3.319952e-2,3.691584e-2,-3.318107e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.0000e1,-1.516266e-2,-3.950309e-2,2.978710e-2,-3.948464e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
3.5000e1,-1.768116e-2,-4.562577e-2,2.726860e-2,-4.560732e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.0000e1,-2.119657e-2,-5.153952e-2,2.375319e-2,-5.152106e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
4.5000e1,-2.249145e-2,-5.721725e-2,2.245831e-2,-5.719879e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.0000e1,-2.180428e-2,-6.263296e-2,2.314548e-2,-6.261450e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.5000e1,-1.667153e-2,-6.776185e-2,2.827823e-2,-6.774340e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.0000e1,-1.483414e-2,-7.258044e-2,3.011562e-2,-7.256199e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.5000e1,-1.763894e-2,-7.706667e-2,2.731082e-2,-7.704821e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.0000e1,-1.740144e-2,-8.119998e-2,2.754832e-2,-8.118153e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
7.5000e1,-2.546716e-2,-8.496144e-2,1.948260e-2,-8.494299e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
8.0000e1,-2.817794e-2,-8.833385e-2,1.677182e-2,-8.831540e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
8.5000e1,-3.055394e-2,-9.130175e-2,1.439582e-2,-9.128329e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
9.0000e1,-2.867233e-2,-9.385154e-2,1.627743e-2,-9.383309e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
9.5000e1,-3.195278e-2,-9.597156e-2,1.299698e-2,-9.595311e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
