# v_dc=-6.829852e-1  i_dc=2.119449e-8  freq=1.077e-4
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
4.0000e1,4.079631e-2,-2.707012e-3,7.237815e-1,-2.707033e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
8.0000e1,3.733962e-2,-5.412040e-3,7.203248e-1,-5.412061e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
1.2000e2,3.701436e-2,-8.113100e-3,7.199995e-1,-8.113121e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
1.6000e2,4.067049e-2,-1.080822e-2,7.236557e-1,-1.080824e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.0000e2,2.846919e-2,-1.349541e-2,7.114544e-1,-1.349543e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.4000e2,3.193967e-2,-1.617271e-2,7.149248e-1,-1.617273e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.8000e2,2.571024e-2,-1.883816e-2,7.086954e-1,-1.883818e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.2000e2,2.414426e-2,-2.148980e-2,7.071294e-1,-2.148982e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.6000e2,1.735903e-2,-2.412569e-2,7.003442e-1,-2.412571e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.0000e2,1.652732e-2,-2.674390e-2,6.995125e-1,-2.674392e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.4000e2,7.916603e-3,-2.934251e-2,6.909018e-1,-2.934253e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.8000e2,9.952376e-3,-3.191961e-2,6.929376e-1,-3.191963e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.2000e2,6.596526e-3,-3.447332e-2,6.895817e-1,-3.447334e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
5.6000e2,-3.482778e-3,-3.700176e-2,6.795024e-1,-3.700178e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.0000e2,-7.208558e-3,-3.950308e-2,6.757766e-1,-3.950310e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
6.4000e2,-1.626047e-2,-4.197545e-2,6.667247e-1,-4.197547e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
6.8000e2,-3.323808e-2,-4.441705e-2,6.497471e-1,-4.441707e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.2000e2,-3.355296e-2,-4.682610e-2,6.494322e-1,-4.682612e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
7.6000e2,-6.777173e-2,-4.920083e-2,6.152134e-1,-4.920085e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
8.0000e2,-6.720995e-2,-5.153950e-2,6.157752e-1,-5.153952e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
8.4000e2,-6.682903e-2,-5.384039e-2,6.161562e-1,-5.384041e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
8.8000e2,-7.301460e-2,-5.610183e-2,6.099706e-1,-5.610185e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
9.2000e2,-8.713219e-2,-5.832214e-2,5.958530e-1,-5.832216e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
9.6000e2,-1.018368e-1,-6.049971e-2,5.811483e-1,-6.049973e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.0000e3,-1.239439e-1,-6.263293e-2,5.590413e-1,-6.263295e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.0400e3,-1.307609e-1,-6.472026e-2,5.522243e-1,-6.472028e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.0800e3,-1.276182e-1,-6.676015e-2,5.553669e-1,-6.676017e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.1200e3,-1.543004e-1,-6.875110e-2,5.286848e-1,-6.875112e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.1600e3,-1.713193e-1,-7.069167e-2,5.116659e-1,-7.069169e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.2000e3,-1.891654e-1,-7.258042e-2,4.938198e-1,-7.258044e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.2400e3,-2.080350e-1,-7.441597e-2,4.749502e-1,-7.441600e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.2800e3,-2.052506e-1,-7.619700e-2,4.777346e-1,-7.619702e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.3200e3,-2.187128e-1,-7.792217e-2,4.642724e-1,-7.792219e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.3600e3,-2.382104e-1,-7.959022e-2,4.447748e-1,-7.959024e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.4000e3,-2.517761e-1,-8.119995e-2,4.312091e-1,-8.119997e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.4400e3,-2.820900e-1,-8.275016e-2,4.008952e-1,-8.275019e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.4800e3,-2.805977e-1,-8.423973e-2,4.023875e-1,-8.423975e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.5200e3,-3.039618e-1,-8.566755e-2,3.790234e-1,-8.566757e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.5600e3,-3.312017e-1,-8.703258e-2,3.517834e-1,-8.703260e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.6000e3,-3.337933e-1,-8.833383e-2,3.491918e-1,-8.833385e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.6400e3,-3.512982e-1,-8.957034e-2,3.316869e-1,-8.957036e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.6800e3,-3.839605e-1,-9.074118e-2,2.990247e-1,-9.074120e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.7200e3,-3.947132e-1,-9.184553e-2,2.882720e-1,-9.184556e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.7600e3,-4.151294e-1,-9.288257e-2,2.678558e-1,-9.288259e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.8000e3,-4.459023e-1,-9.385152e-2,2.370829e-1,-9.385154e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.8400e3,-4.817019e-1,-9.475169e-2,2.012833e-1,-9.475171e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.8800e3,-4.920273e-1,-9.558242e-2,1.909578e-1,-9.558244e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
1.9200e3,-4.870805e-1,-9.634309e-2,1.959047e-1,-9.634311e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
1.9600e3,-5.069587e-1,-9.703314e-2,1.760265e-1,-9.703316e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.0000e3,-5.295660e-1,-9.765208e-2,1.534191e-1,-9.765210e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.0400e3,-5.309330e-1,-9.819945e-2,1.520522e-1,-9.819947e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.0800e3,-5.556324e-1,-9.867484e-2,1.273528e-1,-9.867486e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.1200e3,-5.946288e-1,-9.907792e-2,8.835637e-2,-9.907794e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.1600e3,-6.012311e-1,-9.940837e-2,8.175408e-2,-9.940839e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.2000e3,-6.305246e-1,-9.966597e-2,5.246054e-2,-9.966599e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.2400e3,-6.386858e-1,-9.985052e-2,4.429936e-2,-9.985054e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.2800e3,-6.616521e-1,-9.996188e-2,2.133303e-2,-9.996191e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.3200e3,-7.113895e-1,-9.999999e-2,-2.840436e-2,-1.000000e-1,0.000000e0,-2.370690e-3,-6.110876e0,0
2.3600e3,-6.971310e-1,-9.996480e-2,-1.414580e-2,-9.996482e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.4000e3,-7.584795e-1,-9.985634e-2,-7.549430e-2,-9.985636e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.4400e3,-7.655599e-1,-9.967469e-2,-8.257473e-2,-9.967472e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.4800e3,-8.090302e-1,-9.942000e-2,-1.260450e-1,-9.942002e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.5200e3,-8.164042e-1,-9.909243e-2,-1.334190e-1,-9.909245e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.5600e3,-8.169791e-1,-9.869223e-2,-1.339939e-1,-9.869225e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.6000e3,-8.546143e-1,-9.821971e-2,-1.716291e-1,-9.821973e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.6400e3,-8.808644e-1,-9.767520e-2,-1.978792e-1,-9.767522e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.6800e3,-8.889853e-1,-9.705909e-2,-2.060001e-1,-9.705911e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
2.7200e3,-8.726548e-1,-9.637185e-2,-1.896696e-1,-9.637187e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.7600e3,-9.338470e-1,-9.561398e-2,-2.508618e-1,-9.561400e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.8000e3,-9.400463e-1,-9.478602e-2,-2.570611e-1,-9.478604e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.8400e3,-9.651207e-1,-9.388860e-2,-2.821355e-1,-9.388862e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.8800e3,-9.902245e-1,-9.292236e-2,-3.072394e-1,-9.292238e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.9200e3,-1.025699e0,-9.188802e-2,-3.427138e-1,-9.188804e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
2.9600e3,-1.060647e0,-9.078633e-2,-3.776620e-1,-9.078635e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.0000e3,-1.070030e0,-8.961810e-2,-3.870446e-1,-8.961812e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.0400e3,-1.036535e0,-8.838419e-2,-3.535501e-1,-8.838421e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.0800e3,-1.103753e0,-8.708550e-2,-4.207676e-1,-8.708552e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.1200e3,-1.110664e0,-8.572298e-2,-4.276787e-1,-8.572300e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.1600e3,-1.158020e0,-8.429764e-2,-4.750350e-1,-8.429766e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.2000e3,-1.154943e0,-8.281050e-2,-4.719573e-1,-8.281052e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.2400e3,-1.139793e0,-8.126267e-2,-4.568079e-1,-8.126269e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.2800e3,-1.172104e0,-7.965529e-2,-4.891187e-1,-7.965531e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.3200e3,-1.200039e0,-7.798953e-2,-5.170534e-1,-7.798955e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.3600e3,-1.167627e0,-7.626661e-2,-4.846414e-1,-7.626663e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.4000e3,-1.224916e0,-7.448778e-2,-5.419303e-1,-7.448780e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.4400e3,-1.258968e0,-7.265436e-2,-5.759832e-1,-7.265438e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.4800e3,-1.285002e0,-7.076769e-2,-6.020167e-1,-7.076771e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
