[run_job] id=doe-cos-024
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-024
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-024_amp3e-4_freq1e-6to3e-6_cos.log
[run_job] args: --amplitude 0.0003 --f-min 1e-6 --f-max 3e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-03T18:19:16Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 3 frequencies from 3.00e-6 to 1.00e-6 (1/fs)
[EIS] Estimated total time: 15285468 fs (15285.5 ps), amplitude=3.0000e-4
[EIS] Group A (+ perturbation): [1], Group B (- perturbation): [2]
[EIS] Voltage probes: 0 per group (A=130, B=130)
EIS sweep started (Galvanostatic)
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=5fs/2666666fs cycles=0.00 samples=0 V=-5.0000e-3 I=-3.0000e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=50005fs/2666666fs cycles=0.15 samples=0 V=-3.6936e-2 I=-1.7631e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=100005fs/2666666fs cycles=0.30 samples=0 V=-3.1130e-2 I=9.2732e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=150005fs/2666666fs cycles=0.45 samples=0 V=1.1824e-2 I=2.8533e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=200005fs/2666666fs cycles=0.60 samples=0 V=5.4954e-2 I=2.4269e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=250005fs/2666666fs cycles=0.75 samples=0 V=5.3162e-2 I=-2.8757e-8
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=300005fs/2666666fs cycles=0.90 samples=0 V=3.4554e-2 I=-2.4272e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=350005fs/2666666fs cycles=1.05 samples=0 V=-2.6649e-2 I=-2.8531e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=400005fs/2666666fs cycles=1.20 samples=0 V=-7.8094e-2 I=-9.2678e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=450005fs/2666666fs cycles=1.35 samples=0 V=-7.1736e-2 I=1.7636e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=500005fs/2666666fs cycles=1.50 samples=0 V=2.1827e-3 I=3.0000e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=550005fs/2666666fs cycles=1.65 samples=0 V=4.8827e-2 I=1.7631e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=600005fs/2666666fs cycles=1.80 samples=0 V=7.8867e-2 I=-9.2733e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=650005fs/2666666fs cycles=1.95 samples=0 V=1.5586e-2 I=-2.8533e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=700005fs/2666666fs cycles=2.10 samples=0 V=-5.0763e-2 I=-2.4269e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=750005fs/2666666fs cycles=2.25 samples=0 V=-6.9633e-2 I=2.9479e-8
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=800005fs/2666666fs cycles=2.40 samples=0 V=-5.2331e-2 I=2.4272e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=850005fs/2666666fs cycles=2.55 samples=0 V=2.2688e-2 I=2.8531e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=900005fs/2666666fs cycles=2.70 samples=0 V=7.0245e-2 I=9.2677e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=950005fs/2666666fs cycles=2.85 samples=0 V=4.8555e-2 I=-1.7636e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=1000005fs/2666666fs cycles=3.00 samples=0 V=-4.3937e-3 I=-3.0000e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=1050005fs/2666666fs cycles=3.15 samples=0 V=-5.6265e-2 I=-1.7631e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=1100005fs/2666666fs cycles=3.30 samples=0 V=-6.7764e-2 I=9.2734e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=1150005fs/2666666fs cycles=3.45 samples=0 V=-1.4176e-2 I=2.8533e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=1200005fs/2666666fs cycles=3.60 samples=0 V=3.3416e-2 I=2.4269e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=1250005fs/2666666fs cycles=3.75 samples=0 V=5.9982e-2 I=-3.0345e-8
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Settling elapsed=1300005fs/2666666fs cycles=3.90 samples=0 V=2.8344e-2 I=-2.4272e-4
[EIS] Freq 1/3 (3.00e-6): settling complete, now recording
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1350005fs/2666666fs cycles=4.05 samples=3333 V=-3.7431e-2 I=-2.8531e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1400005fs/2666666fs cycles=4.20 samples=13333 V=-6.9396e-2 I=-9.2676e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1450005fs/2666666fs cycles=4.35 samples=23333 V=-6.4798e-2 I=1.7636e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1500005fs/2666666fs cycles=4.50 samples=33333 V=-3.7162e-3 I=3.0000e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1550005fs/2666666fs cycles=4.65 samples=43333 V=5.2757e-2 I=1.7631e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1600005fs/2666666fs cycles=4.80 samples=53333 V=6.4572e-2 I=-9.2735e-5
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1650005fs/2666666fs cycles=4.95 samples=63333 V=9.2280e-3 I=-2.8533e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1700005fs/2666666fs cycles=5.10 samples=73333 V=-5.3135e-2 I=-2.4269e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1750005fs/2666666fs cycles=5.25 samples=83333 V=-7.3587e-2 I=3.1496e-8
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1800005fs/2666666fs cycles=5.40 samples=93333 V=-4.8747e-2 I=2.4272e-4
[EIS] freq 1/3 (3.00e-6 1/fs) phase=Recording elapsed=1850005fs/2666666fs cycles=5.55 samples=103333 V=1.6573e-2 I=2.8531e-4
