[run_job] id=doe-cos-027
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-027
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-027_amp1e-4_freq3e-7to1e-6_cos.log
[run_job] args: --amplitude 1e-4 --f-min 3e-7 --f-max 1e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-04T23:29:32Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 4 frequencies from 1.00e-6 to 3.00e-7 (1/fs)
[EIS] Estimated total time: 64468612 fs (64468.6 ps), amplitude=1.0000e-4
[EIS] Group A (+ perturbation): [1], Group B (- perturbation): [2]
[EIS] Voltage probes: 0 per group (A=130, B=130)
EIS sweep started (Galvanostatic)
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=5fs/8000000fs cycles=0.00 samples=0 V=2.6329e-3 I=-1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=50005fs/8000000fs cycles=0.05 samples=0 V=-1.2719e-2 I=-9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=100005fs/8000000fs cycles=0.10 samples=0 V=-3.0149e-2 I=-8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=150005fs/8000000fs cycles=0.15 samples=0 V=-2.1545e-2 I=-5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=200005fs/8000000fs cycles=0.20 samples=0 V=-2.6112e-2 I=-3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=250005fs/8000000fs cycles=0.25 samples=0 V=-2.1074e-2 I=3.1515e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=300005fs/8000000fs cycles=0.30 samples=0 V=-3.1564e-2 I=3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=350005fs/8000000fs cycles=0.35 samples=0 V=-2.1439e-2 I=5.8781e-5
