# step=12568 time_fs=112840.00 v_cell=1.040969e-1 applied_i=1.710772e-2
id,species,x,y,charge,vx,vy
3499,DMC,-194.8788,-97.6226,-0.000000e0,-8.7944e-4,1.8261e-4
3275,DMC,-183.6998,-94.5764,-0.000000e0,-5.6322e-4,-4.5540e-4
2553,SEI,-179.5875,-97.9995,0.000000e0,-1.9629e-27,7.1836e-28
3011,EC,-185.8836,-88.2077,-0.000000e0,-2.7783e-3,1.0212e-3
2685,SEI,-177.7357,-92.8206,0.000000e0,-2.4213e-11,-2.3615e-12
3119,DMC,-177.7902,-87.5562,-0.000000e0,-1.2674e-4,-2.8384e-5
2814,EC,-188.9454,-84.2257,-0.000000e0,-6.9548e-4,6.0767e-4
3135,DMC,-191.7277,-76.2062,-0.000000e0,1.8692e-3,3.1670e-3
2,LithiumIon,-186.0871,-83.1653,1.000000e0,-1.5336e-3,1.3285e-3
2889,EC,-183.1322,-84.0291,-0.000000e0,-2.3858e-3,7.1017e-4
2613,SEI,-177.5412,-82.0932,0.000000e0,-1.1084e-9,2.9766e-10
2888,EC,-186.2021,-80.0303,-0.000000e0,-2.3024e-4,1.0015e-3
2499,ElectrolyteAnion,-181.7070,-79.7596,-1.000000e0,4.8324e-4,6.2599e-5
3443,DMC,-185.2867,-75.0382,-0.000000e0,4.4531e-4,7.7132e-4
3530,DMC,-177.8781,-76.8539,-0.000000e0,7.3983e-4,5.1468e-5
3050,SEI,-174.4642,-100.0000,0.000000e0,-1.5091e-27,-1.7564e-27
3,LithiumMetal,-170.4135,-98.6491,-0.000000e0,2.1619e-7,1.7668e-7
18,LithiumMetal,-173.7526,-95.5944,-0.000000e0,1.3872e-7,1.6468e-7
19,LithiumMetal,-170.4317,-95.4857,-0.000000e0,8.8658e-8,2.7130e-8
4,LithiumMetal,-167.3575,-98.6050,-0.000000e0,5.8886e-9,1.8155e-7
5,LithiumMetal,-164.3149,-98.5799,1.000000e0,-7.1377e-10,1.8638e-7
20,LithiumMetal,-167.3657,-95.4666,-0.000000e0,7.4990e-9,2.9196e-8
21,LithiumMetal,-164.3175,-95.4514,-0.000000e0,2.2700e-9,3.1609e-8
34,LithiumMetal,-173.4859,-92.4062,-0.000000e0,1.9700e-7,1.6449e-8
35,LithiumMetal,-170.4291,-92.3983,-0.000000e0,2.9284e-9,4.2201e-9
50,LithiumMetal,-173.5990,-89.3683,-0.000000e0,1.8869e-7,4.7714e-8
51,LithiumMetal,-170.4499,-89.3584,-0.000000e0,4.1972e-8,1.5388e-8
36,LithiumMetal,-167.3821,-92.3994,-0.000000e0,2.5829e-9,1.2248e-8
37,LithiumMetal,-164.3406,-92.3997,-0.000000e0,7.6530e-10,1.3240e-9
52,LithiumMetal,-167.3978,-89.3586,-0.000000e0,6.0902e-9,3.2974e-10
53,LithiumMetal,-164.3566,-89.3597,-0.000000e0,1.5250e-9,4.0757e-9
6,LithiumMetal,-161.2711,-98.5582,-0.000000e0,-7.3803e-8,1.9343e-7
7,LithiumMetal,-158.2311,-98.5584,-0.000000e0,-2.6199e-8,1.2087e-7
22,LithiumMetal,-161.2773,-95.4508,-0.000000e0,-2.2022e-6,-8.5459e-6
23,LithiumMetal,-158.2371,-95.4492,-0.000000e0,-1.7820e-9,2.6479e-8
8,LithiumMetal,-155.1895,-98.5571,-0.000000e0,-6.7022e-8,1.9856e-7
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,5.2542e-12,1.4733e-11
24,LithiumMetal,-155.1959,-95.4492,-0.000000e0,-7.1926e-8,2.5455e-8
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,5.0722e-12,1.3487e-13
38,LithiumMetal,-161.2997,-92.4006,-0.000000e0,8.0885e-10,4.7662e-9
39,LithiumMetal,-158.2596,-92.4010,-0.000000e0,4.2248e-10,3.8705e-9
54,LithiumMetal,-161.3162,-89.3605,-0.000000e0,1.0159e-9,-7.8823e-11
55,LithiumMetal,-158.2755,-89.3608,-0.000000e0,1.0212e-9,-2.3656e-12
40,LithiumMetal,-155.2194,-92.4003,-0.000000e0,-7.5763e-8,3.9448e-9
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,6.0087e-12,1.1859e-12
56,LithiumMetal,-155.2347,-89.3598,-0.000000e0,-7.9611e-8,1.5581e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,6.1810e-12,5.1463e-16
66,LithiumMetal,-173.5537,-86.3286,-0.000000e0,2.0036e-7,-3.2488e-9
67,LithiumMetal,-170.4478,-86.3172,-0.000000e0,2.8523e-8,-4.2867e-10
82,LithiumMetal,-173.4426,-83.2906,-0.000000e0,2.0794e-7,-1.1586e-9
83,LithiumMetal,-170.4025,-83.2773,1.000000e0,-6.7212e-9,-9.7059e-10
68,LithiumMetal,-167.3996,-86.3186,-0.000000e0,5.5308e-9,-9.0680e-11
69,LithiumMetal,-164.3571,-86.3195,-0.000000e0,3.7418e-9,9.2919e-11
84,LithiumMetal,-167.3625,-83.2788,-0.000000e0,-5.4790e-9,1.1910e-10
85,LithiumMetal,-164.3225,-83.2796,-0.000000e0,-5.2940e-9,-2.1660e-10
98,LithiumMetal,-173.5528,-80.2409,-0.000000e0,-1.9497e-5,-2.6851e-5
99,LithiumMetal,-170.4488,-80.2376,-0.000000e0,2.8995e-8,-3.0055e-10
114,LithiumMetal,-173.5289,-77.2007,-0.000000e0,1.9572e-7,-2.2362e-10
115,LithiumMetal,-170.4263,-77.1977,-0.000000e0,2.5880e-8,-2.6103e-10
100,LithiumMetal,-167.3995,-80.2390,-0.000000e0,8.1346e-9,1.1963e-10
101,LithiumMetal,-164.3595,-80.2394,-0.000000e0,3.5881e-9,7.5377e-12
116,LithiumMetal,-167.3856,-77.1990,-0.000000e0,-2.3000e-10,6.5709e-11
117,LithiumMetal,-164.3454,-77.1994,-0.000000e0,-7.2763e-10,1.6932e-10
70,LithiumMetal,-161.3170,-86.3201,-0.000000e0,2.6560e-9,2.0657e-10
71,LithiumMetal,-158.2770,-86.3203,-0.000000e0,2.4875e-9,2.2531e-10
86,LithiumMetal,-161.2825,-83.2803,-0.000000e0,-5.2525e-9,-1.0326e-10
87,LithiumMetal,-158.2425,-83.2805,-0.000000e0,-5.2461e-9,8.7733e-11
72,LithiumMetal,-155.2366,-86.3198,-0.000000e0,-7.8690e-8,-1.4379e-10
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,6.2239e-12,6.0021e-16
88,LithiumMetal,-155.2025,-83.2798,-0.000000e0,-7.6353e-8,1.9087e-11
