# step=12988 time_fs=114940.00 v_cell=1.746004e-1 applied_i=-2.926305e-3
id,species,x,y,charge,vx,vy
3499,DMC,-196.8027,-97.2231,-0.000000e0,-9.9069e-4,2.0571e-4
3275,DMC,-184.9322,-95.5728,-0.000000e0,-6.3447e-4,-5.1301e-4
2553,SEI,-179.6001,-97.9995,0.000000e0,-1.2251e-11,-3.2037e-11
2685,SEI,-177.7451,-92.8217,0.000000e0,-9.5053e-11,2.1909e-11
3119,DMC,-177.3833,-87.5841,-0.000000e0,-3.7270e-5,-1.1663e-5
3011,EC,-190.3465,-83.0296,-0.000000e0,-7.8587e-4,3.3339e-3
2814,EC,-190.0642,-78.0247,-0.000000e0,1.6329e-3,2.9250e-3
2889,EC,-185.4965,-81.6779,-0.000000e0,-1.2735e-3,2.2310e-3
2613,SEI,-177.5472,-82.1166,0.000000e0,-8.8601e-16,2.5360e-16
2,LithiumIon,-187.1869,-79.1272,1.000000e0,9.4497e-4,2.8771e-3
2499,ElectrolyteAnion,-181.6022,-79.3993,-1.000000e0,6.9157e-4,1.3408e-3
2888,EC,-185.1982,-76.6622,-0.000000e0,8.8914e-4,2.4463e-3
3530,DMC,-177.8808,-76.8141,-0.000000e0,3.4196e-4,-1.1200e-4
3050,SEI,-174.4768,-100.0000,0.000000e0,6.7676e-13,-2.6428e-13
3,LithiumMetal,-170.4199,-98.6679,-0.000000e0,2.1201e-7,1.7197e-7
18,LithiumMetal,-173.7787,-95.6114,-0.000000e0,1.3289e-7,1.5933e-7
19,LithiumMetal,-170.4333,-95.4898,1.000000e0,9.3736e-8,3.0121e-8
4,LithiumMetal,-167.3542,-98.6163,-0.000000e0,1.1088e-8,1.7767e-7
5,LithiumMetal,-164.3135,-98.5880,-0.000000e0,-4.2028e-9,1.7845e-7
20,LithiumMetal,-167.3652,-95.4681,-0.000000e0,-7.3196e-8,-8.9812e-7
21,LithiumMetal,-164.3172,-95.4521,-0.000000e0,2.3544e-9,3.4248e-8
34,LithiumMetal,-173.4953,-92.4076,-0.000000e0,1.8966e-7,7.0350e-8
35,LithiumMetal,-170.4274,-92.3978,-0.000000e0,-3.7052e-5,-5.4332e-5
50,LithiumMetal,-173.6098,-89.3697,-0.000000e0,1.7586e-7,-1.2341e-7
51,LithiumMetal,-170.4506,-89.3575,-0.000000e0,5.1424e-8,-1.4147e-9
36,LithiumMetal,-167.3825,-92.3986,-0.000000e0,-4.6383e-8,1.2643e-7
37,LithiumMetal,-164.3396,-92.4001,-0.000000e0,1.7536e-9,5.6129e-9
52,LithiumMetal,-167.3979,-89.3586,-0.000000e0,2.9585e-5,2.1121e-6
53,LithiumMetal,-164.3563,-89.3599,-0.000000e0,1.3298e-9,-9.6701e-11
6,LithiumMetal,-161.2699,-98.5645,-0.000000e0,1.2897e-9,1.9082e-7
7,LithiumMetal,-158.2298,-98.5672,-0.000000e0,-3.9532e-10,1.9111e-7
22,LithiumMetal,-161.2770,-95.4513,-0.000000e0,-2.1598e-10,2.8849e-8
23,LithiumMetal,-158.2370,-95.4489,-0.000000e0,7.8797e-10,2.9933e-8
8,LithiumMetal,-155.1897,-98.5638,-0.000000e0,-6.7836e-8,1.9669e-7
2083,FoilMetal,-151.9800,-98.4800,1.000000e0,5.1561e-12,1.6842e-11
24,LithiumMetal,-155.1955,-95.4509,-0.000000e0,-6.9542e-8,2.7329e-8
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,5.2631e-12,-3.9931e-14
38,LithiumMetal,-161.2995,-92.4008,-0.000000e0,3.2877e-10,5.0178e-9
39,LithiumMetal,-158.2591,-92.4007,-0.000000e0,1.7843e-7,-2.9210e-8
54,LithiumMetal,-161.3148,-89.3608,-0.000000e0,1.5514e-9,-2.5721e-10
55,LithiumMetal,-158.2744,-89.3606,-0.000000e0,1.5601e-5,-2.5788e-6
40,LithiumMetal,-155.2190,-92.3996,-0.000000e0,-7.5619e-8,1.2757e-9
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,5.8231e-12,1.4687e-15
56,LithiumMetal,-155.2339,-89.3596,-0.000000e0,-7.9529e-8,3.8774e-9
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,6.1628e-12,1.2895e-15
66,LithiumMetal,-173.5637,-86.3300,-0.000000e0,9.5462e-8,-4.0289e-8
67,LithiumMetal,-170.4466,-86.3175,1.000000e0,3.3123e-8,-8.6339e-10
82,LithiumMetal,-173.4421,-83.2919,-0.000000e0,-1.5898e-5,-6.6722e-5
83,LithiumMetal,-170.4018,-83.2778,-0.000000e0,-6.7936e-9,-1.2179e-9
68,LithiumMetal,-167.3991,-86.3186,1.000000e0,-6.7326e-8,2.5233e-6
69,LithiumMetal,-164.3569,-86.3194,-0.000000e0,3.4896e-9,-2.9482e-12
84,LithiumMetal,-167.3617,-83.2789,-0.000000e0,1.2922e-8,5.6750e-6
85,LithiumMetal,-164.3217,-83.2796,-0.000000e0,4.5952e-8,2.5456e-10
98,LithiumMetal,-173.5666,-80.2406,1.000000e0,-1.6539e-5,1.5370e-5
99,LithiumMetal,-170.4503,-80.2380,-0.000000e0,3.3338e-8,1.0470e-9
114,LithiumMetal,-173.5373,-77.2007,-0.000000e0,6.4027e-7,1.7542e-5
115,LithiumMetal,-170.4265,-77.1979,-0.000000e0,2.8742e-8,-1.9813e-10
100,LithiumMetal,-167.3987,-80.2390,-0.000000e0,9.1131e-9,-4.0467e-11
101,LithiumMetal,-164.3586,-80.2398,-0.000000e0,3.8065e-9,3.2592e-12
116,LithiumMetal,-167.3848,-77.1989,-0.000000e0,1.6135e-10,1.0684e-10
117,LithiumMetal,-164.3447,-77.1998,-0.000000e0,-5.2056e-10,4.3201e-11
70,LithiumMetal,-161.3165,-86.3200,-0.000000e0,2.8373e-9,3.0156e-10
71,LithiumMetal,-158.2764,-86.3204,-0.000000e0,2.6705e-9,9.8271e-11
86,LithiumMetal,-161.2817,-83.2801,-0.000000e0,-5.3053e-9,-7.8969e-11
87,LithiumMetal,-158.2417,-83.2805,-0.000000e0,-5.3434e-9,1.5094e-10
72,LithiumMetal,-155.2363,-86.3196,1.000000e0,-7.8601e-8,-9.6579e-11
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,6.2161e-12,7.3858e-16
88,LithiumMetal,-155.2015,-83.2798,-0.000000e0,-7.6090e-8,-5.7706e-11
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,5.4087e-12,1.3919e-15
102,LithiumMetal,-161.3186,-80.2403,-0.000000e0,3.7742e-9,4.8838e-11
103,LithiumMetal,-158.2785,-80.2407,-0.000000e0,3.7233e-9,6.9980e-11
118,LithiumMetal,-161.3044,-77.2003,-0.000000e0,-4.7611e-10,1.1881e-10
119,LithiumMetal,-158.2643,-77.2008,-0.000000e0,-4.5846e-10,1.1044e-10
104,LithiumMetal,-155.2384,-80.2400,-0.000000e0,-7.8198e-8,-1.1762e-10
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,6.2631e-12,1.8018e-17
