step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25317,176585.00,6.282959,6.000000e-2,-6.000000e-2,-1.502858e0,-1.145576e0,434,181
25318,176590.00,0.000270,5.999999e-2,-5.999999e-2,-1.550036e0,-1.177523e0,1,-1
25319,176595.00,0.000767,5.999998e-2,-5.999998e-2,-1.505286e0,-1.176518e0,1,-1
25320,176600.00,0.001263,5.999995e-2,-5.999995e-2,-1.559560e0,-1.188793e0,1,-1
25321,176605.00,0.001760,5.999991e-2,-5.999991e-2,-1.509052e0,-1.181383e0,0,0
25322,176610.00,0.002255,5.999985e-2,-5.999985e-2,-1.565492e0,-1.161349e0,0,0
25323,176615.00,0.002752,5.999977e-2,-5.999977e-2,-1.482240e0,-1.160420e0,0,0
25324,176620.00,0.003248,5.999968e-2,-5.999968e-2,-1.512987e0,-1.152108e0,1,-1
25325,176625.00,0.003745,5.999958e-2,-5.999958e-2,-1.500369e0,-1.145661e0,0,0
25326,176630.00,0.004241,5.999946e-2,-5.999946e-2,-1.489799e0,-1.144327e0,0,0
25327,176635.00,0.004738,5.999933e-2,-5.999933e-2,-1.470292e0,-1.162933e0,0,0
25328,176640.00,0.005234,5.999918e-2,-5.999918e-2,-1.461958e0,-1.175144e0,1,-1
25329,176645.00,0.005731,5.999901e-2,-5.999901e-2,-1.474315e0,-1.173217e0,0,0
25330,176650.00,0.006227,5.999884e-2,-5.999884e-2,-1.540491e0,-1.185244e0,0,0
25331,176655.00,0.006722,5.999864e-2,-5.999864e-2,-1.594403e0,-1.143938e0,1,-1
25332,176660.00,0.007219,5.999843e-2,-5.999843e-2,-1.477270e0,-1.165097e0,0,0
25333,176665.00,0.007715,5.999821e-2,-5.999821e-2,-1.598896e0,-1.153096e0,0,0
25334,176670.00,0.008212,5.999798e-2,-5.999798e-2,-1.607435e0,-1.159909e0,0,0
25335,176675.00,0.008708,5.999772e-2,-5.999772e-2,-1.589494e0,-1.132788e0,0,0
25336,176680.00,0.009205,5.999745e-2,-5.999745e-2,-1.508277e0,-1.180992e0,1,-1
25337,176685.00,0.009701,5.999718e-2,-5.999718e-2,-1.557044e0,-1.171055e0,1,-1
25338,176690.00,0.010198,5.999688e-2,-5.999688e-2,-1.627814e0,-1.167325e0,0,0
25339,176695.00,0.010694,5.999657e-2,-5.999657e-2,-1.616805e0,-1.176607e0,0,0
25340,176700.00,0.011190,5.999624e-2,-5.999624e-2,-1.510986e0,-1.147254e0,0,0
25341,176705.00,0.011686,5.999590e-2,-5.999590e-2,-1.505801e0,-1.148783e0,0,0
25342,176710.00,0.012183,5.999555e-2,-5.999555e-2,-1.606253e0,-1.160989e0,1,-1
25343,176715.00,0.012679,5.999517e-2,-5.999517e-2,-1.523591e0,-1.137836e0,0,0
25344,176720.00,0.013176,5.999479e-2,-5.999479e-2,-1.559942e0,-1.154701e0,0,0
25345,176725.00,0.013672,5.999439e-2,-5.999439e-2,-1.539309e0,-1.161530e0,0,0
25346,176730.00,0.014169,5.999397e-2,-5.999397e-2,-1.590448e0,-1.126656e0,1,-1
25347,176735.00,0.014665,5.999355e-2,-5.999355e-2,-1.578643e0,-1.155687e0,0,0
25348,176740.00,0.015162,5.999310e-2,-5.999310e-2,-1.520644e0,-1.151734e0,1,-1
25349,176745.00,0.015657,5.999264e-2,-5.999264e-2,-1.591266e0,-1.160004e0,0,0
25350,176750.00,0.016154,5.999217e-2,-5.999217e-2,-1.535913e0,-1.165665e0,1,-1
25351,176755.00,0.016650,5.999168e-2,-5.999168e-2,-1.505272e0,-1.149176e0,0,0
25352,176760.00,0.017147,5.999118e-2,-5.999118e-2,-1.551184e0,-1.137810e0,0,0
25353,176765.00,0.017643,5.999066e-2,-5.999066e-2,-1.584256e0,-1.150495e0,0,0
25354,176770.00,0.018140,5.999013e-2,-5.999013e-2,-1.642921e0,-1.164918e0,1,-1
25355,176775.00,0.018636,5.998958e-2,-5.998958e-2,-1.499675e0,-1.144807e0,0,0
25356,176780.00,0.019133,5.998902e-2,-5.998902e-2,-1.559886e0,-1.161523e0,0,0
25357,176785.00,0.019629,5.998844e-2,-5.998844e-2,-1.505895e0,-1.174083e0,0,0
