# step=26897 time_fs=184485.00 v_cell=-2.046015e0 applied_i=-4.248396e-2
id,species,x,y,charge,vx,vy
3121,DMC,-195.0178,-100.0114,-0.000000e0,-1.1191e-4,-2.5620e-4
34,LithiumMetal,-190.9978,-100.0003,-1.000000e0,-1.1644e-4,7.8166e-5
84,LithiumMetal,-184.9194,-100.0006,-1.000000e0,-6.7077e-5,3.4498e-5
7,LithiumMetal,-159.5295,-100.0004,-1.000000e0,-2.3859e-4,1.2011e-4
8,LithiumMetal,-155.2556,-100.0002,-1.000000e0,2.6045e-4,1.9416e-4
77,LithiumMetal,-121.1660,-100.0000,-1.000000e0,8.8087e-5,6.0519e-5
3195,DMC,-108.4869,-100.0030,-0.000000e0,9.8658e-5,-1.0637e-4
80,LithiumMetal,-81.8647,-100.0000,-0.000000e0,-6.0255e-6,-9.3726e-7
2349,LithiumMetal,-78.8248,-100.0006,-0.000000e0,-5.6053e-6,-7.5035e-5
3225,DMC,-61.7344,-100.0000,-0.000000e0,7.3423e-8,-2.1963e-7
1080,LithiumMetal,-38.8598,-100.0005,-0.000000e0,-2.1725e-4,-6.3949e-5
1157,LithiumIon,-34.1660,-100.1265,1.000000e0,-3.9056e-3,-3.6794e-3
2758,EC,-26.0521,-100.0027,-0.000000e0,-5.1741e-4,-2.0316e-4
2786,EC,-21.0536,-100.0025,-0.000000e0,-5.1088e-4,-4.6185e-5
1079,LithiumIon,-17.9432,-100.0000,1.000000e0,-1.6587e-3,1.6075e-4
1125,LithiumIon,-9.7977,-100.0048,1.000000e0,-2.4034e-4,-4.3211e-4
3712,DMC,-200.0109,-99.8067,-0.000000e0,-1.1243e-4,-4.9185e-5
50,LithiumMetal,-200.0033,-95.7865,-1.000000e0,-8.6752e-5,2.3031e-5
35,LithiumMetal,-197.0604,-96.5490,-1.000000e0,-1.1013e-4,-1.0718e-4
52,LithiumMetal,-194.0534,-96.1029,-1.000000e0,-1.1417e-4,-7.1546e-5
2,LithiumMetal,-187.9590,-100.0000,-1.000000e0,-1.0429e-4,2.1625e-4
2888,SEI,-189.7949,-95.9051,0.000000e0,-9.6349e-5,1.1114e-4
3499,DMC,-200.0051,-91.7666,-0.000000e0,-1.6701e-4,1.8038e-5
