# step=28872 time_fs=194360.00 v_cell=-1.216626e0 applied_i=1.154232e-2
id,species,x,y,charge,vx,vy
3121,DMC,-195.0185,-100.0096,-0.000000e0,-1.0126e-4,-2.9094e-4
34,LithiumMetal,-190.9997,-100.0007,-1.000000e0,-9.3389e-5,4.8603e-5
84,LithiumMetal,-184.9203,-100.0001,-1.000000e0,-5.8883e-5,7.9805e-5
5,LithiumMetal,-166.4488,-100.0005,-1.000000e0,-1.3092e-4,9.4548e-6
7,LithiumMetal,-160.3691,-100.0004,-1.000000e0,-6.8098e-5,1.7890e-4
8,LithiumMetal,-154.6116,-100.0019,-1.000000e0,-3.9034e-6,-1.5721e-4
3195,DMC,-107.5866,-100.0002,-0.000000e0,8.7262e-5,-1.5517e-5
80,LithiumMetal,-82.1428,-100.0001,-1.000000e0,-1.4797e-5,3.9865e-6
2349,LithiumMetal,-79.0896,-100.0001,-1.000000e0,1.1605e-4,-9.4521e-7
3712,DMC,-200.0125,-99.8677,-0.000000e0,-1.2039e-4,-2.2108e-4
35,LithiumMetal,-197.4198,-96.7857,-1.000000e0,-1.0648e-4,-1.6104e-4
50,LithiumMetal,-200.0011,-95.1801,-1.000000e0,-1.5955e-5,9.7181e-5
52,LithiumMetal,-194.4771,-96.0231,-1.000000e0,-7.3659e-5,-5.4603e-5
2,LithiumMetal,-187.9603,-100.0000,-1.000000e0,-8.9520e-5,2.1454e-4
2888,SEI,-190.2132,-95.8050,0.000000e0,-1.4874e-4,6.8356e-5
3499,DMC,-200.0081,-91.1605,-0.000000e0,-1.4418e-4,1.0121e-4
3275,DMC,-195.0884,-92.0502,-0.000000e0,-1.3995e-4,-6.3828e-5
51,LithiumMetal,-196.2864,-88.2128,-0.000000e0,-1.0940e-4,-2.5184e-5
67,LithiumMetal,-191.0910,-91.6262,-1.000000e0,-1.5055e-4,7.2259e-5
37,LithiumMetal,-186.1910,-97.2380,-1.000000e0,-1.6195e-4,8.9032e-5
18,LithiumMetal,-181.8812,-100.0000,-1.000000e0,-4.2657e-5,2.4785e-4
36,LithiumMetal,-183.7866,-94.7351,-1.000000e0,-6.0941e-5,-4.3991e-5
3,LithiumMetal,-178.8412,-100.0000,-1.000000e0,-4.2586e-5,2.6289e-4
53,LithiumMetal,-180.1604,-96.9137,-1.000000e0,-7.1090e-5,-3.9608e-5
4,LithiumMetal,-175.8015,-100.0000,-1.000000e0,-3.7821e-5,2.5119e-4
100,LithiumMetal,-176.7026,-95.5017,-1.000000e0,-5.0226e-5,-4.4246e-5
163,LithiumMetal,-186.5863,-93.5508,-1.000000e0,-8.6835e-5,-1.5914e-5
3050,SEI,-181.8263,-90.9419,0.000000e0,-8.8863e-5,-2.4951e-5
2889,SEI,-187.4635,-89.3745,0.000000e0,-5.1921e-5,-2.1600e-5
22,LithiumMetal,-177.6070,-90.2852,-1.000000e0,-6.0005e-5,-5.5799e-5
3135,DMC,-199.7474,-86.1682,-0.000000e0,-4.8581e-5,1.0154e-4
19,LithiumMetal,-194.3135,-83.5131,-0.000000e0,-5.3765e-5,-3.0032e-5
3269,DMC,-192.3425,-87.4362,-0.000000e0,-6.6478e-5,-1.2724e-4
116,LithiumMetal,-188.9031,-85.3552,-1.000000e0,-1.1483e-4,-3.3318e-5
2553,SEI,-190.5854,-81.4314,0.000000e0,-5.8021e-5,-1.9360e-5
2880,SEI,-200.0056,-80.9246,0.000000e0,-1.8800e-4,9.5488e-5
3119,DMC,-195.1678,-78.8887,-0.000000e0,-9.4345e-5,-9.6866e-5
2814,SEI,-198.7013,-75.0100,0.000000e0,-1.5998e-4,-1.4325e-4
82,LithiumMetal,-191.4735,-76.6016,-0.000000e0,-1.0182e-4,1.5033e-5
132,LithiumMetal,-184.2354,-86.5834,-1.000000e0,-6.0634e-5,1.2461e-5
131,LithiumMetal,-186.3277,-81.7041,-1.000000e0,-7.7291e-5,-3.3450e-5
2613,SEI,-181.9993,-82.9466,0.000000e0,-5.6748e-5,4.3147e-6
68,LithiumMetal,-180.3362,-86.9404,-1.000000e0,-8.9243e-5,-1.6674e-5
115,LithiumMetal,-177.8491,-83.9498,-1.000000e0,-7.2048e-5,-3.8262e-5
148,LithiumMetal,-184.0067,-79.1788,-1.000000e0,-1.3374e-4,-3.9702e-5
3443,DMC,-187.4983,-77.1872,-0.000000e0,-9.7399e-5,2.7628e-6
147,LithiumMetal,-183.6226,-76.1197,-1.000000e0,-6.5809e-5,-6.8070e-6
