# step=32032 time_fs=210160.00 v_cell=1.044497e0 applied_i=5.890527e-2
id,species,x,y,charge,vx,vy
3121,DMC,-195.0259,-100.0029,-0.000000e0,4.5230e-6,-1.4876e-6
34,LithiumMetal,-191.0085,-100.0003,-0.000000e0,6.0153e-6,-9.5997e-7
27,LithiumMetal,-115.7371,-100.0011,-0.000000e0,-2.5957e-7,-1.5161e-7
3195,DMC,-105.9961,-100.0001,-0.000000e0,1.6748e-3,-1.1404e-5
3612,DMC,-99.7340,-100.0012,-0.000000e0,2.0402e-5,-1.6569e-5
3225,DMC,-62.1955,-100.0001,-0.000000e0,4.9268e-7,-7.9422e-7
1431,LithiumMetal,-10.9305,-100.0002,-0.000000e0,9.0419e-5,-1.6071e-4
3712,DMC,-200.0244,-99.9862,-0.000000e0,-3.5497e-6,-2.0334e-4
35,LithiumMetal,-197.5564,-96.6951,-0.000000e0,2.2679e-6,-1.4878e-6
50,LithiumMetal,-200.0001,-94.8869,-0.000000e0,-2.3738e-6,-4.7022e-6
52,LithiumMetal,-194.5428,-96.0112,-0.000000e0,-2.5834e-8,-1.1821e-6
2,LithiumMetal,-187.9703,-99.9997,-0.000000e0,6.4588e-6,8.8972e-8
2888,SEI,-190.2676,-95.7950,0.000000e0,5.2204e-7,1.5018e-7
3499,DMC,-200.0023,-90.8672,-0.000000e0,1.1510e-6,6.0251e-6
3275,DMC,-195.1410,-92.0361,-0.000000e0,1.2167e-6,-5.8495e-7
51,LithiumMetal,-196.8122,-88.3800,-0.000000e0,2.2205e-7,-1.7770e-7
67,LithiumMetal,-191.1435,-91.6163,-0.000000e0,1.1515e-6,2.8217e-7
3269,DMC,-192.8790,-87.5485,-0.000000e0,4.6217e-6,-4.6084e-6
2889,SEI,-187.5576,-89.3005,0.000000e0,8.8469e-7,7.2326e-7
84,LithiumMetal,-184.9303,-99.9996,-0.000000e0,6.8120e-6,1.5361e-7
37,LithiumMetal,-186.1910,-97.0652,-0.000000e0,3.9325e-7,-2.6470e-7
18,LithiumMetal,-181.8921,-100.0000,-0.000000e0,6.8959e-6,8.2250e-8
36,LithiumMetal,-183.2198,-95.5631,-0.000000e0,5.2358e-8,-1.3222e-7
