step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25317,176585.00,6.282959,-1.354027e-5,1.354027e-5,9.775916e-1,1.471411e-1,1070,-78
25318,176590.00,0.000270,1.621437e-5,-1.621437e-5,9.784730e-1,1.561507e-1,0,0
25319,176595.00,0.000767,4.602622e-5,-4.602622e-5,9.792592e-1,1.515160e-1,0,0
25320,176600.00,0.001263,7.578084e-5,-7.578084e-5,9.726205e-1,1.525335e-1,0,0
25321,176605.00,0.001760,1.055927e-4,-1.055927e-4,9.703995e-1,1.526514e-1,0,0
25322,176610.00,0.002255,1.353472e-4,-1.353472e-4,9.702476e-1,1.528183e-1,0,0
25323,176615.00,0.002752,1.651590e-4,-1.651590e-4,9.898787e-1,1.525669e-1,0,0
25324,176620.00,0.003248,1.949135e-4,-1.949135e-4,9.911244e-1,1.566175e-1,0,0
25325,176625.00,0.003745,2.247252e-4,-2.247252e-4,9.912714e-1,1.525957e-1,0,0
25326,176630.00,0.004241,2.544796e-4,-2.544796e-4,9.913011e-1,1.530005e-1,0,0
25327,176635.00,0.004738,2.842912e-4,-2.842912e-4,9.911537e-1,1.565850e-1,0,0
25328,176640.00,0.005234,3.140454e-4,-3.140454e-4,9.947119e-1,1.569264e-1,0,0
25329,176645.00,0.005731,3.438568e-4,-3.438568e-4,1.000266e0,1.567488e-1,0,0
25330,176650.00,0.006227,3.736109e-4,-3.736109e-4,9.815772e-1,1.540267e-1,0,0
25331,176655.00,0.006722,4.033649e-4,-4.033649e-4,9.812251e-1,1.543092e-1,0,0
25332,176660.00,0.007219,4.331761e-4,-4.331761e-4,9.720304e-1,1.542537e-1,0,0
25333,176665.00,0.007715,4.629299e-4,-4.629299e-4,9.712802e-1,1.538126e-1,0,0
25334,176670.00,0.008212,4.927408e-4,-4.927408e-4,9.708321e-1,1.577757e-1,0,0
25335,176675.00,0.008708,5.224944e-4,-5.224944e-4,9.688859e-1,1.580244e-1,0,0
25336,176680.00,0.009205,5.523050e-4,-5.523050e-4,9.941223e-1,1.618798e-1,-1,1
25337,176685.00,0.009701,5.820583e-4,-5.820583e-4,1.019621e0,1.595957e-1,-1,1
25338,176690.00,0.010198,6.118687e-4,-6.118687e-4,1.022051e0,1.602052e-1,0,0
25339,176695.00,0.010694,6.416218e-4,-6.416218e-4,1.022015e0,1.600121e-1,0,0
25340,176700.00,0.011190,6.714318e-4,-6.714318e-4,1.001319e0,1.593770e-1,0,0
25341,176705.00,0.011686,7.011845e-4,-7.011845e-4,9.983348e-1,1.598643e-1,0,0
25342,176710.00,0.012183,7.309943e-4,-7.309943e-4,9.949448e-1,1.594054e-1,0,0
25343,176715.00,0.012679,7.607466e-4,-7.607466e-4,9.880410e-1,1.596389e-1,0,0
25344,176720.00,0.013176,7.905560e-4,-7.905560e-4,9.872973e-1,1.591344e-1,0,0
25345,176725.00,0.013672,8.203079e-4,-8.203079e-4,9.878993e-1,1.591892e-1,0,0
25346,176730.00,0.014169,8.501168e-4,-8.501168e-4,1.007702e0,1.582032e-1,0,0
25347,176735.00,0.014665,8.798684e-4,-8.798684e-4,9.975682e-1,1.597818e-1,0,0
25348,176740.00,0.015162,9.096769e-4,-9.096769e-4,1.019354e0,1.545766e-1,0,0
25349,176745.00,0.015657,9.394280e-4,-9.394280e-4,1.013873e0,1.545953e-1,0,0
25350,176750.00,0.016154,9.692362e-4,-9.692362e-4,9.434599e-1,1.603826e-1,0,0
25351,176755.00,0.016650,9.989868e-4,-9.989868e-4,9.950349e-1,1.600775e-1,0,0
25352,176760.00,0.017147,1.028794e-3,-1.028794e-3,9.462381e-1,1.602041e-1,0,0
25353,176765.00,0.017643,1.058544e-3,-1.058544e-3,9.248281e-1,1.600544e-1,0,0
25354,176770.00,0.018140,1.088352e-3,-1.088352e-3,9.780028e-1,1.638599e-1,0,0
25355,176775.00,0.018636,1.118101e-3,-1.118101e-3,1.016274e0,1.642841e-1,0,0
25356,176780.00,0.019133,1.147908e-3,-1.147908e-3,1.022545e0,1.632671e-1,0,0
25357,176785.00,0.019629,1.177657e-3,-1.177657e-3,1.026872e0,1.643411e-1,0,0
25358,176790.00,0.020125,1.207463e-3,-1.207463e-3,1.023471e0,1.638065e-1,0,0
25359,176795.00,0.020621,1.237211e-3,-1.237211e-3,1.028979e0,1.597838e-1,0,0
25360,176800.00,0.021118,1.267017e-3,-1.267017e-3,1.028097e0,1.557146e-1,0,0
25361,176805.00,0.021614,1.296764e-3,-1.296764e-3,1.027476e0,1.553071e-1,0,0
25362,176810.00,0.022110,1.326512e-3,-1.326512e-3,1.025129e0,1.555183e-1,0,0
25363,176815.00,0.022607,1.356316e-3,-1.356316e-3,1.019588e0,1.588557e-1,0,0
25364,176820.00,0.023103,1.386063e-3,-1.386063e-3,1.025462e0,1.538126e-1,0,0
25365,176825.00,0.023600,1.415867e-3,-1.415867e-3,1.017810e0,1.587746e-1,0,0
25366,176830.00,0.024096,1.445613e-3,-1.445613e-3,1.020876e0,1.530494e-1,0,0
25367,176835.00,0.024592,1.475416e-3,-1.475416e-3,1.016675e0,1.524660e-1,0,0
25368,176840.00,0.025088,1.505162e-3,-1.505162e-3,1.018486e0,1.585866e-1,0,0
25369,176845.00,0.025585,1.534964e-3,-1.534964e-3,1.013271e0,1.623903e-1,0,0
25370,176850.00,0.026081,1.564709e-3,-1.564709e-3,1.015519e0,1.626913e-1,0,0
25371,176855.00,0.026578,1.594510e-3,-1.594510e-3,1.015613e0,1.635474e-1,0,0
25372,176860.00,0.027074,1.624254e-3,-1.624254e-3,1.010597e0,1.628402e-1,0,0
25373,176865.00,0.027571,1.654055e-3,-1.654055e-3,1.010255e0,1.641988e-1,0,0
25374,176870.00,0.028067,1.683798e-3,-1.683798e-3,1.011810e0,1.550683e-1,0,0
25375,176875.00,0.028563,1.713598e-3,-1.713598e-3,1.017302e0,1.588699e-1,0,0
25376,176880.00,0.029059,1.743340e-3,-1.743340e-3,1.002091e0,1.531003e-1,0,0
25377,176885.00,0.029556,1.773139e-3,-1.773139e-3,1.001132e0,1.588012e-1,0,0
25378,176890.00,0.030052,1.802881e-3,-1.802881e-3,1.008990e0,1.567265e-1,0,0
25379,176895.00,0.030549,1.832679e-3,-1.832679e-3,1.024211e0,1.566003e-1,0,0
25380,176900.00,0.031045,1.862419e-3,-1.862419e-3,1.073058e0,1.557388e-1,0,0
25381,176905.00,0.031542,1.892217e-3,-1.892217e-3,1.020729e0,1.645630e-1,0,0
25382,176910.00,0.032038,1.921956e-3,-1.921956e-3,1.069888e0,1.610368e-1,0,0
25383,176915.00,0.032535,1.951752e-3,-1.951752e-3,1.020033e0,1.605726e-1,0,0
25384,176920.00,0.033031,1.981491e-3,-1.981491e-3,1.014538e0,1.608663e-1,0,0
25385,176925.00,0.033527,2.011287e-3,-2.011287e-3,1.049673e0,1.609071e-1,0,0
25386,176930.00,0.034023,2.041024e-3,-2.041024e-3,9.480194e-1,1.613457e-1,0,0
25387,176935.00,0.034520,2.070819e-3,-2.070819e-3,9.756274e-1,1.614929e-1,0,0
25388,176940.00,0.035016,2.100555e-3,-2.100555e-3,9.707212e-1,1.607497e-1,0,0
25389,176945.00,0.035513,2.130348e-3,-2.130348e-3,9.703559e-1,1.600854e-1,0,0
25390,176950.00,0.036009,2.160084e-3,-2.160084e-3,9.678146e-1,1.590662e-1,0,0
25391,176955.00,0.036505,2.189819e-3,-2.189819e-3,9.691025e-1,1.627498e-1,0,0
25392,176960.00,0.037002,2.219611e-3,-2.219611e-3,9.867139e-1,1.627856e-1,0,0
25393,176965.00,0.037498,2.249345e-3,-2.249345e-3,9.858588e-1,1.624729e-1,0,0
25394,176970.00,0.037994,2.279136e-3,-2.279136e-3,9.928788e-1,1.624959e-1,0,0
25395,176975.00,0.038490,2.308869e-3,-2.308869e-3,9.919899e-1,1.618106e-1,0,0
25396,176980.00,0.038987,2.338658e-3,-2.338658e-3,1.005789e0,1.617539e-1,0,0
25397,176985.00,0.039483,2.368390e-3,-2.368390e-3,1.003052e0,1.611136e-1,0,0
25398,176990.00,0.039980,2.398178e-3,-2.398178e-3,1.006251e0,1.619224e-1,0,0
25399,176995.00,0.040476,2.427909e-3,-2.427909e-3,9.874380e-1,1.616840e-1,0,0
25400,177000.00,0.040973,2.457696e-3,-2.457696e-3,9.842600e-1,1.625968e-1,0,0
25401,177005.00,0.041469,2.487425e-3,-2.487425e-3,9.813057e-1,1.615341e-1,0,0
25402,177010.00,0.041965,2.517211e-3,-2.517211e-3,9.798172e-1,1.608059e-1,0,0
25403,177015.00,0.042461,2.546939e-3,-2.546939e-3,9.811575e-1,1.577484e-1,0,0
25404,177020.00,0.042958,2.576724e-3,-2.576724e-3,9.774974e-1,1.567542e-1,0,0
25405,177025.00,0.043454,2.606451e-3,-2.606451e-3,9.797816e-1,1.578168e-1,0,0
25406,177030.00,0.043951,2.636234e-3,-2.636234e-3,9.955483e-1,1.573320e-1,0,0
25407,177035.00,0.044447,2.665960e-3,-2.665960e-3,9.973204e-1,1.595638e-1,0,0
25408,177040.00,0.044944,2.695742e-3,-2.695742e-3,9.959274e-1,1.577141e-1,0,0
25409,177045.00,0.045440,2.725466e-3,-2.725466e-3,9.989184e-1,1.583871e-1,0,0
25410,177050.00,0.045937,2.755247e-3,-2.755247e-3,9.341950e-1,1.632002e-1,0,0
25411,177055.00,0.046432,2.784970e-3,-2.784970e-3,9.364244e-1,1.639460e-1,0,0
25412,177060.00,0.046929,2.814749e-3,-2.814749e-3,9.330741e-1,1.629668e-1,0,0
25413,177065.00,0.047425,2.844471e-3,-2.844471e-3,9.848904e-1,1.676757e-1,0,0
25414,177070.00,0.047922,2.874249e-3,-2.874249e-3,9.993622e-1,1.625080e-1,-1,1
25415,177075.00,0.048418,2.903969e-3,-2.903969e-3,9.993299e-1,1.609384e-1,0,0
25416,177080.00,0.048915,2.933745e-3,-2.933745e-3,1.003475e0,1.608297e-1,0,0
