# step=25317 time_fs=176585.00 v_cell=1.471411e-1 applied_i=1.354027e-5
id,species,x,y,charge,vx,vy
2499,ElectrolyteAnion,-200.0027,-100.0005,-1.000000e0,-7.2464e-5,1.6825e-5
3121,DMC,-195.5027,-100.0017,-0.000000e0,-4.5857e-5,-4.2999e-5
3499,DMC,-190.5045,-100.0021,-0.000000e0,-3.5686e-5,-3.1569e-5
2,LithiumMetal,-186.4845,-100.0000,-1.000000e0,-3.3348e-5,3.0241e-5
18,LithiumMetal,-183.2534,-100.0001,-1.000000e0,-5.2283e-5,4.1217e-5
4,LithiumMetal,-174.0586,-100.0001,-1.000000e0,-1.9270e-5,2.4288e-5
24,LithiumMetal,-157.7783,-100.0001,-1.000000e0,-1.8758e-5,1.1116e-5
8,LithiumMetal,-154.6126,-100.0002,-1.000000e0,-4.4146e-5,-2.3460e-6
11,LithiumMetal,-146.3074,-100.0002,-1.000000e0,3.8918e-5,-1.7238e-5
29,LithiumMetal,-131.0946,-100.0001,-1.000000e0,5.7828e-5,-6.0548e-6
3612,DMC,-95.5389,-100.0005,-0.000000e0,7.1553e-5,-4.6837e-6
3532,DMC,-64.7479,-100.0000,-0.000000e0,-2.6432e-7,6.3940e-7
3251,DMC,-57.9313,-100.0006,-0.000000e0,-3.8283e-7,-2.2592e-6
2983,SEI,-52.6814,-100.0004,0.000000e0,-5.6045e-7,-1.5342e-6
3616,DMC,-45.7979,-100.0003,-0.000000e0,-1.0629e-6,-6.0316e-6
3177,DMC,-40.7980,-100.0001,-0.000000e0,-9.1523e-7,-3.1125e-7
2843,SEI,-35.5480,-100.0000,0.000000e0,-4.0990e-7,-2.4228e-6
3037,SEI,-30.0481,-100.0000,0.000000e0,-3.6911e-7,-1.3405e-6
1191,LithiumMetal,-7.6064,-100.0000,-0.000000e0,3.7363e-7,-2.0285e-6
3135,DMC,-200.0010,-95.5007,-0.000000e0,-2.3467e-5,2.1857e-5
3248,DMC,-195.0238,-95.0249,-0.000000e0,-8.3084e-6,-3.3510e-5
3269,DMC,-190.0245,-95.0274,-0.000000e0,-6.0346e-6,-3.3195e-5
3712,DMC,-198.7523,-90.6593,-0.000000e0,1.2790e-6,1.6868e-5
2880,EC,-193.7750,-90.1833,-0.000000e0,1.1997e-5,-3.0356e-5
3011,SEI,-188.2859,-90.0741,0.000000e0,-5.7652e-5,-1.7964e-5
2889,SEI,-184.8693,-96.0479,0.000000e0,-6.7898e-5,4.4968e-5
19,LithiumMetal,-180.2424,-98.6812,-1.000000e0,-4.3433e-5,-7.8592e-6
3,LithiumMetal,-177.4008,-100.0000,-1.000000e0,-1.0617e-5,9.4450e-5
20,LithiumMetal,-175.6944,-97.4335,-0.000000e0,1.1543e-7,-5.9936e-8
34,LithiumMetal,-180.6930,-95.1507,-0.000000e0,-3.0637e-6,-4.9063e-6
35,LithiumMetal,-177.5436,-95.0206,-0.000000e0,3.2063e-8,1.7150e-7
50,LithiumMetal,-184.3832,-91.8058,-1.000000e0,-3.6664e-5,4.4496e-5
51,LithiumMetal,-179.2256,-92.4883,-0.000000e0,-8.1038e-6,1.4069e-8
52,LithiumMetal,-175.8756,-92.4608,-0.000000e0,-9.2070e-7,6.9118e-7
66,LithiumMetal,-181.0082,-90.0259,-1.000000e0,-1.4952e-6,5.7179e-6
