# step=26897 time_fs=184485.00 v_cell=1.177394e-2 applied_i=-4.236878e-2
id,species,x,y,charge,vx,vy
2499,ElectrolyteAnion,-200.0041,-100.0013,-1.000000e0,-9.7465e-5,1.3049e-5
3121,DMC,-195.5041,-100.0017,-0.000000e0,-8.1039e-5,-3.6691e-5
3499,DMC,-190.5077,-100.0063,-0.000000e0,-7.2874e-5,-3.1021e-5
18,LithiumMetal,-183.4480,-100.0006,-1.000000e0,-2.7000e-5,4.5496e-5
4,LithiumMetal,-174.0421,-100.0002,-1.000000e0,2.6919e-5,3.4249e-5
8,LithiumMetal,-154.6127,-100.0001,-1.000000e0,-9.2078e-5,7.3169e-5
11,LithiumMetal,-146.3073,-100.0001,-1.000000e0,6.8932e-5,4.3090e-5
14,LithiumMetal,-127.9668,-100.0001,-1.000000e0,-9.7207e-6,4.6263e-5
15,LithiumMetal,-123.5163,-100.0000,-1.000000e0,2.8733e-5,4.0491e-5
3612,DMC,-95.0567,-100.0002,-0.000000e0,8.4010e-5,-8.0386e-6
3251,DMC,-57.9418,-100.0002,-0.000000e0,2.0864e-6,-4.0459e-6
2983,SEI,-52.6918,-100.0000,0.000000e0,2.4284e-6,-5.0819e-6
3616,DMC,-45.8119,-100.0001,-0.000000e0,1.3817e-7,-6.8387e-7
2843,SEI,-35.5619,-100.0000,0.000000e0,3.1420e-7,3.5473e-9
3037,SEI,-30.0526,-100.0000,0.000000e0,-8.6983e-6,-1.6083e-6
1253,LithiumMetal,-2.7190,-100.0000,-1.000000e0,-2.8149e-6,-4.4254e-6
3135,DMC,-200.0065,-95.5017,-0.000000e0,-1.6346e-4,2.5574e-5
3248,DMC,-195.0305,-95.0242,-0.000000e0,-1.3975e-4,-1.7163e-5
3269,DMC,-190.0310,-95.0302,-0.000000e0,-1.2746e-4,-1.5171e-5
3712,DMC,-198.7524,-90.6617,-0.000000e0,-4.6912e-5,-3.5185e-6
2880,EC,-193.7753,-90.1842,-0.000000e0,-3.0706e-5,-2.6713e-5
3011,SEI,-188.2977,-90.0759,0.000000e0,-1.0193e-4,-2.4298e-5
2,LithiumMetal,-186.4875,-100.0000,-1.000000e0,-6.3702e-5,7.8526e-5
2889,SEI,-184.8681,-95.9749,0.000000e0,-1.1193e-4,1.6945e-5
19,LithiumMetal,-180.5157,-98.7803,-1.000000e0,-6.9573e-5,-1.0282e-4
3,LithiumMetal,-177.4788,-100.0000,-1.000000e0,-2.4619e-5,1.5279e-4
20,LithiumMetal,-175.6833,-97.4412,-0.000000e0,-2.2823e-6,1.5720e-5
34,LithiumMetal,-180.6788,-95.1472,-1.000000e0,-6.1797e-5,1.8277e-5
35,LithiumMetal,-177.5358,-95.0309,-0.000000e0,2.5208e-5,4.3328e-5
50,LithiumMetal,-184.3634,-91.7349,-1.000000e0,-8.2020e-5,2.1876e-5
51,LithiumMetal,-179.2031,-92.4889,-0.000000e0,-3.1290e-5,2.5596e-5
52,LithiumMetal,-175.8709,-92.4559,-1.000000e0,6.5514e-8,-1.4070e-7
66,LithiumMetal,-181.1107,-90.1219,-1.000000e0,-3.4439e-5,1.1611e-6
67,LithiumMetal,-177.5622,-89.9298,-0.000000e0,5.9279e-6,2.1090e-6
3642,DMC,-200.0034,-85.8208,-0.000000e0,-1.4638e-4,-2.8200e-5
3543,DMC,-195.6774,-83.3133,-0.000000e0,-1.0857e-4,2.6737e-5
3074,EC,-191.3477,-85.8146,-0.000000e0,-8.6304e-5,-1.0496e-5
3175,DMC,-200.0076,-80.8138,-0.000000e0,-1.3360e-4,1.0173e-5
2734,EC,-195.6749,-78.3141,-0.000000e0,-9.5319e-5,3.1549e-5
2718,EC,-200.0047,-75.8143,-0.000000e0,-1.2172e-4,1.6611e-5
3137,DMC,-191.3456,-80.8151,-0.000000e0,-1.0267e-4,-7.9844e-6
2685,EC,-191.3442,-75.8172,-0.000000e0,-7.1139e-5,-5.9768e-6
3275,DMC,-183.8928,-87.2199,-0.000000e0,-8.4229e-5,-4.0338e-5
2814,EC,-187.0167,-83.3169,-0.000000e0,-4.4222e-5,-1.5717e-5
3050,SEI,-181.8678,-82.2933,0.000000e0,-3.2586e-5,8.5728e-6
82,LithiumMetal,-180.0207,-86.1425,-1.000000e0,-8.9660e-5,-2.2083e-5
83,LithiumMetal,-177.0542,-86.9326,-0.000000e0,-4.0008e-6,3.8939e-6
99,LithiumMetal,-177.8713,-83.9745,-1.000000e0,-4.8916e-6,9.8676e-6
115,LithiumMetal,-176.2521,-81.4016,-0.000000e0,-7.4543e-7,9.4688e-6
3119,DMC,-187.0155,-78.3185,-0.000000e0,-6.5390e-5,-2.4248e-5
2888,SEI,-181.9945,-76.7900,0.000000e0,-5.4956e-5,-2.6542e-5
98,LithiumMetal,-178.6684,-79.4664,-1.000000e0,-2.6807e-5,3.5113e-6
114,LithiumMetal,-177.6241,-76.6114,-0.000000e0,-1.6461e-6,-2.0060e-6
21,LithiumMetal,-172.4139,-97.4277,-0.000000e0,3.8258e-9,1.9267e-8
5,LithiumMetal,-170.7517,-100.0000,-1.000000e0,-2.7395e-5,1.0838e-4
37,LithiumMetal,-169.1444,-97.3902,-0.000000e0,2.0778e-8,-1.2055e-8
36,LithiumMetal,-173.9172,-94.7853,-0.000000e0,7.6246e-8,2.9922e-8
53,LithiumMetal,-170.8169,-94.8401,-0.000000e0,1.4229e-8,-1.1428e-7
22,LithiumMetal,-167.5577,-100.0000,-1.000000e0,-1.2521e-5,1.1431e-4
38,LithiumMetal,-165.9850,-97.3641,-0.000000e0,-8.2092e-8,-1.7458e-7
6,LithiumMetal,-164.4372,-100.0000,-1.000000e0,5.4648e-7,9.7984e-5
23,LithiumMetal,-162.9031,-97.3246,-0.000000e0,-5.8170e-8,-1.1967e-7
54,LithiumMetal,-167.5365,-94.7485,-1.000000e0,2.2903e-5,-2.8332e-5
68,LithiumMetal,-172.8699,-91.8992,-1.000000e0,-1.8456e-7,-1.3761e-7
69,LithiumMetal,-169.2483,-92.2349,-0.000000e0,-4.5296e-5,6.3285e-5
84,LithiumMetal,-174.5305,-89.0546,-0.000000e0,-2.2765e-7,-1.3990e-7
85,LithiumMetal,-170.3042,-89.3815,-0.000000e0,-1.0678e-7,-2.4569e-7
70,LithiumMetal,-165.0768,-92.9621,-0.000000e0,4.5325e-6,3.3124e-6
86,LithiumMetal,-166.0008,-90.0658,-0.000000e0,2.8818e-8,-8.8895e-8
7,LithiumMetal,-161.2284,-100.0000,-1.000000e0,-9.6694e-7,9.4669e-5
39,LithiumMetal,-159.5468,-97.4672,-0.000000e0,5.0913e-8,-2.1966e-7
24,LithiumMetal,-157.8651,-100.0000,-1.000000e0,-1.2274e-5,1.1719e-4
55,LithiumMetal,-162.3505,-94.3217,-0.000000e0,-1.9382e-8,1.4719e-9
56,LithiumMetal,-157.2817,-95.4388,-0.000000e0,-1.0218e-6,1.0337e-5
40,LithiumMetal,-154.6387,-96.9438,-0.000000e0,1.7092e-7,-3.6594e-8
2083,FoilMetal,-151.9800,-98.4800,-1.000000e0,5.2604e-9,-3.4705e-9
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,-7.5093e-13,-6.1093e-12
71,LithiumMetal,-159.4646,-93.3230,-1.000000e0,-1.7194e-5,1.6429e-5
87,LithiumMetal,-161.3622,-90.6204,-0.000000e0,6.0105e-8,-6.4742e-8
88,LithiumMetal,-156.6807,-90.4719,-0.000000e0,6.4464e-8,-7.3411e-9
72,LithiumMetal,-155.0863,-93.3360,-0.000000e0,1.2101e-5,1.1742e-5
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,-3.4510e-11,9.9449e-14
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,1.1787e-11,-1.2951e-12
100,LithiumMetal,-174.9299,-84.7580,-0.000000e0,4.5850e-8,1.5496e-6
101,LithiumMetal,-171.4012,-86.5333,-0.000000e0,7.3465e-8,-7.0888e-8
116,LithiumMetal,-172.5493,-82.8674,-0.000000e0,4.2073e-7,1.1985e-6
117,LithiumMetal,-169.5785,-83.5120,-1.000000e0,-2.2256e-6,-1.1829e-5
102,LithiumMetal,-166.1043,-86.8284,-0.000000e0,1.3948e-8,-5.8826e-8
118,LithiumMetal,-165.7480,-83.3568,-0.000000e0,-5.9301e-8,2.6562e-9
132,LithiumMetal,-173.5552,-79.9986,-0.000000e0,3.1350e-6,2.7649e-6
133,LithiumMetal,-170.5207,-79.8160,-0.000000e0,7.4100e-6,3.9754e-7
131,LithiumMetal,-174.6334,-77.1563,-0.000000e0,-1.0162e-6,1.3209e-6
148,LithiumMetal,-171.9341,-75.7579,-1.000000e0,4.3366e-6,-8.8276e-6
149,LithiumMetal,-168.9702,-76.4336,-0.000000e0,6.1386e-6,-1.4226e-6
134,LithiumMetal,-165.8460,-79.8915,-0.000000e0,6.0745e-9,-4.1937e-8
150,LithiumMetal,-165.6002,-76.1207,-0.000000e0,-1.2028e-7,6.5809e-9
103,LithiumMetal,-161.4673,-87.1216,-1.000000e0,-1.7720e-5,-1.3543e-5
104,LithiumMetal,-156.7487,-87.0960,-1.000000e0,2.5039e-9,-4.4566e-8
119,LithiumMetal,-161.4200,-83.4820,-0.000000e0,2.0960e-9,-1.2781e-9
120,LithiumMetal,-156.7361,-83.4582,-0.000000e0,-1.2644e-5,3.7391e-7
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,1.9515e-10,-3.3496e-9
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,1.7163e-11,4.3073e-17
135,LithiumMetal,-161.2569,-79.8362,-0.000000e0,-2.5743e-9,7.0557e-9
136,LithiumMetal,-156.6688,-79.7270,-0.000000e0,4.5440e-11,6.9383e-10
151,LithiumMetal,-161.2375,-76.2399,-1.000000e0,-3.8078e-5,2.8377e-6
152,LithiumMetal,-156.6002,-76.0031,-1.000000e0,2.4214e-5,9.4052e-6
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,1.7164e-11,4.3075e-17
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,1.7163e-11,-4.4479e-17
2916,EC,-195.6736,-73.3152,-0.000000e0,-7.1111e-5,2.5006e-5
2975,EC,-200.0032,-70.8144,-0.000000e0,-8.7169e-5,7.6721e-6
3025,EC,-191.3432,-70.8175,-0.000000e0,-5.1201e-5,-2.5502e-5
2552,EC,-200.0017,-65.8156,-0.000000e0,-7.1780e-5,1.8927e-5
3630,DMC,-195.6727,-68.3161,-0.000000e0,-6.2083e-5,2.0629e-5
3217,DMC,-195.6710,-63.3163,-0.000000e0,-4.5763e-5,1.8480e-5
3430,DMC,-191.3421,-65.8185,-0.000000e0,-4.6070e-5,-3.6900e-5
3443,DMC,-187.0147,-73.3199,-0.000000e0,-5.6391e-5,-1.3868e-5
2553,SEI,-182.2242,-71.1753,0.000000e0,-4.7375e-5,-2.6105e-5
130,LithiumMetal,-178.8972,-73.8508,-1.000000e0,-4.6603e-5,-2.5652e-5
147,LithiumMetal,-175.8632,-74.1328,-0.000000e0,-1.0391e-7,-1.0501e-7
146,LithiumMetal,-177.9504,-70.9613,-1.000000e0,-2.9857e-5,-3.1958e-6
2561,EC,-187.0125,-68.3200,-0.000000e0,-2.7308e-5,-2.9967e-5
3530,DMC,-182.6161,-65.9394,-0.000000e0,-4.7981e-5,2.0042e-5
2613,EC,-187.0113,-63.3202,-0.000000e0,-2.4342e-5,-3.5738e-5
162,LithiumMetal,-179.2400,-68.1214,-1.000000e0,-6.4254e-5,-6.8717e-6
179,LithiumMetal,-176.2460,-67.3301,-0.000000e0,-7.8100e-8,3.2834e-8
178,LithiumMetal,-178.6774,-65.1339,-0.000000e0,1.4872e-5,-9.7793e-6
195,LithiumMetal,-176.0332,-63.5982,-0.000000e0,1.1360e-8,1.2671e-7
3562,DMC,-200.0007,-60.8156,-0.000000e0,-4.9764e-5,2.4470e-5
3364,DMC,-195.6690,-58.3159,-0.000000e0,9.7897e-6,-1.0326e-5
3303,DMC,-191.3399,-60.8187,-0.000000e0,-1.5834e-5,-1.6468e-5
3627,DMC,-199.9999,-55.8170,-0.000000e0,-2.6278e-5,1.9708e-5
3154,DMC,-195.6676,-53.3158,-0.000000e0,3.4124e-6,5.6025e-6
3287,DMC,-199.9993,-50.8184,-0.000000e0,-3.1914e-6,2.0296e-5
2801,EC,-191.3362,-55.8201,-0.000000e0,1.7991e-5,-4.0879e-5
3266,DMC,-191.1911,-50.8231,-0.000000e0,-5.7404e-5,-3.5970e-5
3563,DMC,-182.6178,-60.9394,-0.000000e0,-5.4631e-5,2.9975e-5
3058,EC,-186.9996,-58.3199,-0.000000e0,-2.1037e-5,-1.4726e-5
194,LithiumMetal,-178.7665,-62.0952,-1.000000e0,-1.7523e-5,-7.4570e-6
211,LithiumMetal,-176.1820,-60.4939,-0.000000e0,-1.1389e-7,-7.1358e-8
210,LithiumMetal,-179.0664,-59.0558,-1.000000e0,-3.8258e-5,3.3433e-6
227,LithiumMetal,-175.8721,-57.4692,-0.000000e0,-8.1321e-8,-3.2696e-10
3638,DMC,-186.8578,-53.3178,-0.000000e0,-8.5563e-5,-1.3180e-5
3181,DMC,-182.6010,-55.9414,-0.000000e0,-5.3829e-5,1.4836e-5
2816,SEI,-182.3029,-50.7017,0.000000e0,-7.2420e-6,1.3396e-5
226,LithiumMetal,-178.5826,-56.0546,-1.000000e0,-3.0357e-5,1.0792e-5
243,LithiumMetal,-175.9949,-54.4317,-0.000000e0,-1.0273e-7,3.4158e-8
242,LithiumMetal,-178.7150,-53.0159,-1.000000e0,-8.1579e-6,4.5257e-5
259,LithiumMetal,-178.0596,-50.0314,-0.000000e0,1.8338e-7,-4.8226e-8
260,LithiumMetal,-175.3732,-51.4557,-0.000000e0,-1.0621e-7,-4.0465e-8
164,LithiumMetal,-173.0683,-72.9368,-0.000000e0,-3.9623e-8,-8.1758e-8
165,LithiumMetal,-170.0715,-72.4250,-0.000000e0,-2.4574e-7,4.3079e-8
163,LithiumMetal,-174.9386,-70.5400,-0.000000e0,9.7877e-9,-5.9153e-9
181,LithiumMetal,-170.0816,-69.0950,-0.000000e0,-2.1852e-7,2.0593e-8
166,LithiumMetal,-165.9419,-72.5103,-0.000000e0,7.2456e-9,1.7941e-8
182,LithiumMetal,-165.9135,-69.0028,-1.000000e0,6.3444e-6,5.4419e-7
180,LithiumMetal,-172.9892,-68.2071,-1.000000e0,9.0075e-6,1.3520e-5
196,LithiumMetal,-173.4500,-65.2021,-0.000000e0,-6.8035e-8,-3.7531e-8
197,LithiumMetal,-170.2622,-65.5386,-0.000000e0,-1.9469e-7,-2.2540e-9
198,LithiumMetal,-166.1228,-65.5320,-0.000000e0,4.0181e-9,1.3032e-8
167,LithiumMetal,-161.3047,-72.6214,-0.000000e0,-6.0256e-10,1.3540e-8
168,LithiumMetal,-156.6856,-72.4350,-0.000000e0,7.9953e-9,3.8001e-9
183,LithiumMetal,-161.3851,-69.0956,-0.000000e0,1.3588e-9,1.2433e-8
184,LithiumMetal,-156.4181,-68.9024,-0.000000e0,-1.4821e-8,1.1765e-8
2099,FoilMetal,-151.9800,-74.1600,-0.000000e0,1.7164e-11,1.7303e-16
2101,FoilMetal,-151.9800,-71.1200,-0.000000e0,1.7163e-11,4.3073e-17
199,LithiumMetal,-161.4049,-65.6401,-0.000000e0,9.5964e-10,7.6047e-9
200,LithiumMetal,-156.7408,-65.4456,-1.000000e0,-9.2708e-7,-2.7871e-6
2103,FoilMetal,-151.9800,-68.0800,-0.000000e0,1.7165e-11,6.9177e-16
2105,FoilMetal,-151.9800,-65.0400,-0.000000e0,1.7164e-11,-1.0216e-16
212,LithiumMetal,-173.4973,-61.9201,-0.000000e0,-9.2285e-8,-1.1914e-7
213,LithiumMetal,-170.4613,-62.0762,-0.000000e0,-2.0255e-7,2.6048e-8
228,LithiumMetal,-172.9698,-58.3881,-0.000000e0,-1.6305e-7,-4.5827e-8
229,LithiumMetal,-169.9486,-58.7252,-0.000000e0,-7.8400e-8,-2.6661e-8
214,LithiumMetal,-166.1727,-62.1220,-0.000000e0,-2.8762e-8,9.5210e-8
230,LithiumMetal,-166.1068,-58.5984,-1.000000e0,-3.3503e-5,1.1923e-6
244,LithiumMetal,-173.0505,-53.6588,-0.000000e0,1.3881e-8,1.1258e-7
245,LithiumMetal,-170.3874,-55.1259,-0.000000e0,-1.9694e-7,8.9997e-8
261,LithiumMetal,-171.0247,-51.3897,-1.000000e0,-1.9395e-6,1.0926e-5
246,LithiumMetal,-166.0656,-55.1673,-0.000000e0,-1.3039e-8,1.2021e-8
262,LithiumMetal,-166.4167,-51.8139,-0.000000e0,1.0786e-8,-5.5373e-9
215,LithiumMetal,-161.3916,-62.2234,-0.000000e0,-4.1796e-9,-4.9902e-9
216,LithiumMetal,-156.5358,-62.1154,-0.000000e0,-9.4812e-9,-3.2530e-8
231,LithiumMetal,-161.5226,-58.7844,-1.000000e0,3.4082e-5,6.1947e-6
232,LithiumMetal,-156.6138,-58.6210,-0.000000e0,6.8545e-9,1.3494e-8
2107,FoilMetal,-151.9800,-62.0000,-0.000000e0,1.7164e-11,1.6609e-16
2109,FoilMetal,-151.9800,-58.9600,-0.000000e0,1.7163e-11,-1.0557e-18
