# step=27687 time_fs=188435.00 v_cell=-6.300563e-1 applied_i=-5.538852e-2
id,species,x,y,charge,vx,vy
2499,ElectrolyteAnion,-200.0116,-100.0023,-1.000000e0,-1.7660e-4,3.4857e-5
3121,DMC,-195.5116,-100.0040,-0.000000e0,-1.7591e-4,-1.3217e-4
3499,DMC,-190.5205,-100.0083,-0.000000e0,-1.7992e-4,-2.3661e-5
18,LithiumMetal,-183.4615,-100.0017,-1.000000e0,-1.3126e-4,3.5515e-6
3,LithiumMetal,-177.6385,-100.0002,-1.000000e0,5.0422e-5,2.4048e-4
4,LithiumMetal,-174.0447,-100.0004,-1.000000e0,8.7760e-5,1.0592e-4
5,LithiumMetal,-170.7902,-100.0001,-1.000000e0,1.0796e-4,9.5272e-5
7,LithiumMetal,-161.2117,-100.0001,-1.000000e0,-1.2466e-4,8.5999e-5
8,LithiumMetal,-154.6127,-100.0001,-1.000000e0,-1.4752e-4,1.2325e-4
11,LithiumMetal,-146.3073,-100.0001,-1.000000e0,1.3442e-4,1.0887e-4
14,LithiumMetal,-127.9078,-100.0001,-1.000000e0,-7.8266e-5,1.4645e-4
15,LithiumMetal,-123.5124,-100.0001,-1.000000e0,1.4557e-4,1.5346e-4
48,LithiumMetal,-113.7311,-100.0001,-1.000000e0,4.6989e-5,2.8040e-5
3612,DMC,-94.6899,-100.0001,-0.000000e0,1.2682e-4,-9.4859e-6
3532,DMC,-64.7731,-100.0001,-0.000000e0,-3.5023e-6,-2.4776e-6
3251,DMC,-57.9357,-100.0003,-0.000000e0,1.4092e-6,-2.4807e-6
2983,SEI,-52.6857,-100.0001,0.000000e0,7.4469e-7,-1.7234e-6
3616,DMC,-45.8118,-100.0001,-0.000000e0,-7.5225e-7,-1.7554e-6
2843,SEI,-35.5618,-100.0000,0.000000e0,1.0916e-8,7.2771e-16
1253,LithiumMetal,-2.8505,-100.0012,-0.000000e0,-3.5433e-6,-4.6394e-6
3135,DMC,-200.0135,-95.5026,-0.000000e0,-3.9786e-4,5.4648e-5
3248,DMC,-195.0408,-95.0268,-0.000000e0,-2.6467e-4,-9.1331e-5
3269,DMC,-190.0410,-95.0327,-0.000000e0,-2.3577e-4,-1.3029e-5
3712,DMC,-198.7424,-90.6683,-0.000000e0,-8.8252e-5,-2.3581e-5
2880,EC,-193.7655,-90.1925,-0.000000e0,-4.9433e-5,-1.0855e-4
3011,SEI,-188.3288,-90.0753,0.000000e0,-1.8407e-4,-3.3942e-5
2,LithiumMetal,-186.5012,-100.0000,-1.000000e0,-1.7180e-4,1.1415e-4
2889,SEI,-184.8819,-95.9760,0.000000e0,-2.0228e-4,-6.9410e-6
19,LithiumMetal,-180.5503,-99.1268,-1.000000e0,-1.0082e-4,-7.5727e-5
20,LithiumMetal,-175.8048,-97.5218,-1.000000e0,-1.0664e-4,-2.3750e-5
34,LithiumMetal,-180.6735,-95.2530,-1.000000e0,-1.0397e-4,-7.9295e-5
35,LithiumMetal,-177.6055,-95.0725,-1.000000e0,-8.5912e-5,1.6784e-5
50,LithiumMetal,-184.3960,-91.7354,-1.000000e0,-1.9255e-4,-7.2641e-6
66,LithiumMetal,-181.3652,-90.3225,-1.000000e0,-1.8541e-4,-2.5963e-5
51,LithiumMetal,-179.2834,-92.5379,-1.000000e0,-1.1626e-4,-2.2047e-6
52,LithiumMetal,-175.8581,-92.4509,-0.000000e0,6.4866e-8,-3.4299e-8
67,LithiumMetal,-177.5642,-89.9291,-1.000000e0,-8.5436e-6,-3.2411e-5
3642,DMC,-200.0052,-85.8304,-0.000000e0,-1.8194e-4,-4.6941e-5
3543,DMC,-195.6877,-83.3079,-0.000000e0,-1.9474e-4,-1.7541e-5
3074,EC,-191.3643,-85.8092,-0.000000e0,-1.8728e-4,-2.7401e-5
3175,DMC,-200.0165,-80.8051,-0.000000e0,-2.2557e-4,-6.4047e-5
2734,EC,-195.6842,-78.3092,-0.000000e0,-2.0622e-4,-1.0861e-5
2718,EC,-200.0126,-75.8062,-0.000000e0,-2.9156e-4,-6.0897e-5
3137,DMC,-191.3568,-80.8114,-0.000000e0,-1.6653e-4,-1.7204e-5
