# step=28082 time_fs=190410.00 v_cell=-1.046864e0 applied_i=-5.882116e-2
id,species,x,y,charge,vx,vy
2499,ElectrolyteAnion,-200.0175,-100.0051,-1.000000e0,-4.1876e-4,-2.8756e-5
3121,DMC,-195.5175,-100.0033,-0.000000e0,-2.7032e-4,-2.4478e-4
3499,DMC,-190.5270,-100.0070,-0.000000e0,-2.1412e-4,-7.0489e-5
18,LithiumMetal,-183.4683,-100.0042,-1.000000e0,-1.7397e-4,-3.3799e-5
3,LithiumMetal,-177.6181,-100.0015,-1.000000e0,-5.0516e-5,-1.4505e-5
4,LithiumMetal,-174.0679,-100.0016,-1.000000e0,-2.1561e-5,7.0604e-5
5,LithiumMetal,-170.8124,-100.0007,-1.000000e0,5.3117e-5,2.1243e-5
22,LithiumMetal,-167.5983,-100.0001,-1.000000e0,1.1648e-4,1.2801e-4
6,LithiumMetal,-164.4548,-100.0005,-1.000000e0,6.7622e-5,-1.7497e-5
7,LithiumMetal,-161.2487,-100.0001,-1.000000e0,-1.1639e-4,1.6919e-4
24,LithiumMetal,-157.7915,-100.0002,-1.000000e0,1.2577e-4,1.1977e-4
8,LithiumMetal,-154.6128,-100.0006,-1.000000e0,-1.3977e-5,-1.0804e-6
12,LithiumMetal,-137.1552,-100.0002,-1.000000e0,-2.7369e-5,1.0108e-4
13,LithiumMetal,-134.1084,-100.0001,-1.000000e0,-9.6793e-5,1.2130e-4
29,LithiumMetal,-131.0513,-100.0002,-1.000000e0,-9.2178e-5,1.0248e-4
14,LithiumMetal,-127.8575,-100.0002,-1.000000e0,-1.1211e-4,1.7039e-4
15,LithiumMetal,-123.3212,-100.0005,-1.000000e0,1.3139e-4,-1.6503e-5
31,LithiumMetal,-119.9923,-100.0001,-1.000000e0,1.8730e-4,1.5298e-4
48,LithiumMetal,-113.5450,-100.0002,-1.000000e0,6.6455e-5,3.0905e-5
3612,DMC,-94.4357,-100.0001,-0.000000e0,1.4104e-4,-9.2337e-6
3532,DMC,-64.7980,-100.0002,-0.000000e0,-2.6058e-6,4.5263e-7
3251,DMC,-57.9288,-100.0003,-0.000000e0,-1.8235e-6,-1.1863e-5
2983,SEI,-52.6790,-100.0007,0.000000e0,-1.4966e-6,-3.3587e-5
3616,DMC,-45.8120,-100.0002,-0.000000e0,1.0670e-5,-1.0784e-5
2843,SEI,-35.5619,-100.0000,0.000000e0,-0.0000e0,-0.0000e0
3135,DMC,-200.0300,-95.5059,-0.000000e0,-2.5535e-4,-1.5113e-5
3248,DMC,-195.0580,-95.0252,-0.000000e0,-2.0779e-4,-1.2531e-4
3269,DMC,-190.0613,-95.0387,-0.000000e0,-1.9652e-4,-3.5256e-5
3712,DMC,-198.7514,-90.6729,-0.000000e0,-1.0132e-4,-5.1343e-5
2880,EC,-193.7746,-90.1925,-0.000000e0,-3.6023e-5,-7.6240e-5
3011,SEI,-188.3463,-90.0784,0.000000e0,-2.3714e-4,-3.9699e-5
2,LithiumMetal,-186.5079,-100.0000,-1.000000e0,-1.9733e-4,1.3724e-4
2889,SEI,-184.9079,-95.9857,0.000000e0,-1.7384e-4,-3.4910e-5
19,LithiumMetal,-180.5437,-99.1755,-1.000000e0,-1.4550e-4,-5.0410e-5
20,LithiumMetal,-175.8428,-97.5338,-1.000000e0,6.4061e-5,1.2059e-4
34,LithiumMetal,-180.6730,-95.4463,-1.000000e0,-1.5483e-4,-1.2547e-4
35,LithiumMetal,-177.6534,-95.0925,-1.000000e0,-1.4304e-4,-2.1396e-5
50,LithiumMetal,-184.4208,-91.7474,-1.000000e0,-2.4607e-4,-2.2528e-5
66,LithiumMetal,-181.6378,-90.5241,-1.000000e0,-2.2577e-4,-3.7116e-5
51,LithiumMetal,-179.4696,-92.6547,-1.000000e0,-1.7177e-4,-3.2666e-5
52,LithiumMetal,-175.8747,-92.4454,-1.000000e0,-1.1094e-7,3.2251e-8
67,LithiumMetal,-177.7177,-89.9335,-1.000000e0,-1.3770e-4,-8.1567e-5
3642,DMC,-200.0108,-85.8341,-0.000000e0,-2.6065e-4,-8.7652e-5
3543,DMC,-195.6962,-83.3057,-0.000000e0,-2.5564e-4,-3.4113e-5
3074,EC,-191.3735,-85.8100,-0.000000e0,-2.4436e-4,-3.1910e-5
3175,DMC,-200.0253,-80.8031,-0.000000e0,-4.9267e-4,-4.3496e-5
2734,EC,-195.6914,-78.3080,-0.000000e0,-2.6776e-4,2.2334e-5
2718,EC,-200.0198,-75.8038,-0.000000e0,-3.1021e-4,6.6001e-5
3137,DMC,-191.3645,-80.8123,-0.000000e0,-2.5611e-4,-5.9789e-6
2685,EC,-191.3580,-75.8131,-0.000000e0,-2.1768e-4,-3.0870e-7
3275,DMC,-183.9457,-87.2323,-0.000000e0,-2.1742e-4,-5.6405e-5
2814,EC,-187.0422,-83.3181,-0.000000e0,-2.4041e-4,-4.3420e-5
3050,SEI,-181.9168,-82.2380,0.000000e0,-2.4496e-4,3.1472e-5
82,LithiumMetal,-180.0896,-86.0974,-1.000000e0,-2.3944e-4,-6.2073e-6
83,LithiumMetal,-177.1266,-86.9230,-1.000000e0,-1.3634e-4,-3.6060e-5
99,LithiumMetal,-177.9851,-83.9035,-1.000000e0,-1.4321e-4,3.6838e-6
115,LithiumMetal,-176.3032,-81.3712,-1.000000e0,-6.2342e-5,4.8524e-6
3119,DMC,-187.0351,-78.3220,-0.000000e0,-2.2199e-4,-3.9859e-5
2888,SEI,-182.0363,-76.7368,0.000000e0,-2.2247e-4,-1.4880e-5
98,LithiumMetal,-178.7106,-79.4179,-1.000000e0,-1.6202e-4,-5.0214e-5
114,LithiumMetal,-177.7699,-76.5271,-1.000000e0,-1.5480e-4,7.2410e-6
21,LithiumMetal,-172.4405,-97.4334,-1.000000e0,-5.3750e-5,7.7890e-5
37,LithiumMetal,-169.2057,-97.4198,-1.000000e0,-1.5910e-4,2.3569e-4
36,LithiumMetal,-173.9251,-94.7805,-1.000000e0,-1.3504e-4,1.9062e-4
53,LithiumMetal,-170.8089,-94.8283,-1.000000e0,-7.4678e-6,-1.2511e-5
38,LithiumMetal,-166.0129,-97.3901,-1.000000e0,-1.3982e-4,1.6451e-4
23,LithiumMetal,-162.9113,-97.3815,-1.000000e0,8.5994e-5,8.1524e-5
54,LithiumMetal,-167.5526,-94.7576,-0.000000e0,2.7174e-5,-2.5972e-5
68,LithiumMetal,-172.8588,-91.8935,-0.000000e0,-1.7925e-7,-1.2268e-7
69,LithiumMetal,-169.2364,-92.2265,-1.000000e0,-4.6949e-6,-3.1114e-6
84,LithiumMetal,-174.5179,-89.0715,-0.000000e0,-1.5889e-5,-1.0453e-4
85,LithiumMetal,-170.3150,-89.3843,-0.000000e0,-3.4274e-5,-1.3252e-5
70,LithiumMetal,-165.1014,-92.9590,-0.000000e0,-5.3084e-7,3.6267e-7
86,LithiumMetal,-166.0321,-90.0343,-1.000000e0,-7.3160e-6,-7.3246e-5
39,LithiumMetal,-159.5201,-97.4994,-1.000000e0,-1.2053e-4,1.9948e-4
55,LithiumMetal,-162.3421,-94.2974,-1.000000e0,-2.9644e-8,1.0525e-7
56,LithiumMetal,-157.2819,-95.4422,-1.000000e0,3.2216e-5,1.3066e-4
40,LithiumMetal,-154.6484,-96.9608,-1.000000e0,6.5573e-5,1.4236e-4
2083,FoilMetal,-151.9800,-98.4800,-1.000000e0,1.9454e-9,-2.2692e-8
2085,FoilMetal,-151.9800,-95.4400,-1.000000e0,-1.2352e-9,-2.5893e-9
71,LithiumMetal,-159.4595,-93.3209,-0.000000e0,-8.3227e-5,8.1703e-5
87,LithiumMetal,-161.3659,-90.6130,-0.000000e0,-7.2319e-6,-8.0176e-5
88,LithiumMetal,-156.6859,-90.4808,-1.000000e0,-4.0849e-5,2.1084e-5
72,LithiumMetal,-155.0793,-93.3157,-0.000000e0,-5.1909e-5,-4.1781e-5
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,6.1168e-12,-3.2630e-12
2089,FoilMetal,-151.9800,-89.3600,-1.000000e0,-4.4867e-9,3.8566e-10
100,LithiumMetal,-174.9097,-84.7608,-1.000000e0,-3.2072e-6,1.5125e-5
101,LithiumMetal,-171.4182,-86.5072,-0.000000e0,1.6543e-5,4.6777e-5
116,LithiumMetal,-172.5377,-82.8594,-1.000000e0,3.0564e-5,-2.6901e-5
117,LithiumMetal,-169.5725,-83.5318,-1.000000e0,-2.3291e-7,1.9604e-8
102,LithiumMetal,-166.1045,-86.8275,-0.000000e0,-9.7998e-6,6.5010e-5
118,LithiumMetal,-165.7567,-83.3619,-1.000000e0,-2.5766e-7,-7.0964e-7
132,LithiumMetal,-173.5367,-79.9882,-1.000000e0,6.4390e-6,-1.3026e-5
133,LithiumMetal,-170.5025,-79.7999,-0.000000e0,2.1783e-5,-2.8978e-5
131,LithiumMetal,-174.6307,-77.1519,-0.000000e0,3.8393e-6,-8.7864e-6
148,LithiumMetal,-171.9211,-75.7634,-0.000000e0,-4.5465e-8,8.8527e-8
149,LithiumMetal,-168.9583,-76.4498,-1.000000e0,-5.1040e-7,-1.1797e-7
134,LithiumMetal,-165.8483,-79.8906,-0.000000e0,-2.2577e-7,1.3203e-8
150,LithiumMetal,-165.6034,-76.1294,-1.000000e0,-2.2427e-5,-2.6518e-5
103,LithiumMetal,-161.4890,-87.1125,-1.000000e0,-8.7499e-8,3.9936e-5
104,LithiumMetal,-156.7378,-87.1165,-0.000000e0,2.3921e-8,-8.1884e-7
119,LithiumMetal,-161.4434,-83.4935,-0.000000e0,2.0332e-9,-6.4135e-9
120,LithiumMetal,-156.7367,-83.4451,-1.000000e0,2.7330e-6,-5.7953e-5
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,1.7164e-11,4.3075e-17
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,1.7163e-11,4.4296e-17
135,LithiumMetal,-161.2761,-79.8274,-1.000000e0,-4.7341e-5,-2.9417e-5
136,LithiumMetal,-156.6845,-79.7253,-1.000000e0,1.1117e-5,-2.1884e-5
151,LithiumMetal,-161.2431,-76.2471,-0.000000e0,-2.4393e-9,-7.1288e-9
152,LithiumMetal,-156.6143,-76.0023,-1.000000e0,-5.1258e-6,2.1563e-5
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,1.7166e-11,-1.5577e-15
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,1.7163e-11,-4.4412e-17
2916,EC,-195.6861,-73.3084,-0.000000e0,-2.1651e-4,-1.2772e-5
2975,EC,-200.0144,-70.8044,-0.000000e0,-3.3923e-4,4.5003e-5
3025,EC,-191.3555,-70.8147,-0.000000e0,-1.9057e-4,4.8106e-7
2552,EC,-200.0104,-65.8082,-0.000000e0,-2.9347e-4,3.0636e-5
3630,DMC,-195.6808,-68.3108,-0.000000e0,-2.1328e-4,-7.1718e-6
3217,DMC,-195.6792,-63.3134,-0.000000e0,-2.1996e-4,9.1289e-6
3430,DMC,-191.3513,-65.8166,-0.000000e0,-1.6960e-4,8.7450e-6
3443,DMC,-187.0345,-73.3283,-0.000000e0,-1.7223e-4,-5.7201e-5
2553,SEI,-182.3129,-71.0590,0.000000e0,-1.9203e-4,-1.2716e-5
130,LithiumMetal,-178.9914,-73.7433,-1.000000e0,-2.1127e-4,-1.5240e-5
147,LithiumMetal,-175.8721,-74.1213,-1.000000e0,-2.9159e-5,-2.9959e-6
146,LithiumMetal,-178.0448,-70.8540,-1.000000e0,-1.7103e-4,4.2620e-6
2561,EC,-187.0237,-68.3233,-0.000000e0,-1.7447e-4,-3.4510e-5
3530,DMC,-182.6930,-65.8269,-0.000000e0,-1.7276e-4,-2.0289e-5
2613,EC,-187.0205,-63.3209,-0.000000e0,-1.8216e-4,1.0502e-5
162,LithiumMetal,-179.3200,-68.0136,-1.000000e0,-1.3016e-4,-2.1253e-5
