# step=32032 time_fs=210160.00 v_cell=-1.629745e0 applied_i=1.140914e-2
id,species,x,y,charge,vx,vy
2499,ElectrolyteAnion,-200.0237,-100.0139,-1.000000e0,-5.2858e-4,-1.3966e-4
3499,DMC,-190.5396,-100.0532,-0.000000e0,-2.5494e-4,-2.1106e-4
2,LithiumMetal,-186.5222,-100.0012,-1.000000e0,-2.5886e-4,2.3340e-5
18,LithiumMetal,-183.4819,-100.0044,-1.000000e0,-1.6521e-4,-8.1418e-6
19,LithiumMetal,-180.4470,-100.0050,-1.000000e0,-1.6400e-4,-4.2741e-5
3,LithiumMetal,-177.4096,-100.0019,-1.000000e0,-1.6322e-4,1.7664e-5
4,LithiumMetal,-174.3696,-100.0034,-1.000000e0,-1.6174e-4,-4.5858e-5
5,LithiumMetal,-171.3292,-100.0046,-1.000000e0,-8.1568e-5,-1.3039e-4
22,LithiumMetal,-168.0214,-100.0013,-1.000000e0,1.3850e-4,-8.1886e-5
6,LithiumMetal,-164.9453,-100.0052,-1.000000e0,-7.1365e-5,-2.0620e-4
7,LithiumMetal,-161.9055,-100.0028,-1.000000e0,1.7192e-5,-1.0103e-4
24,LithiumMetal,-157.6513,-100.0007,-1.000000e0,-1.6079e-4,1.6466e-4
8,LithiumMetal,-154.6113,-100.0025,-1.000000e0,8.4539e-5,-1.9643e-4
11,LithiumMetal,-146.2242,-100.0001,-1.000000e0,-8.9937e-5,2.2122e-4
27,LithiumMetal,-142.8779,-100.0005,-1.000000e0,1.3849e-4,5.2998e-5
44,LithiumMetal,-139.8379,-100.0003,-1.000000e0,1.4838e-4,6.0396e-5
12,LithiumMetal,-136.7890,-100.0004,-1.000000e0,1.2059e-4,1.2046e-5
13,LithiumMetal,-133.6210,-100.0007,-1.000000e0,-3.2295e-5,-6.0009e-5
29,LithiumMetal,-129.9445,-100.0005,-1.000000e0,1.2774e-4,8.2821e-5
14,LithiumMetal,-126.8879,-100.0004,-1.000000e0,5.8652e-5,9.1848e-5
15,LithiumMetal,-120.8080,-100.0005,-1.000000e0,9.6144e-5,6.9211e-5
31,LithiumMetal,-117.5606,-100.0002,-1.000000e0,2.5201e-4,1.0676e-4
16,LithiumMetal,-114.2722,-100.0003,-1.000000e0,6.1537e-5,6.9909e-5
48,LithiumMetal,-111.2322,-100.0004,-1.000000e0,1.7069e-4,4.9614e-5
33,LithiumMetal,-94.8647,-100.0002,-1.000000e0,2.7495e-4,4.5257e-5
3532,DMC,-66.0600,-100.0056,-0.000000e0,4.1788e-6,-8.4397e-5
3251,DMC,-57.5841,-100.0011,-0.000000e0,3.7567e-5,-1.6161e-5
2983,SEI,-52.3349,-100.0144,0.000000e0,3.1802e-5,-6.1338e-5
3616,DMC,-45.2626,-100.0011,-0.000000e0,8.8798e-7,-1.5948e-6
3177,DMC,-40.2629,-100.0029,-0.000000e0,1.0031e-6,-3.0693e-6
2843,SEI,-35.0158,-100.0011,0.000000e0,1.1356e-6,-1.5045e-5
3037,SEI,-29.5165,-100.0008,0.000000e0,1.0448e-6,-2.1511e-6
1160,LithiumMetal,-19.5998,-100.0000,-0.000000e0,4.2035e-7,-3.1890e-7
1253,LithiumMetal,-4.3300,-100.0004,-1.000000e0,1.7718e-5,-3.5944e-6
3121,DMC,-195.5241,-99.9515,-0.000000e0,-2.8703e-4,-5.8572e-5
3135,DMC,-200.0704,-95.5185,-0.000000e0,-8.6537e-4,-1.2143e-4
3248,DMC,-195.1040,-94.9319,-0.000000e0,-4.3898e-4,-4.6878e-4
3269,DMC,-190.1263,-95.0879,-0.000000e0,-4.1698e-4,-1.3290e-4
3712,DMC,-198.8221,-90.6787,-0.000000e0,-3.6101e-4,-2.5862e-4
2880,EC,-193.8602,-90.0891,-0.000000e0,-3.1371e-4,-4.3840e-4
3011,SEI,-188.5991,-90.0841,0.000000e0,-3.8027e-4,-8.2491e-5
2889,SEI,-184.9904,-96.0175,0.000000e0,-3.3825e-4,1.5762e-5
34,LithiumMetal,-180.8497,-96.9919,-1.000000e0,-3.3573e-4,6.9538e-5
20,LithiumMetal,-175.8890,-97.3705,-1.000000e0,-1.1181e-4,-1.1683e-5
35,LithiumMetal,-178.2371,-95.4396,-1.000000e0,-2.4830e-4,-7.5848e-5
50,LithiumMetal,-184.6990,-91.7637,-1.000000e0,-3.1004e-4,4.0780e-5
51,LithiumMetal,-181.4779,-93.5882,-1.000000e0,-2.1099e-4,-5.7170e-5
66,LithiumMetal,-181.9013,-90.5765,-1.000000e0,-2.5134e-4,-7.7213e-5
67,LithiumMetal,-178.8643,-90.6593,-1.000000e0,-2.5383e-4,-3.4720e-5
