# step=35982 time_fs=229910.00 v_cell=-6.808926e-1 applied_i=5.014861e-2
id,species,x,y,charge,vx,vy
2499,ElectrolyteAnion,-200.0010,-100.0004,-1.000000e0,1.4950e-4,1.0701e-4
3499,DMC,-191.1980,-100.0315,-0.000000e0,-1.8410e-4,-2.1996e-4
2,LithiumMetal,-187.1800,-100.0014,-1.000000e0,-1.7322e-4,4.8559e-6
19,LithiumMetal,-181.1011,-100.0011,-1.000000e0,-1.2835e-4,3.6300e-5
3,LithiumMetal,-178.0617,-100.0002,-1.000000e0,-8.7738e-5,1.2224e-4
4,LithiumMetal,-174.9621,-100.0000,-1.000000e0,6.3021e-5,1.6202e-4
5,LithiumMetal,-171.5200,-100.0002,-1.000000e0,-2.1130e-5,2.2905e-5
22,LithiumMetal,-168.4800,-100.0002,-1.000000e0,1.9633e-5,7.0143e-5
7,LithiumMetal,-162.1075,-100.0001,-1.000000e0,-1.0622e-4,1.1857e-4
24,LithiumMetal,-157.6526,-100.0001,-1.000000e0,-8.8134e-5,1.0173e-4
8,LithiumMetal,-154.6127,-100.0001,-1.000000e0,-7.6455e-5,7.4518e-5
15,LithiumMetal,-119.5589,-100.0002,-1.000000e0,-4.4265e-5,1.1199e-4
31,LithiumMetal,-115.5197,-100.0001,-1.000000e0,8.3134e-5,7.2479e-5
16,LithiumMetal,-112.3310,-100.0001,-1.000000e0,-4.4985e-6,1.0768e-4
48,LithiumMetal,-109.2911,-100.0002,-1.000000e0,9.3567e-5,1.2158e-4
32,LithiumMetal,-105.2765,-100.0001,-1.000000e0,1.0529e-5,1.2050e-4
65,LithiumMetal,-102.2365,-100.0001,-1.000000e0,6.2007e-5,1.1244e-4
17,LithiumMetal,-96.8473,-100.0002,-1.000000e0,1.1650e-4,5.7777e-5
33,LithiumMetal,-91.8564,-100.0017,-1.000000e0,1.8007e-4,4.5766e-6
3612,DMC,-87.8363,-100.0042,-0.000000e0,2.1926e-4,-1.4869e-4
3451,DMC,-82.8316,-100.0066,-0.000000e0,1.2076e-4,-9.6307e-5
3532,DMC,-66.7805,-100.0010,-0.000000e0,-3.9564e-6,-5.4269e-6
3251,DMC,-57.5277,-100.0027,-0.000000e0,-2.5973e-6,-1.6824e-5
2983,SEI,-51.6651,-100.0034,0.000000e0,1.0263e-5,-2.0496e-5
3616,DMC,-45.0854,-100.0001,-0.000000e0,5.3775e-7,-1.8108e-7
3177,DMC,-40.0854,-100.0008,-0.000000e0,6.6448e-6,-7.6648e-6
2843,SEI,-34.8355,-100.0007,0.000000e0,1.2873e-5,-5.0228e-6
3037,SEI,-29.3329,-100.0001,0.000000e0,-7.0289e-8,-1.1895e-7
3121,DMC,-195.8612,-98.2330,-0.000000e0,-5.1619e-5,6.0810e-4
3135,DMC,-200.0231,-95.4609,-0.000000e0,-4.8700e-4,-2.7099e-5
3269,DMC,-191.1438,-95.0373,-0.000000e0,-2.1466e-4,-8.0751e-5
3248,DMC,-195.6879,-92.9668,-0.000000e0,-3.1965e-4,-2.6961e-4
3712,DMC,-200.0158,-90.4613,-0.000000e0,-3.6881e-4,-5.5489e-5
