# step=812 time_fs=54060.00 v_cell=-4.727646e-2 applied_i=-5.910654e-2
id,species,x,y,charge,vx,vy
3712,DMC,-199.9302,-100.0001,-0.000000e0,3.3208e-5,5.7223e-8
3543,DMC,-195.3318,-97.8867,-0.000000e0,-4.6626e-4,-2.9996e-4
3642,DMC,-199.4333,-95.0249,-0.000000e0,-6.8080e-5,1.1150e-5
3135,DMC,-190.7921,-99.9841,-0.000000e0,-3.9021e-4,-5.2853e-4
3074,EC,-189.6248,-95.0479,-0.000000e0,1.0012e-3,-1.2471e-4
2734,EC,-194.8410,-92.7700,-0.000000e0,1.3437e-4,-4.3251e-4
3175,DMC,-199.9816,-90.0551,-0.000000e0,-4.7177e-5,1.3728e-5
2975,EC,-195.5148,-87.6688,-0.000000e0,-5.6211e-6,-2.4026e-4
3011,EC,-190.5336,-90.1030,-0.000000e0,1.3082e-4,-4.2892e-4
3269,DMC,-185.7888,-99.9092,-0.000000e0,-4.0195e-4,7.6641e-5
3121,DMC,-182.4939,-95.2869,-0.000000e0,3.4317e-5,-1.5880e-4
3275,DMC,-180.7821,-99.9855,-0.000000e0,-2.6674e-4,-1.5957e-4
2,LithiumIon,-178.1854,-98.0391,1.000000e0,-1.0471e-2,1.3469e-2
2888,SEI,-177.3674,-94.1548,0.000000e0,1.1304e-5,-2.1494e-5
2880,EC,-185.7230,-91.4695,-0.000000e0,3.6610e-4,1.2619e-4
3499,DMC,-180.8695,-90.2439,-0.000000e0,3.0143e-4,2.5269e-4
3364,DMC,-199.9428,-85.0552,-0.000000e0,1.1196e-4,1.3956e-5
3132,DMC,-195.5370,-82.6430,-0.000000e0,2.3589e-4,-2.2682e-4
2814,EC,-191.1973,-85.1472,-0.000000e0,7.1883e-5,-4.3456e-4
2672,EC,-199.9531,-80.0552,-0.000000e0,4.0656e-5,1.6256e-5
3347,DMC,-199.9899,-75.0550,-0.000000e0,3.3820e-5,3.0348e-5
3713,DMC,-195.5924,-77.4663,-0.000000e0,1.9887e-4,-2.0008e-4
2718,EC,-191.2417,-80.0436,-0.000000e0,1.7821e-4,-1.1382e-4
2499,ElectrolyteAnion,-187.1057,-87.1872,-1.000000e0,-1.7210e-4,-4.2350e-5
2889,EC,-182.8702,-85.6617,-0.000000e0,-2.3755e-4,1.7579e-5
3248,DMC,-186.8638,-82.6533,-0.000000e0,-2.0815e-4,6.3257e-5
3050,EC,-177.4187,-83.9593,-0.000000e0,-1.3849e-6,-4.5167e-4
3443,DMC,-182.0011,-80.6424,-0.000000e0,-2.3133e-4,-1.0870e-4
3119,DMC,-186.3814,-77.6768,-0.000000e0,5.1949e-5,4.0398e-5
2613,EC,-181.8365,-75.5926,-0.000000e0,8.8360e-5,-3.2820e-5
2553,EC,-177.1846,-78.7323,-0.000000e0,4.0124e-4,-1.0921e-3
3,LithiumMetal,-170.3499,-98.4824,-0.000000e0,2.2834e-7,2.2291e-7
18,LithiumMetal,-173.3380,-95.5674,-0.000000e0,3.0767e-6,-5.2496e-6
19,LithiumMetal,-170.3007,-95.4387,-0.000000e0,2.5494e-6,4.7664e-7
