# step=956 time_fs=54780.00 v_cell=-7.292350e-2 applied_i=4.562441e-2
id,species,x,y,charge,vx,vy
3712,DMC,-200.0005,-100.0036,-0.000000e0,-1.1126e-5,-5.7232e-5
3135,DMC,-190.7093,-100.0007,-0.000000e0,5.4959e-4,3.1905e-6
3543,DMC,-195.3194,-98.0647,-0.000000e0,1.7449e-4,-8.6950e-4
3642,DMC,-199.3147,-95.0514,-0.000000e0,4.6183e-4,-1.2203e-4
3074,EC,-188.9688,-95.3134,-0.000000e0,-2.3607e-4,3.1695e-4
2734,EC,-194.7521,-93.0049,-0.000000e0,5.1757e-4,2.9744e-5
3175,DMC,-200.0005,-90.0992,-0.000000e0,5.0451e-5,-1.7527e-4
2975,EC,-195.4565,-88.0114,-0.000000e0,4.7018e-4,-1.0180e-3
3011,EC,-190.5545,-90.2619,-0.000000e0,-3.2600e-4,1.0850e-4
3269,DMC,-185.5709,-99.5150,-0.000000e0,9.7167e-4,1.0634e-3
3121,DMC,-182.3653,-95.6365,-0.000000e0,8.6348e-4,-1.7073e-3
3275,DMC,-179.4496,-99.7339,-0.000000e0,2.7202e-3,6.6219e-4
2,LithiumIon,-179.4345,-96.6772,1.000000e0,1.0533e-3,-8.7784e-5
2888,SEI,-177.3399,-94.1049,0.000000e0,-6.1176e-6,1.4979e-5
2880,EC,-185.7146,-91.5174,-0.000000e0,-6.6913e-5,1.9704e-4
3499,DMC,-180.8824,-90.2329,-0.000000e0,-1.1778e-5,1.1296e-5
3364,DMC,-199.9536,-85.0998,-0.000000e0,-7.5426e-4,-1.6275e-4
3132,DMC,-195.5756,-82.6675,-0.000000e0,2.9183e-4,-1.2371e-3
2814,EC,-191.2456,-85.3073,-0.000000e0,-5.1150e-5,1.1427e-4
2672,EC,-199.9650,-80.1001,-0.000000e0,-9.1660e-4,-1.4604e-4
3347,DMC,-199.9826,-75.1001,-0.000000e0,-1.3783e-3,-1.2961e-4
3713,DMC,-195.5896,-77.6098,-0.000000e0,-2.1711e-4,-2.7421e-5
2718,EC,-191.2576,-80.1065,-0.000000e0,-4.3546e-4,-4.2217e-4
2916,EC,-191.0840,-75.1060,-0.000000e0,4.5370e-4,-1.0605e-3
2499,ElectrolyteAnion,-187.1950,-87.2679,-1.000000e0,-3.2692e-4,2.1723e-4
2889,EC,-182.9790,-85.6944,-0.000000e0,-1.4571e-4,-4.9797e-5
3248,DMC,-186.9810,-82.6971,-0.000000e0,-4.4840e-5,1.4157e-4
3050,EC,-177.4187,-84.2908,-0.000000e0,-1.4257e-6,-4.6497e-4
3443,DMC,-182.2289,-80.7510,-0.000000e0,-5.1044e-5,-6.3467e-5
3119,DMC,-186.7017,-77.7049,-0.000000e0,-1.8406e-3,2.4659e-4
2613,EC,-182.0179,-75.7555,-0.000000e0,-1.1205e-3,1.3860e-5
2553,EC,-177.4306,-79.2375,-0.000000e0,-1.6895e-4,-6.4351e-4
3,LithiumMetal,-170.3504,-98.4824,-0.000000e0,2.2835e-7,2.2267e-7
18,LithiumMetal,-173.3344,-95.5840,-1.000000e0,-4.5897e-6,-1.1996e-5
19,LithiumMetal,-170.2981,-95.4382,-0.000000e0,-1.8202e-8,-8.9004e-9
4,LithiumMetal,-167.3097,-98.4816,-0.000000e0,4.0909e-9,2.2436e-7
5,LithiumMetal,-164.2697,-98.4816,-0.000000e0,3.7174e-9,2.2360e-7
20,LithiumMetal,-167.2581,-95.4412,-0.000000e0,-1.5559e-8,-2.9678e-10
21,LithiumMetal,-164.2182,-95.4399,-0.000000e0,-1.5530e-8,1.9712e-10
34,LithiumMetal,-173.4261,-92.3989,-0.000000e0,2.9152e-6,1.2946e-6
35,LithiumMetal,-170.3866,-92.3993,-0.000000e0,4.8198e-6,1.8746e-9
50,LithiumMetal,-173.4852,-89.3599,-0.000000e0,9.3261e-8,1.0341e-6
51,LithiumMetal,-170.4399,-89.3597,-0.000000e0,6.6919e-9,-1.1443e-12
