step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
8001,90005.00,6.283185,6.000000e-2,-6.000000e-2,-9.145305e-2,-7.443269e-2,34,16
8002,90010.00,0.001571,5.999992e-2,-5.999992e-2,-9.269045e-2,-7.513834e-2,0,0
8003,90015.00,0.003141,5.999970e-2,-5.999970e-2,-8.251417e-2,-7.872087e-2,0,0
8004,90020.00,0.004712,5.999933e-2,-5.999933e-2,-8.813049e-2,-8.091987e-2,1,-1
8005,90025.00,0.006283,5.999881e-2,-5.999881e-2,-8.511826e-2,-7.788856e-2,0,0
8006,90030.00,0.007854,5.999815e-2,-5.999815e-2,-8.147364e-2,-8.112765e-2,0,0
8007,90035.00,0.009424,5.999734e-2,-5.999734e-2,-8.390171e-2,-9.376670e-2,1,-1
8008,90040.00,0.010995,5.999637e-2,-5.999637e-2,-8.342656e-2,-9.057625e-2,0,0
8009,90045.00,0.012566,5.999526e-2,-5.999526e-2,-8.306308e-2,-8.918047e-2,0,0
8010,90050.00,0.014136,5.999400e-2,-5.999400e-2,-8.356258e-2,-8.932191e-2,0,0
8011,90055.00,0.015707,5.999260e-2,-5.999260e-2,-9.873354e-2,-8.620887e-2,1,-1
8012,90060.00,0.017279,5.999104e-2,-5.999104e-2,-9.472889e-2,-8.967349e-2,0,0
8013,90065.00,0.018849,5.998934e-2,-5.998934e-2,-9.354255e-2,-9.372326e-2,0,0
8014,90070.00,0.020420,5.998749e-2,-5.998749e-2,-1.082895e-1,-8.623819e-2,1,-1
8015,90075.00,0.021991,5.998549e-2,-5.998549e-2,-1.031007e-1,-8.993722e-2,0,0
8016,90080.00,0.023561,5.998334e-2,-5.998334e-2,-1.026171e-1,-1.004562e-1,0,0
8017,90085.00,0.025132,5.998105e-2,-5.998105e-2,-1.098490e-1,-9.816336e-2,1,-1
8018,90090.00,0.026703,5.997861e-2,-5.997861e-2,-1.150189e-1,-9.557348e-2,0,0
8019,90095.00,0.028274,5.997602e-2,-5.997602e-2,-1.078060e-1,-9.575226e-2,0,0
