# step=11001 time_fs=105005.00 v_cell=8.439726e-1 applied_i=3.552350e-8
id,species,x,y,charge,vx,vy
3121,DMC,-199.9512,-100.0076,-0.000000e0,3.5542e-4,-1.2135e-4
18,LithiumIon,-184.0135,-100.0002,1.000000e0,-1.9879e-3,1.3114e-3
32,LithiumIon,-47.2647,-100.0002,1.000000e0,1.3979e-2,1.0630e-3
3093,EC,-44.2867,-100.0000,-0.000000e0,1.2017e-2,1.7809e-5
34,LithiumIon,-200.0100,-97.1983,1.000000e0,2.0765e-3,-9.9223e-4
3,LithiumIon,-195.9893,-100.0000,1.000000e0,1.8826e-3,1.4447e-3
3499,DMC,-199.9935,-94.4152,-0.000000e0,-1.3072e-4,-1.5413e-3
3275,DMC,-195.4942,-96.7475,-0.000000e0,6.7748e-4,-3.7689e-4
3248,DMC,-190.5663,-95.8887,-0.000000e0,4.7808e-4,1.2247e-3
3269,DMC,-197.3259,-90.1679,-0.000000e0,-1.2604e-3,6.9259e-4
4,LithiumIon,-200.0011,-88.3132,1.000000e0,4.3051e-4,2.8995e-3
3011,SEI,-187.2976,-99.9999,0.000000e0,-6.7016e-4,1.8537e-6
5,LithiumIon,-180.5582,-100.0000,1.000000e0,3.5528e-2,1.2266e-3
6,LithiumIon,-176.0513,-100.0000,1.000000e0,2.7888e-2,9.4160e-4
2888,SEI,-182.4724,-91.5711,0.000000e0,-6.2386e-14,-4.4007e-14
3050,SEI,-177.9780,-88.4009,0.000000e0,-2.9308e-14,-7.7003e-14
2889,EC,-188.7275,-81.7310,-0.000000e0,-1.1814e-7,-2.1546e-7
3135,DMC,-197.6494,-80.8120,-0.000000e0,-8.0238e-4,-8.5000e-4
19,LithiumIon,-200.0019,-78.5719,1.000000e0,8.1781e-4,2.3588e-4
3712,DMC,-199.9983,-75.3312,-0.000000e0,-8.9430e-5,-8.6138e-5
2880,EC,-195.0759,-76.3327,-0.000000e0,3.5918e-4,-7.5770e-4
2814,EC,-190.0763,-76.0661,-0.000000e0,-1.1435e-4,1.3569e-3
3443,DMC,-187.1322,-86.7421,-0.000000e0,-5.6029e-7,1.5769e-6
3119,DMC,-183.0773,-82.0027,-0.000000e0,-1.0135e-8,-3.3123e-8
2613,SEI,-177.8781,-82.9018,0.000000e0,-4.8018e-10,-2.1438e-8
2553,SEI,-177.7550,-77.4032,0.000000e0,-2.9269e-8,-6.6375e-9
7,LithiumIon,-170.7726,-99.8106,1.000000e0,-2.9772e-3,6.9415e-3
2499,ElectrolyteAnion,-170.7810,-96.1282,-1.000000e0,4.2330e-5,-3.6373e-4
20,LithiumMetal,-167.2729,-95.8375,-0.000000e0,1.7906e-7,1.3506e-7
21,LithiumMetal,-164.1631,-95.5205,-0.000000e0,-4.2001e-5,-1.5016e-5
35,LithiumMetal,-170.7614,-92.5987,-0.000000e0,1.5204e-7,1.5311e-7
50,LithiumMetal,-173.8560,-89.5155,-0.000000e0,-1.3775e-5,-6.6593e-5
51,LithiumMetal,-170.4762,-89.3735,1.000000e0,7.5999e-8,5.5921e-8
36,LithiumMetal,-167.4919,-92.4844,-0.000000e0,7.2139e-8,8.0876e-8
37,LithiumMetal,-164.3907,-92.4077,1.000000e0,2.8941e-8,2.6032e-8
52,LithiumMetal,-167.3927,-89.3832,-0.000000e0,3.5743e-9,1.9539e-8
53,LithiumMetal,-164.3346,-89.3612,-0.000000e0,-2.9495e-9,-5.8513e-10
8,LithiumIon,-160.5647,-100.0000,1.000000e0,-4.7180e-3,4.3178e-3
22,LithiumMetal,-161.1133,-95.5256,-0.000000e0,-2.7642e-7,2.3456e-7
23,LithiumMetal,-158.0728,-95.4992,-0.000000e0,-7.4349e-5,1.7960e-7
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,-1.2317e-10,-1.1032e-9
24,LithiumMetal,-155.0327,-95.4986,-0.000000e0,-2.4779e-5,-6.6352e-5
2085,FoilMetal,-151.9800,-95.4400,1.000000e0,3.5338e-9,-8.2690e-9
38,LithiumMetal,-161.3145,-92.4299,-0.000000e0,3.1494e-8,2.0856e-8
39,LithiumMetal,-158.2745,-92.4180,1.000000e0,1.4368e-8,1.8588e-8
