# step=8251 time_fs=91255.00 v_cell=3.008872e-2 applied_i=-2.296098e-2
id,species,x,y,charge,vx,vy
3275,DMC,-181.4233,-100.0000,-0.000000e0,-9.1618e-6,6.2462e-7
2669,EC,-89.1061,-100.0001,-0.000000e0,-6.7807e-4,-8.5518e-6
2564,EC,-70.5682,-100.0269,-0.000000e0,-7.0331e-4,-1.1352e-4
3539,DMC,-46.3065,-100.0005,-0.000000e0,-3.5377e-4,-1.5958e-5
1139,LithiumIon,-32.9204,-100.0010,1.000000e0,-2.2430e-3,2.1331e-4
1046,LithiumIon,-20.7206,-100.0535,1.000000e0,-4.8008e-3,-9.4509e-4
1203,LithiumIon,-6.6305,-100.0556,1.000000e0,-2.4524e-3,-7.8459e-4
3135,DMC,-200.0000,-99.9950,-0.000000e0,-6.3465e-7,1.5319e-6
3269,DMC,-195.0000,-99.9993,-0.000000e0,1.1577e-6,3.1453e-6
3499,DMC,-190.7384,-97.3840,-0.000000e0,-8.1604e-6,1.4644e-5
3712,DMC,-199.9550,-93.6262,-0.000000e0,-2.6921e-4,1.0058e-3
2889,EC,-194.8102,-93.6084,-0.000000e0,-1.9379e-4,-4.5073e-4
2499,ElectrolyteAnion,-197.3893,-89.9208,-1.000000e0,9.5606e-4,3.6908e-4
2814,EC,-191.0490,-89.1636,-0.000000e0,-1.2093e-3,-9.8534e-4
3121,DMC,-186.4637,-99.9901,-0.000000e0,-3.5222e-6,8.8856e-6
3050,EC,-186.3467,-94.9846,-0.000000e0,-6.7510e-5,1.9996e-5
2,LithiumMetal,-177.4033,-100.0000,-1.000000e0,-1.1149e-6,3.8719e-6
18,LithiumMetal,-177.2678,-96.9576,-0.000000e0,-2.5142e-9,-1.5148e-7
2888,SEI,-180.9515,-94.7712,0.000000e0,0.0000e0,-0.0000e0
3443,DMC,-185.3661,-90.0802,-0.000000e0,-1.2774e-6,8.7960e-6
34,LithiumMetal,-176.8922,-93.3624,-0.000000e0,2.1670e-8,1.6284e-8
2553,SEI,-180.1704,-89.3270,0.000000e0,0.0000e0,0.0000e0
50,LithiumMetal,-175.7883,-90.0606,-0.000000e0,-5.2957e-8,-8.6873e-9
2880,EC,-200.0009,-86.2558,-0.000000e0,-8.0422e-5,-2.8137e-4
3011,EC,-195.0032,-86.1034,-0.000000e0,-8.6573e-5,5.1396e-4
3248,DMC,-190.9179,-83.2109,-0.000000e0,-1.6637e-4,-9.1724e-5
3543,DMC,-199.9565,-81.0635,-0.000000e0,4.8669e-6,-1.8355e-5
3074,EC,-195.0125,-79.7786,-0.000000e0,1.3433e-5,-3.1447e-6
3642,DMC,-198.4702,-75.9494,-0.000000e0,-8.1147e-25,9.1569e-25
2734,EC,-191.5275,-76.1283,-0.000000e0,8.8583e-6,8.6064e-6
2685,EC,-184.9237,-85.0790,-0.000000e0,-6.8932e-8,-8.0442e-9
66,LithiumMetal,-176.8237,-86.6751,-0.000000e0,6.3899e-8,6.9293e-8
3530,DMC,-179.9662,-84.0802,-0.000000e0,2.9663e-7,1.0315e-7
82,LithiumMetal,-175.9797,-83.5622,-0.000000e0,-4.6637e-8,3.9417e-8
3119,DMC,-186.8795,-78.3202,-0.000000e0,-6.5087e-6,-3.1140e-5
2613,SEI,-181.6834,-79.1190,0.000000e0,0.0000e0,0.0000e0
98,LithiumMetal,-176.0910,-80.4366,-0.000000e0,-1.0323e-9,-6.4322e-8
114,LithiumMetal,-176.2995,-77.1102,-0.000000e0,3.6304e-8,8.2845e-9
3,LithiumMetal,-172.4011,-99.9602,-0.000000e0,2.2711e-8,1.6609e-7
19,LithiumMetal,-171.9703,-96.8093,-0.000000e0,-2.2711e-8,-1.6609e-7
4,LithiumMetal,-168.3541,-100.0000,-0.000000e0,9.8726e-8,5.2068e-8
5,LithiumMetal,-164.8726,-100.0000,-0.000000e0,4.0180e-8,0.0000e0
20,LithiumMetal,-167.8401,-96.2579,-0.000000e0,1.0049e-7,2.1127e-9
21,LithiumMetal,-164.4392,-95.8909,-0.000000e0,7.7371e-8,8.7508e-8
35,LithiumMetal,-171.2797,-92.8289,-0.000000e0,5.9430e-8,1.1210e-7
51,LithiumMetal,-170.6985,-89.4874,-0.000000e0,1.0167e-7,6.6944e-8
36,LithiumMetal,-167.3864,-92.4007,-0.000000e0,1.8170e-7,1.7716e-7
37,LithiumMetal,-164.3461,-92.4007,-0.000000e0,1.5110e-10,1.3441e-7
52,LithiumMetal,-167.3486,-89.3608,-0.000000e0,1.0008e-7,-6.1418e-9
53,LithiumMetal,-164.3078,-89.3594,-0.000000e0,-6.3467e-9,5.9870e-10
6,LithiumMetal,-161.5745,-100.0000,-0.000000e0,5.7753e-8,0.0000e0
7,LithiumMetal,-158.4533,-100.0000,-1.000000e0,1.2793e-6,5.4101e-6
22,LithiumMetal,-161.2911,-95.7355,-0.000000e0,3.2742e-10,1.1429e-7
23,LithiumMetal,-158.1410,-95.7135,-0.000000e0,4.0662e-8,1.3464e-7
8,LithiumMetal,-155.0698,-100.0000,-0.000000e0,-2.2519e-8,4.3542e-8
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,1.0406e-11,1.3840e-11
24,LithiumMetal,-155.1016,-95.5910,-0.000000e0,-4.1402e-8,1.6379e-7
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,2.8340e-12,-6.9276e-13
38,LithiumMetal,-161.3052,-92.3985,-0.000000e0,3.5815e-9,1.0275e-7
39,LithiumMetal,-158.2649,-92.3994,-0.000000e0,-1.4920e-9,9.7438e-8
54,LithiumMetal,-161.2672,-89.3587,-0.000000e0,-5.9667e-9,-1.0285e-10
55,LithiumMetal,-158.2269,-89.3587,-0.000000e0,-5.5647e-9,-2.4816e-10
40,LithiumMetal,-155.2051,-92.4013,-0.000000e0,-5.6147e-8,6.1122e-8
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,5.4956e-12,-4.8970e-15
56,LithiumMetal,-155.1869,-89.3610,-0.000000e0,-6.9207e-8,2.2278e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,5.0507e-12,-3.6179e-15
67,LithiumMetal,-170.6551,-86.3146,-0.000000e0,1.4980e-7,5.4301e-8
83,LithiumMetal,-170.5288,-83.2770,-0.000000e0,1.7106e-7,-1.2834e-10
68,LithiumMetal,-167.3967,-86.3173,-0.000000e0,8.6667e-8,1.8273e-10
