# step=8751 time_fs=93755.00 v_cell=-4.880539e-1 applied_i=-5.543277e-2
id,species,x,y,charge,vx,vy
3121,DMC,-186.4947,-100.0008,-0.000000e0,-5.8714e-5,-2.4785e-5
3412,DMC,-107.2740,-100.0000,-0.000000e0,4.6078e-4,-1.7037e-6
3419,DMC,-101.8575,-100.0002,-0.000000e0,1.7305e-4,-2.4107e-5
2669,EC,-90.1555,-100.0001,-0.000000e0,-2.8083e-4,-7.5399e-6
2741,EC,-81.7543,-100.0002,-0.000000e0,-2.0745e-4,1.0151e-4
2564,EC,-71.9241,-100.0180,-0.000000e0,-1.7862e-4,-9.9608e-4
2492,ElectrolyteAnion,-67.4231,-100.0004,-1.000000e0,-1.8027e-4,-1.9996e-4
2683,EC,-62.9231,-100.0001,-0.000000e0,-1.7977e-4,6.1829e-6
3096,EC,-52.9233,-100.0000,-0.000000e0,-1.7627e-4,-2.0136e-5
3360,DMC,-43.1129,-100.0000,-0.000000e0,-3.7773e-4,-9.9539e-6
3130,DMC,-21.0844,-100.0061,-0.000000e0,-3.7335e-3,-1.5585e-4
3322,DMC,-13.7588,-100.0001,-0.000000e0,-1.1079e-4,-1.6435e-5
3178,DMC,-7.1865,-100.0003,-0.000000e0,-3.0999e-4,-3.6773e-5
3135,DMC,-200.0000,-99.9911,-0.000000e0,-3.8558e-7,8.1792e-7
3269,DMC,-194.9442,-99.9997,-0.000000e0,1.1777e-4,1.2712e-6
3712,DMC,-200.0019,-93.9275,-0.000000e0,-8.0845e-5,-7.1584e-4
2889,EC,-195.1037,-94.9318,-0.000000e0,2.2177e-4,4.4471e-4
3499,DMC,-190.6924,-97.2851,-0.000000e0,1.8943e-4,3.7256e-4
2499,ElectrolyteAnion,-196.8009,-90.7642,-1.000000e0,-7.8476e-4,4.3431e-5
2880,EC,-200.0011,-87.6005,-0.000000e0,-9.0118e-5,7.9925e-4
2814,EC,-192.3014,-90.6931,-0.000000e0,-7.3233e-4,-1.0799e-3
3275,DMC,-181.4954,-100.0000,-0.000000e0,-5.9450e-5,4.0927e-6
3050,EC,-186.2802,-94.9333,-0.000000e0,3.4554e-4,5.2791e-5
2,LithiumMetal,-177.4754,-100.0000,-1.000000e0,-5.6790e-5,3.3125e-5
18,LithiumMetal,-177.2678,-96.9576,-0.000000e0,-7.6262e-9,-1.4929e-7
2888,SEI,-180.9515,-94.7713,0.000000e0,-7.4826e-11,-5.2146e-10
3443,DMC,-185.3749,-90.0159,-0.000000e0,-1.6218e-5,1.2248e-4
34,LithiumMetal,-176.8922,-93.3624,-0.000000e0,2.1670e-8,1.6284e-8
