# step=10126 time_fs=100630.00 v_cell=-1.760514e0 applied_i=1.170538e-2
id,species,x,y,charge,vx,vy
3135,DMC,-200.0000,-100.0020,-0.000000e0,5.9374e-8,-1.1365e-4
3121,DMC,-187.4321,-100.0002,-0.000000e0,-1.6764e-4,-1.0006e-5
3275,DMC,-182.4322,-100.0029,-0.000000e0,-1.6723e-4,-1.0147e-4
2,LithiumMetal,-178.4070,-100.0003,-1.000000e0,-2.5557e-4,9.0428e-6
3,LithiumMetal,-173.2562,-100.0005,-1.000000e0,-1.5727e-4,-5.8223e-6
16,LithiumMetal,-127.8872,-100.0006,-1.000000e0,1.5244e-4,-2.6935e-5
17,LithiumMetal,-122.5489,-100.0008,-1.000000e0,2.0010e-4,-2.7389e-5
3451,DMC,-117.2743,-100.0004,-0.000000e0,2.1887e-4,-5.6002e-6
3412,DMC,-106.7361,-100.0022,-0.000000e0,6.4203e-5,-2.6683e-5
3419,DMC,-99.9915,-100.0007,-0.000000e0,2.5664e-4,-1.6337e-5
2759,EC,-92.1274,-100.0016,-0.000000e0,5.9989e-4,-1.4750e-5
2669,EC,-85.7740,-100.0000,-0.000000e0,1.1562e-3,4.2062e-6
2741,EC,-77.2735,-100.0016,-0.000000e0,1.1462e-3,-1.8994e-4
2564,EC,-71.8210,-100.0044,-0.000000e0,8.0683e-5,-2.1323e-4
2683,EC,-60.0467,-100.0053,-0.000000e0,1.9458e-5,-1.7138e-4
3096,EC,-50.0650,-100.0179,-0.000000e0,2.0686e-5,-1.7644e-4
3648,DMC,-35.9205,-100.0053,-0.000000e0,-1.0984e-3,-1.1946e-4
3322,DMC,-26.1553,-100.0028,-0.000000e0,-1.6319e-3,-1.6559e-4
2836,EC,-5.2638,-100.0183,-0.000000e0,-4.1144e-3,-5.0794e-4
3269,DMC,-194.8395,-99.9988,-0.000000e0,5.7045e-14,6.1577e-16
3712,DMC,-200.0002,-95.0022,-0.000000e0,-1.9190e-5,-5.5488e-5
3499,DMC,-190.9767,-96.4738,-0.000000e0,-1.2817e-4,3.2075e-5
2889,EC,-195.1624,-93.7389,-0.000000e0,-3.1753e-5,1.8274e-4
2499,ElectrolyteAnion,-200.0000,-90.5022,-1.000000e0,1.3939e-4,-4.3786e-5
