# step=11251 time_fs=106255.00 v_cell=-4.016287e-1 applied_i=5.543276e-2
id,species,x,y,charge,vx,vy
3135,DMC,-200.0000,-100.0009,-0.000000e0,5.7025e-7,-4.1791e-5
3269,DMC,-194.9999,-100.0000,-0.000000e0,-1.0932e-5,-1.3146e-5
3275,DMC,-183.3766,-100.0000,-0.000000e0,-9.7433e-5,-9.7434e-6
2,LithiumMetal,-179.3565,-100.0000,-1.000000e0,-1.2257e-4,4.3550e-5
17,LithiumMetal,-121.6325,-100.0001,-1.000000e0,1.1270e-4,3.0971e-5
3451,DMC,-116.5966,-100.0007,-0.000000e0,4.4571e-5,-1.4330e-5
3412,DMC,-106.6578,-100.0008,-0.000000e0,1.8539e-4,-1.7398e-5
2759,EC,-89.4080,-100.0063,-0.000000e0,1.6057e-4,-9.4619e-5
2454,ElectrolyteAnion,-78.7024,-100.0003,-1.000000e0,1.5899e-3,-4.3296e-5
2741,EC,-74.2025,-100.0061,-0.000000e0,1.6257e-3,-1.8481e-4
3349,DMC,-56.9960,-100.0006,-0.000000e0,-3.0839e-3,-2.2480e-4
3701,DMC,-51.9980,-100.0005,-0.000000e0,-3.0576e-3,2.8247e-5
3130,DMC,-47.0002,-100.0020,-0.000000e0,-3.1209e-3,4.2267e-6
3322,DMC,-42.0005,-100.0026,-0.000000e0,-3.1919e-3,-2.2986e-5
3629,DMC,-32.0071,-100.0000,-0.000000e0,-3.1688e-3,-3.5493e-5
2836,EC,-27.0102,-100.0041,-0.000000e0,-3.2195e-3,-2.6574e-4
1171,LithiumIon,-18.8330,-100.3123,1.000000e0,-3.3702e-4,-5.6565e-5
2904,EC,-14.1484,-100.0033,-0.000000e0,-5.5504e-3,-8.5333e-4
3712,DMC,-200.0001,-95.0010,-0.000000e0,-1.8007e-5,-3.6078e-5
3121,DMC,-188.3766,-99.9998,-0.000000e0,-8.2118e-5,1.4002e-6
3499,DMC,-191.6885,-96.2538,-0.000000e0,-4.7883e-5,3.4948e-5
2889,EC,-195.4412,-92.9473,-0.000000e0,-1.5721e-5,7.7614e-5
2499,ElectrolyteAnion,-200.0000,-90.5010,-1.000000e0,2.6782e-5,-2.7600e-5
3050,EC,-187.0752,-94.3247,-0.000000e0,-4.2697e-5,-9.5764e-6
2888,SEI,-181.8648,-94.9724,0.000000e0,-6.3873e-5,-1.9743e-5
18,LithiumMetal,-178.2116,-97.1839,-1.000000e0,-1.0582e-5,6.1454e-5
3443,DMC,-186.1281,-89.4152,-0.000000e0,2.4379e-6,-1.8057e-5
34,LithiumMetal,-177.8339,-93.5637,-1.000000e0,-3.7895e-5,-1.6805e-5
2553,SEI,-180.8695,-89.5632,0.000000e0,4.7588e-6,-2.7287e-5
50,LithiumMetal,-176.6339,-90.1069,-1.000000e0,1.2549e-7,8.4366e-6
2880,EC,-200.0000,-86.0010,-0.000000e0,1.2667e-5,-1.7959e-5
2814,EC,-195.1518,-84.7731,-0.000000e0,2.0438e-5,-4.4104e-5
3248,DMC,-190.8606,-82.2065,-0.000000e0,-4.0797e-5,6.0797e-5
3543,DMC,-200.0000,-79.9082,-0.000000e0,1.8101e-7,-2.9279e-5
3011,EC,-195.0224,-79.4353,-0.000000e0,-1.2190e-5,1.0544e-4
2685,EC,-186.3779,-84.4214,-0.000000e0,-8.1265e-5,-2.1643e-5
3530,DMC,-181.3785,-84.3381,-0.000000e0,-8.8291e-5,-2.6119e-5
66,LithiumMetal,-177.9524,-86.4408,-1.000000e0,-5.0358e-5,2.8402e-5
82,LithiumMetal,-175.9794,-83.5626,-0.000000e0,-1.3014e-7,4.6040e-8
3119,DMC,-187.3536,-78.6383,-0.000000e0,-1.4070e-5,2.7586e-5
2613,SEI,-182.1266,-79.1417,0.000000e0,-2.2572e-5,-1.5969e-5
98,LithiumMetal,-177.7666,-80.8436,-1.000000e0,-3.3971e-5,-3.0092e-5
114,LithiumMetal,-177.3112,-76.9379,-1.000000e0,-1.8462e-5,1.8338e-5
3,LithiumMetal,-173.7339,-100.0000,-1.000000e0,2.8738e-6,7.4077e-5
19,LithiumMetal,-173.0916,-97.0155,-0.000000e0,-3.6987e-8,-1.6140e-7
4,LithiumMetal,-169.1357,-100.0000,-1.000000e0,2.7486e-5,5.2355e-5
5,LithiumMetal,-165.2664,-100.0000,-0.000000e0,5.2616e-8,5.5908e-8
20,LithiumMetal,-168.4414,-96.8193,-0.000000e0,1.7414e-8,-1.3389e-7
21,LithiumMetal,-164.6527,-96.3149,-0.000000e0,7.2729e-8,-1.1715e-8
35,LithiumMetal,-172.4514,-93.3008,-0.000000e0,7.0399e-9,8.4410e-9
51,LithiumMetal,-171.5127,-89.7446,-0.000000e0,-1.9447e-8,6.5328e-8
36,LithiumMetal,-167.6438,-92.5733,-1.000000e0,1.4136e-7,1.6176e-7
37,LithiumMetal,-164.3362,-92.3953,-0.000000e0,9.3794e-8,1.7803e-7
52,LithiumMetal,-167.3635,-89.3689,-0.000000e0,-1.6982e-5,-2.6301e-5
53,LithiumMetal,-164.3233,-89.3553,-0.000000e0,-1.0222e-8,-1.2809e-9
6,LithiumMetal,-161.7636,-100.0000,-1.000000e0,-6.7805e-5,4.6491e-5
7,LithiumMetal,-158.4286,-100.0000,-1.000000e0,8.3082e-6,4.8218e-5
22,LithiumMetal,-161.3499,-96.0321,-0.000000e0,1.6279e-8,5.8682e-8
23,LithiumMetal,-158.0893,-96.0053,-0.000000e0,6.7688e-8,9.1859e-8
8,LithiumMetal,-154.9194,-100.0000,-1.000000e0,7.4028e-5,4.9056e-5
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,8.4339e-12,1.2650e-11
24,LithiumMetal,-155.0413,-95.7014,-0.000000e0,-1.0511e-8,1.2558e-7
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,1.2652e-12,-1.2570e-12
38,LithiumMetal,-161.2942,-92.3980,-0.000000e0,1.6225e-9,1.5636e-7
39,LithiumMetal,-158.2534,-92.4008,-0.000000e0,5.2595e-9,1.5287e-7
54,LithiumMetal,-161.2663,-89.3580,-0.000000e0,1.2002e-9,1.1075e-10
55,LithiumMetal,-158.2218,-89.3597,-0.000000e0,-3.1089e-9,-3.4476e-10
40,LithiumMetal,-155.2118,-92.3978,-1.000000e0,1.5472e-5,1.1281e-5
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,5.6554e-12,-3.0571e-11
56,LithiumMetal,-155.1818,-89.3554,-0.000000e0,-6.8947e-8,5.1651e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,2.5523e-11,-1.0177e-11
67,LithiumMetal,-171.6008,-86.4270,-0.000000e0,2.7251e-8,6.3572e-8
83,LithiumMetal,-171.2116,-83.3348,-0.000000e0,3.1905e-8,3.5347e-8
68,LithiumMetal,-167.3829,-86.3218,-0.000000e0,2.2683e-7,2.9964e-9
69,LithiumMetal,-164.3423,-86.3151,-0.000000e0,3.2050e-5,7.7538e-6
84,LithiumMetal,-167.3721,-83.2802,-0.000000e0,4.2909e-8,-2.7581e-10
85,LithiumMetal,-164.3322,-83.2751,-0.000000e0,2.0952e-7,2.3583e-5
99,LithiumMetal,-171.0917,-80.2969,-0.000000e0,5.3011e-8,-1.9846e-8
115,LithiumMetal,-171.0693,-77.2103,-0.000000e0,6.6906e-8,5.2258e-9
100,LithiumMetal,-167.3909,-80.2391,-0.000000e0,1.6690e-7,-2.6499e-10
101,LithiumMetal,-164.3501,-80.2351,-0.000000e0,2.9488e-9,-4.6256e-10
116,LithiumMetal,-167.3714,-77.1988,-0.000000e0,1.6314e-7,2.4081e-10
