# step=11751 time_fs=108755.00 v_cell=4.088421e-2 applied_i=2.296106e-2
id,species,x,y,charge,vx,vy
3135,DMC,-200.0000,-100.0000,-0.000000e0,-1.9001e-7,-8.5737e-6
3451,DMC,-116.6432,-100.0016,-0.000000e0,-1.4546e-4,-2.1983e-5
3412,DMC,-106.6986,-100.0003,-0.000000e0,-1.3173e-4,-9.4099e-6
3419,DMC,-99.8819,-100.0004,-0.000000e0,-1.3163e-4,-1.7873e-5
2759,EC,-89.8820,-100.0034,-0.000000e0,-1.2526e-4,-4.2484e-5
2669,EC,-80.2328,-100.0012,-0.000000e0,1.4960e-3,2.9075e-5
2492,ElectrolyteAnion,-67.1644,-100.0007,-1.000000e0,-8.0689e-5,-5.7756e-4
3349,DMC,-62.6632,-100.0024,-0.000000e0,-3.5574e-4,6.4241e-5
3130,DMC,-52.6666,-100.0009,-0.000000e0,-3.7999e-4,-5.9313e-5
3322,DMC,-47.6664,-100.0003,-0.000000e0,-3.2603e-4,-9.1162e-5
2836,EC,-35.6078,-100.0017,-0.000000e0,-1.9616e-3,-5.1066e-4
1171,LithiumIon,-27.6094,-100.0338,1.000000e0,5.1178e-3,-1.7027e-3
2904,EC,-22.1104,-100.0035,-0.000000e0,3.2528e-4,-1.2286e-4
3269,DMC,-195.0000,-100.0000,-0.000000e0,-1.5150e-7,-1.5968e-7
3712,DMC,-200.0000,-95.0000,-0.000000e0,3.2641e-5,1.1060e-7
3121,DMC,-188.5323,-99.9988,-0.000000e0,-2.2186e-5,1.4186e-7
3499,DMC,-191.7812,-96.1723,-0.000000e0,-1.0728e-5,9.8066e-6
2889,EC,-195.8426,-92.2220,-0.000000e0,-9.5922e-6,2.1507e-6
2499,ElectrolyteAnion,-200.0001,-90.5000,-1.000000e0,-2.5488e-5,1.0992e-6
3275,DMC,-183.5109,-100.0000,-0.000000e0,-9.5587e-6,1.7004e-6
3050,EC,-187.1192,-94.3638,-0.000000e0,-3.4608e-6,-8.5572e-6
2888,SEI,-181.9001,-95.0029,0.000000e0,0.0000e0,0.0000e0
2,LithiumMetal,-179.4909,-100.0000,-1.000000e0,-2.4533e-6,2.4539e-5
18,LithiumMetal,-178.2340,-97.2003,-0.000000e0,-8.0012e-8,-1.2820e-7
3443,DMC,-186.1675,-89.4551,-0.000000e0,-2.0827e-5,-5.1181e-6
34,LithiumMetal,-177.8614,-93.5586,-1.000000e0,3.0608e-5,-6.0248e-6
2553,SEI,-180.9000,-89.5946,0.000000e0,0.0000e0,0.0000e0
50,LithiumMetal,-176.6086,-90.0991,-0.000000e0,-3.6405e-8,-2.0070e-8
2880,EC,-200.0000,-86.0000,-0.000000e0,7.8373e-6,1.6156e-5
2814,EC,-195.1472,-84.7621,-0.000000e0,4.2276e-6,-5.7605e-6
3248,DMC,-190.9057,-82.1109,-0.000000e0,-6.0394e-6,1.1215e-5
3543,DMC,-200.0000,-79.9509,-0.000000e0,-6.8517e-7,-4.8315e-6
3011,EC,-195.0419,-79.3007,-0.000000e0,-2.0699e-6,1.4964e-5
2685,EC,-186.4937,-84.4654,-0.000000e0,-1.2278e-5,-4.9853e-6
3530,DMC,-181.4460,-84.3719,-0.000000e0,-2.1706e-6,-1.6353e-5
66,LithiumMetal,-178.0069,-86.4535,-1.000000e0,6.4095e-6,-2.0163e-5
82,LithiumMetal,-175.9217,-83.5701,-0.000000e0,-1.1903e-7,3.9937e-8
3119,DMC,-187.3723,-78.5493,-0.000000e0,-1.5184e-6,1.5097e-5
2613,SEI,-182.1505,-79.1683,0.000000e0,-1.8729e-24,-6.8570e-24
98,LithiumMetal,-177.8233,-80.8526,-1.000000e0,-7.3492e-7,2.1874e-5
114,LithiumMetal,-177.3243,-76.9130,-0.000000e0,4.5831e-8,7.9046e-8
3,LithiumMetal,-173.6841,-99.9990,-0.000000e0,4.3323e-8,2.2062e-7
19,LithiumMetal,-173.0984,-97.0160,-0.000000e0,-3.4248e-8,-1.6813e-7
4,LithiumMetal,-169.1293,-100.0000,-0.000000e0,7.5802e-8,1.4118e-7
5,LithiumMetal,-165.2695,-100.0000,-1.000000e0,4.1387e-7,4.1694e-6
20,LithiumMetal,-168.4424,-96.8206,-0.000000e0,1.7435e-8,-1.3478e-7
21,LithiumMetal,-164.6527,-96.3150,-0.000000e0,7.2806e-8,-1.1687e-8
35,LithiumMetal,-172.4563,-93.3012,1.000000e0,-3.8650e-5,4.5333e-6
51,LithiumMetal,-171.5139,-89.7444,-0.000000e0,-1.9660e-8,6.5108e-8
36,LithiumMetal,-167.6432,-92.5721,-0.000000e0,1.4146e-7,1.6214e-7
37,LithiumMetal,-164.3360,-92.3951,-0.000000e0,9.3697e-8,1.7809e-7
52,LithiumMetal,-167.3636,-89.3688,-0.000000e0,2.0949e-7,6.7210e-8
53,LithiumMetal,-164.3229,-89.3551,-0.000000e0,-9.8742e-9,-1.2484e-9
6,LithiumMetal,-161.7565,-100.0000,-0.000000e0,4.0665e-8,6.4331e-16
7,LithiumMetal,-158.4397,-100.0000,-0.000000e0,-4.5868e-8,8.1801e-34
22,LithiumMetal,-161.3499,-96.0324,-0.000000e0,1.6267e-8,5.8626e-8
23,LithiumMetal,-158.0893,-96.0053,-0.000000e0,6.7781e-8,9.1787e-8
8,LithiumMetal,-154.8943,-100.0000,-0.000000e0,3.8498e-8,6.2314e-8
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,8.0427e-12,1.2407e-11
24,LithiumMetal,-155.0414,-95.7016,-0.000000e0,-1.0626e-8,1.2536e-7
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,1.1988e-12,-1.3644e-12
38,LithiumMetal,-161.2939,-92.3977,-0.000000e0,4.0660e-10,3.9746e-8
39,LithiumMetal,-158.2528,-92.4004,-0.000000e0,5.3678e-9,1.5322e-7
54,LithiumMetal,-161.2661,-89.3578,-0.000000e0,2.2716e-9,1.1680e-7
55,LithiumMetal,-158.2218,-89.3599,-0.000000e0,-3.1308e-9,-6.8501e-10
40,LithiumMetal,-155.2113,-92.3971,-0.000000e0,-6.4446e-8,9.5147e-8
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,5.6435e-12,1.0915e-14
56,LithiumMetal,-155.1818,-89.3560,-0.000000e0,-6.8918e-8,-4.3208e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,4.9230e-12,1.4934e-14
67,LithiumMetal,-171.6077,-86.4254,-0.000000e0,2.7604e-8,6.4398e-8
83,LithiumMetal,-171.2171,-83.3345,-0.000000e0,3.1466e-8,3.4933e-8
68,LithiumMetal,-167.3831,-86.3218,-0.000000e0,2.2667e-7,3.0436e-9
69,LithiumMetal,-164.3423,-86.3151,-0.000000e0,1.8876e-9,-6.5865e-10
84,LithiumMetal,-167.3721,-83.2802,-0.000000e0,1.7607e-7,-4.2453e-11
85,LithiumMetal,-164.3320,-83.2751,-0.000000e0,-2.1046e-9,-6.0022e-10
99,LithiumMetal,-171.0950,-80.2968,-0.000000e0,5.2442e-8,-2.0238e-8
115,LithiumMetal,-171.0731,-77.2094,-0.000000e0,6.6481e-8,6.2212e-9
100,LithiumMetal,-167.3909,-80.2391,-0.000000e0,1.6720e-7,-2.5908e-10
