step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
80001,450005.00,6.283185,-3.623899e-8,3.623899e-8,-4.797329e-1,-1.057448e0,2115,-714
80002,450010.00,0.000156,9.405137e-6,-9.405137e-6,-4.141688e-1,-1.056163e0,0,0
80003,450015.00,0.000314,1.884651e-5,-1.884651e-5,-4.817014e-1,-1.058192e0,0,0
80004,450020.00,0.000471,2.828789e-5,-2.828789e-5,-4.213904e-1,-1.053386e0,0,0
80005,450025.00,0.000628,3.767204e-5,-3.767204e-5,-4.766757e-1,-1.059409e0,0,0
80006,450030.00,0.000785,4.711341e-5,-4.711341e-5,-4.976957e-1,-1.058066e0,0,0
80007,450035.00,0.000942,5.655479e-5,-5.655479e-5,-4.936939e-1,-1.056971e0,0,0
80008,450040.00,0.001099,6.593893e-5,-6.593893e-5,-5.026253e-1,-1.051801e0,0,0
80009,450045.00,0.001256,7.538030e-5,-7.538030e-5,-4.930255e-1,-1.054725e0,0,0
80010,450050.00,0.001413,8.482167e-5,-8.482167e-5,-4.399674e-1,-1.052278e0,0,0
80011,450055.00,0.001571,9.426304e-5,-9.426304e-5,-4.851489e-1,-1.051436e0,0,0
80012,450060.00,0.001727,1.036472e-4,-1.036472e-4,-4.382424e-1,-1.055334e0,0,0
80013,450065.00,0.001884,1.130885e-4,-1.130885e-4,-4.953533e-1,-1.056018e0,0,0
80014,450070.00,0.002042,1.225299e-4,-1.225299e-4,-4.485608e-1,-1.058089e0,0,0
80015,450075.00,0.002198,1.319140e-4,-1.319140e-4,-4.979930e-1,-1.058279e0,0,0
80016,450080.00,0.002356,1.413554e-4,-1.413554e-4,-4.928781e-1,-1.054863e0,0,0
80017,450085.00,0.002513,1.507967e-4,-1.507967e-4,-4.911741e-1,-1.051467e0,0,0
80018,450090.00,0.002670,1.602381e-4,-1.602381e-4,-4.914074e-1,-1.050285e0,0,0
80019,450095.00,0.002827,1.696222e-4,-1.696222e-4,-4.456851e-1,-1.056157e0,0,0
80020,450100.00,0.002984,1.790635e-4,-1.790635e-4,-4.983212e-1,-1.049434e0,0,0
80021,450105.00,0.003141,1.885049e-4,-1.885049e-4,-4.955814e-1,-1.049877e0,0,0
80022,450110.00,0.003298,1.978890e-4,-1.978890e-4,-4.441136e-1,-1.054830e0,0,0
80023,450115.00,0.003455,2.073303e-4,-2.073303e-4,-4.936520e-1,-1.053969e0,0,0
80024,450120.00,0.003613,2.167716e-4,-2.167716e-4,-4.926335e-1,-1.055532e0,0,0
80025,450125.00,0.003769,2.261557e-4,-2.261557e-4,-5.133721e-1,-1.056144e0,0,0
80026,450130.00,0.003926,2.355970e-4,-2.355970e-4,-5.167313e-1,-1.056819e0,0,0
80027,450135.00,0.004084,2.450383e-4,-2.450383e-4,-5.184547e-1,-1.060726e0,0,0
80028,450140.00,0.004241,2.544796e-4,-2.544796e-4,-5.196512e-1,-1.057200e0,0,0
80029,450145.00,0.004397,2.638637e-4,-2.638637e-4,-5.216395e-1,-1.058484e0,0,0
80030,450150.00,0.004555,2.733049e-4,-2.733049e-4,-4.770619e-1,-1.063832e0,0,0
80031,450155.00,0.004712,2.827462e-4,-2.827462e-4,-4.469179e-1,-1.060773e0,0,0
80032,450160.00,0.004869,2.921303e-4,-2.921303e-4,-4.376343e-1,-1.061337e0,0,0
80033,450165.00,0.005026,3.015715e-4,-3.015715e-4,-4.363070e-1,-1.062297e0,0,0
80034,450170.00,0.005183,3.110128e-4,-3.110128e-4,-4.364070e-1,-1.061865e0,0,0
80035,450175.00,0.005341,3.204540e-4,-3.204540e-4,-4.399625e-1,-1.061732e0,0,0
80036,450180.00,0.005497,3.298380e-4,-3.298380e-4,-4.387479e-1,-1.062354e0,0,0
80037,450185.00,0.005654,3.392793e-4,-3.392793e-4,-4.402804e-1,-1.062344e0,0,0
80038,450190.00,0.005812,3.487205e-4,-3.487205e-4,-4.520198e-1,-1.060618e0,0,0
80039,450195.00,0.005968,3.581045e-4,-3.581045e-4,-5.011078e-1,-1.061652e0,0,0
80040,450200.00,0.006125,3.675457e-4,-3.675457e-4,-4.963200e-1,-1.060153e0,0,0
80041,450205.00,0.006283,3.769869e-4,-3.769869e-4,-4.804500e-1,-1.059884e0,0,0
80042,450210.00,0.006440,3.864281e-4,-3.864281e-4,-5.002944e-1,-1.057105e0,0,0
80043,450215.00,0.006597,3.958120e-4,-3.958120e-4,-4.935406e-1,-1.062255e0,0,0
80044,450220.00,0.006754,4.052532e-4,-4.052532e-4,-4.257349e-1,-1.059381e0,0,0
80045,450225.00,0.006911,4.146943e-4,-4.146943e-4,-4.792966e-1,-1.063611e0,0,0
80046,450230.00,0.007068,4.240783e-4,-4.240783e-4,-4.706771e-1,-1.068094e0,0,0
80047,450235.00,0.007225,4.335194e-4,-4.335194e-4,-4.753520e-1,-1.066238e0,0,0
80048,450240.00,0.007382,4.429605e-4,-4.429605e-4,-4.742535e-1,-1.066710e0,0,0
80049,450245.00,0.007540,4.524016e-4,-4.524016e-4,-4.699320e-1,-1.066819e0,0,0
80050,450250.00,0.007696,4.617855e-4,-4.617855e-4,-4.785817e-1,-1.059636e0,0,0
80051,450255.00,0.007854,4.712266e-4,-4.712266e-4,-4.810026e-1,-1.059797e0,0,0
80052,450260.00,0.008011,4.806677e-4,-4.806677e-4,-4.968884e-1,-1.062755e0,0,0
80053,450265.00,0.008167,4.900515e-4,-4.900515e-4,-4.752175e-1,-1.059975e0,0,0
80054,450270.00,0.008325,4.994926e-4,-4.994926e-4,-4.843993e-1,-1.062379e0,0,0
80055,450275.00,0.008482,5.089336e-4,-5.089336e-4,-4.443787e-1,-1.062502e0,0,0
80056,450280.00,0.008638,5.183175e-4,-5.183175e-4,-4.411473e-1,-1.062240e0,0,0
80057,450285.00,0.008796,5.277585e-4,-5.277585e-4,-4.792498e-1,-1.064063e0,0,0
80058,450290.00,0.008953,5.371994e-4,-5.371994e-4,-4.657508e-1,-1.064662e0,0,0
80059,450295.00,0.009110,5.466404e-4,-5.466404e-4,-4.827464e-1,-1.060612e0,0,0
80060,450300.00,0.009267,5.560242e-4,-5.560242e-4,-4.346105e-1,-1.063515e0,0,0
80061,450305.00,0.009424,5.654652e-4,-5.654652e-4,-4.204359e-1,-1.060686e0,0,0
80062,450310.00,0.009582,5.749061e-4,-5.749061e-4,-4.366864e-1,-1.062614e0,0,0
80063,450315.00,0.009738,5.842898e-4,-5.842898e-4,-4.890097e-1,-1.059842e0,0,0
80064,450320.00,0.009895,5.937308e-4,-5.937308e-4,-4.674299e-1,-1.064091e0,0,0
80065,450325.00,0.010053,6.031717e-4,-6.031717e-4,-4.840961e-1,-1.059230e0,0,0
80066,450330.00,0.010210,6.126126e-4,-6.126126e-4,-4.342368e-1,-1.061229e0,0,0
80067,450335.00,0.010366,6.219962e-4,-6.219962e-4,-4.335740e-1,-1.063244e0,0,0
80068,450340.00,0.010524,6.314371e-4,-6.314371e-4,-4.342562e-1,-1.057912e0,0,0
80069,450345.00,0.010681,6.408779e-4,-6.408779e-4,-4.312795e-1,-1.058077e0,0,0
