# step=91251 time_fs=506255.00 v_cell=-1.039171e0 applied_i=-5.884712e-2
id,species,x,y,charge,vx,vy
3135,DMC,-200.0264,-100.0217,-0.000000e0,-1.0726e-3,-2.6086e-4
2499,ElectrolyteAnion,-195.5293,-100.0169,-1.000000e0,-4.0695e-4,-5.3430e-5
3275,DMC,-186.4162,-100.0510,-0.000000e0,-3.6230e-4,-5.6428e-4
2,LithiumMetal,-182.4159,-100.0014,-1.000000e0,-3.5446e-4,3.8604e-5
3,LithiumMetal,-179.3759,-100.0017,-1.000000e0,-1.1501e-4,-2.6956e-5
4,LithiumMetal,-176.3362,-100.0017,-1.000000e0,-1.0349e-4,-9.9078e-5
5,LithiumMetal,-173.2965,-100.0017,-1.000000e0,-7.6606e-5,-9.5415e-5
21,LithiumMetal,-170.2565,-100.0014,-1.000000e0,-2.5356e-5,-9.9566e-5
6,LithiumMetal,-166.9565,-100.0013,-1.000000e0,4.6845e-5,-6.0523e-5
7,LithiumMetal,-163.9165,-100.0013,-1.000000e0,5.1742e-5,-1.6457e-4
39,LithiumMetal,-160.8767,-100.0021,-1.000000e0,9.0574e-5,-4.7156e-5
24,LithiumMetal,-157.6516,-100.0009,-1.000000e0,-1.5142e-4,5.3617e-5
8,LithiumMetal,-154.6116,-100.0019,-1.000000e0,6.5756e-5,-1.6670e-4
43,LithiumMetal,-142.4993,-100.0001,-1.000000e0,-1.4066e-6,9.3985e-5
59,LithiumMetal,-136.3877,-100.0001,-1.000000e0,9.4857e-6,4.9106e-5
44,LithiumMetal,-133.3477,-100.0001,-1.000000e0,1.2139e-5,1.0300e-4
12,LithiumMetal,-130.2928,-100.0001,-1.000000e0,-8.0199e-5,1.4237e-4
13,LithiumMetal,-126.5649,-100.0002,-1.000000e0,5.7690e-5,7.8888e-5
29,LithiumMetal,-123.1765,-100.0000,-1.000000e0,-4.1105e-6,1.3218e-4
30,LithiumMetal,-120.1366,-100.0003,-1.000000e0,1.5054e-5,2.8470e-5
14,LithiumMetal,-114.0567,-100.0001,-1.000000e0,2.4081e-5,8.6734e-5
31,LithiumMetal,-111.0168,-100.0002,-1.000000e0,3.1856e-5,1.5063e-4
47,LithiumMetal,-106.2897,-100.0003,-1.000000e0,1.2074e-4,7.5739e-5
15,LithiumMetal,-103.1888,-100.0001,-1.000000e0,1.1076e-5,9.7650e-5
32,LithiumMetal,-97.1088,-100.0002,-1.000000e0,7.7079e-5,1.4883e-4
16,LithiumMetal,-92.9560,-100.0001,-1.000000e0,1.3432e-4,6.5720e-5
