# step=8751 time_fs=93755.00 v_cell=-1.400150e0 applied_i=-3.826835e-2
id,species,x,y,charge,vx,vy
19,LithiumMetal,-189.9162,-100.0004,-1.000000e0,-2.0900e-5,6.1737e-5
7,LithiumMetal,-177.5916,-100.0003,-1.000000e0,-5.2534e-5,7.9300e-6
2741,SEI,-129.8613,-100.0006,0.000000e0,-4.4318e-5,-7.2472e-5
3190,DMC,-62.3903,-100.0000,-0.000000e0,-1.4349e-3,8.0354e-7
65,LithiumIon,-59.3068,-100.0044,1.000000e0,-1.8997e-3,-8.8924e-5
2830,EC,-40.1160,-100.0027,-0.000000e0,-3.9829e-4,-1.3135e-4
3093,EC,-35.0028,-100.0043,-0.000000e0,-1.3718e-3,-1.3278e-4
3667,DMC,-15.3587,-100.0004,-0.000000e0,-2.4536e-3,7.8187e-7
3,LithiumMetal,-198.1953,-100.0000,-1.000000e0,-9.7813e-5,9.3150e-5
4,LithiumMetal,-193.7551,-100.0000,-1.000000e0,-8.9342e-5,1.0334e-4
2,LithiumMetal,-200.0000,-96.5619,-1.000000e0,1.0854e-4,3.2383e-5
3275,DMC,-196.1786,-95.3121,-0.000000e0,-4.8700e-5,7.9806e-5
82,LithiumMetal,-192.5830,-97.1081,-1.000000e0,-5.5887e-5,7.3287e-5
3121,DMC,-188.6735,-96.1782,-0.000000e0,-5.8503e-5,1.0531e-4
3499,DMC,-200.0006,-92.0884,-0.000000e0,-5.1587e-5,7.8556e-5
2499,ElectrolyteAnion,-200.0007,-87.5884,-1.000000e0,-1.4531e-4,1.3447e-4
50,LithiumIon,-197.5335,-88.6931,1.000000e0,5.7425e-5,1.3649e-3
3050,EC,-189.4309,-91.2364,-0.000000e0,9.3700e-4,4.4423e-4
34,LithiumIon,-187.6566,-88.7974,1.000000e0,7.0195e-4,-6.1575e-4
5,LithiumMetal,-186.2295,-100.0000,-1.000000e0,-1.4380e-5,4.9685e-5
6,LithiumMetal,-181.8159,-100.0000,-1.000000e0,-6.2242e-5,6.6318e-5
2889,SEI,-183.6567,-94.6310,0.000000e0,-9.0306e-5,5.7785e-5
2888,SEI,-178.2809,-95.7876,0.000000e0,-7.0371e-5,5.7777e-6
3025,EC,-184.7992,-89.3059,-0.000000e0,-1.0720e-4,7.3012e-5
3443,DMC,-180.0377,-90.8280,-0.000000e0,-1.1546e-4,1.1790e-4
3712,DMC,-199.9995,-82.6488,-0.000000e0,4.5210e-5,-7.6796e-6
3011,EC,-188.4968,-85.9103,-0.000000e0,5.2665e-4,-1.3804e-3
3135,DMC,-197.5436,-76.4190,-0.000000e0,-4.9654e-11,1.9351e-10
3269,DMC,-192.7561,-78.1898,-0.000000e0,-1.9585e-6,-2.2658e-7
3248,DMC,-187.8760,-80.9414,-0.000000e0,3.3862e-5,1.6469e-5
3074,EC,-187.7388,-75.9432,-0.000000e0,-3.2060e-4,3.2212e-5
2814,SEI,-183.5291,-84.2119,0.000000e0,6.3136e-5,5.6472e-5
2613,SEI,-178.2353,-85.7037,0.000000e0,6.0906e-5,-1.5257e-4
98,LithiumMetal,-177.0070,-81.6141,-1.000000e0,-1.6845e-4,-8.2255e-5
2685,SEI,-183.0186,-78.7357,0.000000e0,6.0201e-6,6.4529e-5
3530,DMC,-177.6588,-77.6479,-0.000000e0,-1.1638e-4,-7.6203e-5
35,LithiumMetal,-173.2874,-99.7233,-1.000000e0,-6.6242e-5,-1.2628e-4
20,LithiumMetal,-169.4547,-97.4481,-1.000000e0,-9.4044e-5,-1.3441e-4
8,LithiumMetal,-165.1365,-99.0061,-1.000000e0,-6.3587e-5,-2.0942e-4
2553,SEI,-174.8337,-91.5042,0.000000e0,-1.3688e-4,4.9874e-5
51,LithiumMetal,-170.9598,-89.7144,-1.000000e0,-6.9522e-5,-7.3287e-5
36,LithiumMetal,-168.0158,-93.1271,-1.000000e0,-1.2413e-4,-1.3816e-4
37,LithiumMetal,-164.4271,-92.6279,-1.000000e0,-5.5534e-5,-7.8155e-5
52,LithiumMetal,-167.4192,-89.4436,-1.000000e0,-2.4947e-5,-2.7767e-5
53,LithiumMetal,-164.3274,-89.4075,-0.000000e0,-2.5577e-9,4.9147e-8
21,LithiumMetal,-157.4114,-100.0000,-1.000000e0,-3.2099e-5,2.7914e-4
22,LithiumMetal,-161.4860,-96.7817,-1.000000e0,-8.6766e-5,-1.6047e-4
23,LithiumMetal,-158.2644,-96.5729,-1.000000e0,-6.0645e-5,-1.1489e-4
2083,FoilMetal,-151.9800,-98.4800,-1.000000e0,-2.5620e-9,-2.2343e-8
24,LithiumMetal,-155.1723,-96.1150,-1.000000e0,-3.8113e-5,-1.1956e-4
2085,FoilMetal,-151.9800,-95.4400,-1.000000e0,-1.7512e-9,-3.0814e-9
38,LithiumMetal,-161.3378,-92.4977,-1.000000e0,2.5039e-5,-1.6257e-5
39,LithiumMetal,-158.2827,-92.4581,-0.000000e0,1.3819e-8,2.0738e-7
54,LithiumMetal,-161.2490,-89.3948,-0.000000e0,1.1316e-9,2.3379e-8
55,LithiumMetal,-158.1997,-89.3893,-1.000000e0,-1.5423e-8,6.2039e-9
40,LithiumMetal,-155.2344,-92.4401,-0.000000e0,-3.7622e-5,4.7279e-5
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,8.2279e-12,3.8346e-12
56,LithiumMetal,-155.1403,-89.3945,-1.000000e0,-1.0676e-7,2.2906e-7
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,3.8522e-12,-1.4128e-13
67,LithiumMetal,-171.3777,-86.5677,-1.000000e0,-1.6670e-4,-6.0971e-5
83,LithiumMetal,-170.8623,-83.3388,-1.000000e0,-1.4215e-4,-5.1754e-5
68,LithiumMetal,-167.4363,-86.3425,-1.000000e0,3.1825e-7,4.4450e-7
69,LithiumMetal,-164.3820,-86.3231,-0.000000e0,4.6813e-10,1.8062e-8
84,LithiumMetal,-167.3786,-83.2938,-0.000000e0,-2.3421e-5,-2.0411e-5
85,LithiumMetal,-164.3367,-83.2819,-0.000000e0,2.7394e-5,3.4401e-7
99,LithiumMetal,-170.6372,-80.2528,-1.000000e0,-6.6755e-5,-2.1718e-5
114,LithiumMetal,-173.6398,-77.5889,-1.000000e0,-1.2709e-4,-3.1596e-5
115,LithiumMetal,-170.4577,-77.2106,-1.000000e0,-1.1232e-5,4.5308e-5
100,LithiumMetal,-167.4228,-80.2422,-0.000000e0,6.6460e-8,4.5052e-9
101,LithiumMetal,-164.3670,-80.2410,-0.000000e0,1.0106e-8,-1.3610e-9
116,LithiumMetal,-167.3936,-77.2011,-0.000000e0,3.0818e-9,-6.5125e-10
117,LithiumMetal,-164.3424,-77.1978,-0.000000e0,6.8869e-9,-3.3798e-8
70,LithiumMetal,-161.3131,-86.3250,-1.000000e0,3.0255e-5,-2.9195e-5
71,LithiumMetal,-158.2702,-86.3356,-0.000000e0,-2.6145e-7,4.5205e-8
86,LithiumMetal,-161.2754,-83.2842,-1.000000e0,-3.4711e-7,-2.0374e-7
87,LithiumMetal,-158.2295,-83.2847,-0.000000e0,-6.0973e-9,4.9529e-9
72,LithiumMetal,-155.2212,-86.3489,-0.000000e0,-1.9119e-5,4.3241e-6
