# step=11376 time_fs=106880.00 v_cell=1.157014e0 applied_i=-5.555695e-2
id,species,x,y,charge,vx,vy
35,LithiumMetal,-178.1757,-100.0008,-0.000000e0,1.8479e-7,-2.4924e-7
23,LithiumIon,-164.0101,-100.0000,1.000000e0,2.4740e-4,1.6549e-3
48,LithiumIon,-130.2126,-100.0008,1.000000e0,6.5648e-4,3.6525e-4
31,LithiumIon,-79.6228,-100.0003,1.000000e0,1.8231e-2,1.2460e-3
2830,EC,-71.7341,-100.0018,-0.000000e0,1.5582e-2,-1.1882e-4
3667,DMC,-61.7479,-100.0048,-0.000000e0,1.5474e-2,-2.4002e-4
3,LithiumIon,-200.0000,-100.0000,1.000000e0,7.7017e-3,3.4090e-3
4,LithiumIon,-197.4297,-100.0000,1.000000e0,3.3043e-3,1.8942e-3
3275,DMC,-198.7523,-96.9768,-0.000000e0,1.1334e-3,-1.0398e-3
19,LithiumIon,-193.5966,-100.0000,1.000000e0,6.3913e-3,2.1654e-3
5,LithiumIon,-188.9143,-100.0000,1.000000e0,1.1007e-2,1.4309e-3
3121,DMC,-188.8895,-96.6733,-0.000000e0,-8.4332e-5,4.1811e-4
2,LithiumIon,-200.0000,-92.7542,1.000000e0,2.4018e-3,-1.1167e-3
3499,DMC,-200.0007,-89.5429,-0.000000e0,1.2741e-4,-1.3719e-3
3050,SEI,-191.5376,-92.0482,0.000000e0,-4.2513e-8,-3.9118e-7
67,LithiumIon,-187.9494,-91.6721,1.000000e0,-1.1235e-3,2.6609e-3
6,LithiumMetal,-184.1258,-99.9999,-0.000000e0,-1.4078e-4,1.4779e-5
2889,SEI,-183.7563,-95.5716,0.000000e0,1.4563e-5,3.1274e-6
7,LithiumIon,-181.2294,-100.0000,1.000000e0,-2.6985e-3,4.1456e-3
20,LithiumIon,-175.0079,-100.0000,1.000000e0,-8.3758e-3,1.8681e-4
2888,SEI,-178.0283,-95.7334,0.000000e0,-1.5202e-7,2.7520e-7
3443,DMC,-185.1835,-90.0086,-0.000000e0,2.1700e-4,1.9139e-4
82,LithiumIon,-198.9867,-86.5752,1.000000e0,-5.9328e-4,-1.5064e-3
2499,ElectrolyteAnion,-196.3900,-86.8468,-1.000000e0,-7.5483e-4,9.9764e-4
34,LithiumIon,-193.9533,-85.9614,1.000000e0,-7.5696e-4,-3.9077e-4
3712,DMC,-200.0004,-83.4956,-0.000000e0,1.3955e-5,1.8498e-3
3011,EC,-194.1256,-82.9444,-0.000000e0,-6.4079e-4,-7.1200e-4
3025,EC,-190.9660,-86.8295,-0.000000e0,-9.4871e-4,1.5290e-4
50,LithiumIon,-200.0198,-80.2930,1.000000e0,9.4388e-4,1.5577e-3
3135,DMC,-197.1365,-78.9534,-0.000000e0,1.0172e-3,6.9679e-4
3248,DMC,-189.5328,-80.9688,-0.000000e0,-8.0038e-5,-1.1770e-3
98,LithiumIon,-187.8758,-78.2077,1.000000e0,3.3898e-5,-1.5503e-3
3269,DMC,-192.5478,-76.9678,-0.000000e0,1.4220e-3,1.3376e-4
2814,SEI,-184.8540,-84.6376,0.000000e0,0.0000e0,-0.0000e0
2613,SEI,-178.9003,-85.7559,0.000000e0,0.0000e0,0.0000e0
2685,SEI,-183.1915,-78.3353,0.000000e0,-6.0442e-6,-8.3867e-6
