# step=16001 time_fs=130005.00 v_cell=7.549698e-1 applied_i=-4.000000e-1
id,species,x,y,charge,vx,vy
3121,DMC,-200.0083,-100.0001,-0.000000e0,-1.3724e-4,-1.2980e-4
34,LithiumIon,-196.8555,-100.0013,1.000000e0,9.8353e-4,3.3032e-4
2888,SEI,-188.9063,-100.0094,0.000000e0,1.6310e-4,-1.4955e-4
2,LithiumMetal,-184.2554,-100.0000,-1.000000e0,-6.3236e-5,2.7453e-5
8,LithiumMetal,-154.6146,-100.0000,-1.000000e0,4.8562e-6,3.0008e-5
77,LithiumMetal,-124.8134,-100.0002,-0.000000e0,-5.7226e-5,-2.6482e-5
142,LithiumIon,-118.2609,-100.0346,1.000000e0,-4.3405e-3,-3.0412e-3
32,LithiumIon,-103.7428,-100.0983,1.000000e0,-2.3839e-2,3.3775e-4
144,LithiumIon,-56.8684,-100.0414,1.000000e0,-6.9065e-3,-3.9325e-3
3603,DMC,-38.5660,-100.0014,-0.000000e0,7.2164e-3,-1.2145e-4
3093,EC,-12.2666,-100.0001,-0.000000e0,4.8350e-3,-2.5346e-6
3275,DMC,-194.1439,-99.9856,-0.000000e0,1.7880e-4,2.4507e-5
3499,DMC,-197.2107,-95.8533,-0.000000e0,-7.7921e-4,4.2675e-4
51,LithiumIon,-200.1537,-94.6386,1.000000e0,-1.3887e-3,5.6510e-4
3269,DMC,-199.9977,-91.6825,-0.000000e0,9.1608e-4,4.6091e-5
35,LithiumMetal,-196.3638,-89.9313,-0.000000e0,-1.2910e-5,1.0353e-5
3050,SEI,-193.0618,-92.6385,0.000000e0,-6.5050e-5,-5.3500e-5
3119,DMC,-187.8167,-92.4679,-0.000000e0,-6.3958e-5,-1.3884e-6
99,LithiumMetal,-193.5460,-88.3313,-0.000000e0,-6.3035e-7,-1.7292e-6
84,LithiumMetal,-188.6848,-88.5434,-0.000000e0,-1.0783e-5,1.1136e-5
83,LithiumMetal,-186.7442,-96.3376,-1.000000e0,-7.3134e-5,-4.6478e-6
2553,SEI,-182.4801,-96.1167,0.000000e0,-1.1740e-5,1.3389e-5
3,LithiumMetal,-179.6951,-100.0000,-0.000000e0,1.2549e-7,6.6320e-9
19,LithiumMetal,-176.4088,-100.0000,-1.000000e0,-1.6362e-5,6.4678e-5
52,LithiumMetal,-184.3173,-90.4894,-1.000000e0,-6.8060e-5,2.3101e-5
36,LithiumMetal,-180.4455,-92.3626,-1.000000e0,-3.1267e-5,2.8756e-5
37,LithiumMetal,-176.9584,-92.0510,-1.000000e0,3.3654e-5,-9.6142e-6
3530,DMC,-178.8020,-88.4569,-0.000000e0,-5.1276e-4,-1.5321e-4
2889,SEI,-198.9554,-86.5386,0.000000e0,5.5936e-5,2.2205e-4
50,LithiumIon,-200.0700,-83.5571,1.000000e0,-9.9004e-4,-9.8474e-4
2499,ElectrolyteAnion,-199.9915,-81.5563,-1.000000e0,3.4341e-4,-1.7167e-3
3011,SEI,-192.3085,-84.2452,0.000000e0,4.5163e-6,-6.8257e-6
82,LithiumMetal,-188.6942,-81.9719,-0.000000e0,1.9413e-6,-9.3724e-7
18,LithiumIon,-198.7862,-79.5280,1.000000e0,2.4958e-4,-2.7163e-3
2880,SEI,-195.4254,-79.7142,0.000000e0,2.9884e-5,7.1340e-6
3135,DMC,-199.8574,-76.5510,-0.000000e0,1.4468e-3,-2.6169e-3
3248,DMC,-190.3656,-78.3160,-0.000000e0,2.0417e-5,7.2939e-6
2613,SEI,-185.0612,-86.2850,0.000000e0,-2.3087e-5,3.5532e-5
67,LithiumMetal,-183.9567,-82.1603,-0.000000e0,-1.4079e-5,3.5555e-5
68,LithiumMetal,-176.4206,-84.9522,-1.000000e0,-2.2741e-5,-7.0425e-7
3443,DMC,-180.2287,-83.6645,-0.000000e0,-2.9383e-5,-8.4113e-6
146,LithiumMetal,-184.6530,-77.5768,-0.000000e0,0.0000e0,0.0000e0
115,LithiumMetal,-179.9202,-79.6563,-0.000000e0,1.8180e-7,1.3220e-7
131,LithiumMetal,-177.4614,-77.8684,-0.000000e0,-3.4213e-6,3.5440e-6
4,LithiumMetal,-173.3686,-100.0000,-0.000000e0,-1.9342e-7,7.4409e-8
5,LithiumMetal,-169.4811,-99.9703,-1.000000e0,-5.6272e-6,-5.4316e-5
20,LithiumMetal,-174.0625,-96.4858,-0.000000e0,1.4627e-8,-7.4077e-8
21,LithiumMetal,-169.0354,-95.7503,-0.000000e0,1.2313e-21,-6.2658e-21
6,LithiumMetal,-162.7686,-100.0000,-1.000000e0,-5.3784e-6,4.2436e-5
22,LithiumMetal,-165.2488,-98.2396,-0.000000e0,2.7047e-7,4.9972e-8
38,LithiumMetal,-163.8908,-95.4577,-0.000000e0,-1.7095e-8,-6.9437e-8
53,LithiumMetal,-173.4836,-91.8115,-0.000000e0,-9.1060e-8,-6.2750e-9
69,LithiumMetal,-169.0422,-90.8038,-1.000000e0,-1.0237e-5,-2.5652e-5
54,LithiumMetal,-164.8585,-92.5740,-0.000000e0,1.0107e-7,-1.3005e-8
70,LithiumMetal,-164.4013,-89.5162,-0.000000e0,-2.4960e-8,-1.2501e-7
7,LithiumMetal,-159.6974,-100.0000,-0.000000e0,-1.1536e-7,2.7587e-7
23,LithiumMetal,-161.3259,-97.3036,-0.000000e0,3.4031e-8,-1.2814e-7
24,LithiumMetal,-157.1553,-98.3308,-0.000000e0,-3.0524e-5,2.0183e-5
39,LithiumMetal,-158.7178,-95.7119,-0.000000e0,-9.1287e-8,-9.2947e-8
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,-1.6960e-12,1.1651e-11
40,LithiumMetal,-154.9003,-96.2882,-0.000000e0,2.2779e-8,-5.2538e-8
2085,FoilMetal,-151.9800,-95.4400,-1.000000e0,7.1498e-13,-4.7776e-12
55,LithiumMetal,-160.1800,-93.0064,-0.000000e0,1.0446e-7,-1.0217e-7
71,LithiumMetal,-159.9519,-89.4723,-1.000000e0,2.1337e-5,-2.5815e-5
56,LithiumMetal,-155.8913,-93.1437,-0.000000e0,5.9854e-10,-9.6157e-8
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,1.6123e-11,-5.2349e-13
72,LithiumMetal,-156.0257,-89.4602,-0.000000e0,3.9966e-8,-3.4205e-7
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,1.7163e-11,-5.6634e-17
100,LithiumMetal,-172.4467,-84.7431,-0.000000e0,4.0423e-8,-1.9427e-8
85,LithiumMetal,-168.9626,-86.4174,-0.000000e0,-2.7881e-8,9.0579e-8
86,LithiumMetal,-164.1678,-85.9347,-1.000000e0,-2.0240e-6,-4.3007e-7
101,LithiumMetal,-168.3368,-82.8669,-0.000000e0,7.5616e-6,-8.3287e-6
102,LithiumMetal,-163.9014,-82.5115,-0.000000e0,-1.8314e-9,-2.9884e-8
2685,SEI,-174.6384,-81.0720,0.000000e0,-1.2250e-5,-4.5057e-6
116,LithiumMetal,-170.3917,-80.6266,-1.000000e0,-1.0508e-5,-1.7925e-5
132,LithiumMetal,-172.9467,-76.8688,-1.000000e0,-7.1277e-5,1.3353e-5
117,LithiumMetal,-167.8847,-78.9065,-0.000000e0,-1.9003e-7,1.9575e-8
118,LithiumMetal,-163.5956,-78.9071,-1.000000e0,1.5493e-5,4.8592e-6
133,LithiumMetal,-167.9886,-75.6634,-0.000000e0,1.1582e-8,-4.3710e-8
134,LithiumMetal,-163.3449,-75.4746,-0.000000e0,3.6212e-8,1.3100e-8
87,LithiumMetal,-159.7810,-85.8555,-0.000000e0,-2.1294e-7,-5.9685e-8
103,LithiumMetal,-159.7924,-82.2372,-0.000000e0,5.4258e-8,3.3378e-8
88,LithiumMetal,-155.8993,-85.6934,-0.000000e0,-4.6218e-8,2.2421e-8
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,1.7163e-11,1.5764e-17
104,LithiumMetal,-155.9523,-82.1259,-0.000000e0,-4.2035e-8,3.3112e-9
2093,FoilMetal,-151.9800,-83.2800,-1.000000e0,1.7163e-11,4.3073e-17
119,LithiumMetal,-159.5505,-78.8233,-0.000000e0,-1.4813e-8,5.6455e-8
135,LithiumMetal,-159.4231,-75.3217,-0.000000e0,2.1394e-8,3.5521e-8
120,LithiumMetal,-155.7984,-78.5924,-0.000000e0,-5.5940e-8,2.2044e-8
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,1.7164e-11,4.3075e-17
136,LithiumMetal,-155.7397,-75.1938,-0.000000e0,-1.9759e-8,3.1673e-8
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,1.7163e-11,0.0000e0
