# step=17126 time_fs=135630.00 v_cell=-2.185743e0 applied_i=7.803612e-2
id,species,x,y,charge,vx,vy
2888,SEI,-188.4942,-100.0176,0.000000e0,-1.7779e-4,-1.2414e-4
3,LithiumMetal,-180.0246,-100.0022,-1.000000e0,-1.2945e-4,-2.9919e-5
6,LithiumMetal,-163.2301,-100.0003,-1.000000e0,-1.4750e-4,1.6803e-4
7,LithiumMetal,-160.1902,-100.0016,-1.000000e0,-1.4145e-4,-7.8762e-5
8,LithiumMetal,-154.6109,-100.0031,-1.000000e0,-1.0712e-4,-2.6733e-4
77,LithiumMetal,-125.2224,-100.0004,-1.000000e0,6.5336e-5,5.1886e-5
142,LithiumMetal,-117.8620,-100.0003,-1.000000e0,1.4560e-4,8.5766e-5
3531,DMC,-113.8430,-100.0009,-0.000000e0,1.1559e-4,-4.8682e-5
3700,DMC,-103.2244,-100.0007,-0.000000e0,7.0195e-6,-2.2037e-5
3121,DMC,-199.5494,-99.9958,-0.000000e0,1.1965e-7,3.6774e-8
3275,DMC,-194.2386,-98.1086,-0.000000e0,-2.1054e-6,-1.6617e-5
3499,DMC,-197.6313,-94.2785,-0.000000e0,-8.6684e-4,2.0633e-3
34,LithiumMetal,-190.4713,-96.2339,-0.000000e0,1.5367e-5,-2.1932e-5
51,LithiumIon,-200.1174,-92.3315,1.000000e0,-4.8704e-3,1.1808e-3
3269,DMC,-200.0250,-89.7197,-0.000000e0,-3.1949e-4,2.2500e-6
35,LithiumMetal,-196.0087,-89.9171,-0.000000e0,-9.4186e-5,2.1537e-5
3050,SEI,-192.6664,-92.5749,0.000000e0,-1.3956e-4,-9.1152e-5
99,LithiumMetal,-193.3931,-88.3693,-0.000000e0,-4.1329e-5,-7.5217e-5
84,LithiumMetal,-188.6121,-89.0626,-1.000000e0,-2.0338e-4,-1.4721e-4
2,LithiumMetal,-184.2244,-100.0000,-1.000000e0,-1.4441e-4,1.6141e-4
83,LithiumMetal,-185.9030,-96.6160,-0.000000e0,-7.4319e-5,-8.8479e-5
2553,SEI,-181.6720,-96.0718,0.000000e0,-8.2743e-5,-2.2567e-5
19,LithiumMetal,-176.9852,-100.0000,-1.000000e0,-1.2975e-4,2.4283e-4
3119,DMC,-187.4424,-92.9088,-0.000000e0,-1.3185e-4,-9.9152e-5
52,LithiumMetal,-184.2429,-90.4751,-1.000000e0,-1.2744e-4,-1.1766e-4
36,LithiumMetal,-181.1964,-91.8357,-1.000000e0,-2.2194e-4,-4.6752e-6
37,LithiumMetal,-177.6892,-92.4112,-1.000000e0,-1.8154e-4,-1.2521e-4
3530,DMC,-179.1730,-88.3678,-0.000000e0,-1.2426e-4,-6.2297e-5
2889,SEI,-197.6511,-85.0540,0.000000e0,8.2393e-5,-2.0682e-4
50,LithiumMetal,-194.0215,-82.8178,-0.000000e0,-1.5030e-5,-4.7845e-5
3011,SEI,-190.5050,-85.2369,0.000000e0,-2.7975e-5,-7.9911e-5
82,LithiumMetal,-188.5936,-81.4275,-1.000000e0,-1.8010e-4,3.5823e-6
2499,ElectrolyteAnion,-200.0017,-80.9264,-1.000000e0,2.4779e-4,-7.3841e-5
3135,DMC,-200.0042,-75.1264,-0.000000e0,-8.1434e-5,-6.8891e-6
18,LithiumMetal,-196.2950,-76.6706,-0.000000e0,-8.4535e-5,-8.6806e-6
2880,SEI,-192.5982,-78.7993,0.000000e0,-9.3708e-5,-5.2052e-5
3248,DMC,-187.5064,-77.5582,-0.000000e0,-1.1004e-4,5.1568e-6
2613,SEI,-185.1152,-86.2982,0.000000e0,-6.4540e-5,-1.2334e-4
67,LithiumMetal,-184.6024,-82.0592,-1.000000e0,-1.8359e-4,-1.0582e-4
68,LithiumMetal,-176.8902,-85.0632,-1.000000e0,-1.0515e-4,-6.8280e-5
3443,DMC,-180.6269,-83.5845,-0.000000e0,-9.4086e-5,-5.6226e-5
146,LithiumMetal,-183.4913,-77.6159,-1.000000e0,-1.0333e-4,-9.4179e-5
115,LithiumMetal,-180.7271,-79.5681,-1.000000e0,-1.8025e-4,-5.2623e-5
2685,SEI,-175.3625,-81.0762,0.000000e0,-1.7867e-4,-2.9797e-5
131,LithiumMetal,-178.0729,-77.7766,-1.000000e0,-1.8167e-4,-2.0440e-5
4,LithiumMetal,-173.7387,-100.0000,-1.000000e0,-9.5308e-5,3.0218e-4
5,LithiumMetal,-169.8719,-100.0000,-1.000000e0,-1.0099e-4,3.2738e-4
20,LithiumMetal,-174.4632,-96.8091,-1.000000e0,-1.5757e-4,-1.3172e-4
21,LithiumMetal,-169.6587,-96.3512,-1.000000e0,-1.3829e-4,-1.6344e-4
22,LithiumMetal,-166.1978,-99.3414,-1.000000e0,-2.5355e-4,-3.0222e-4
38,LithiumMetal,-164.4339,-96.0204,-1.000000e0,-3.3615e-4,-9.9678e-5
53,LithiumMetal,-174.0561,-92.1868,-1.000000e0,-1.5251e-4,-1.1420e-4
69,LithiumMetal,-169.6924,-91.2601,-1.000000e0,-1.6687e-4,-1.4907e-4
54,LithiumMetal,-165.4071,-93.0193,-1.000000e0,-1.4527e-4,-1.5861e-4
