# step=19001 time_fs=145005.00 v_cell=1.704802e0 applied_i=4.784166e-7
id,species,x,y,charge,vx,vy
3121,DMC,-200.0019,-100.0029,-0.000000e0,-2.3075e-5,1.4022e-5
3275,DMC,-194.6768,-100.0036,-0.000000e0,-5.7233e-6,-2.7488e-4
2,LithiumIon,-185.9457,-100.0001,1.000000e0,-7.0978e-4,1.7404e-3
6,LithiumMetal,-163.7565,-100.0000,-0.000000e0,2.2305e-7,-3.7855e-7
3531,DMC,-112.8799,-100.0014,-0.000000e0,1.8350e-5,1.1121e-6
3612,DMC,-107.8799,-100.0012,-0.000000e0,2.0751e-5,-1.5177e-5
3700,DMC,-102.3981,-100.0063,-0.000000e0,5.9971e-4,-3.6023e-5
27,LithiumIon,-88.8172,-100.0269,1.000000e0,8.1442e-4,1.9958e-4
3177,DMC,-16.4208,-100.0048,-0.000000e0,1.5518e-3,7.8367e-4
34,LithiumIon,-194.4487,-96.8900,1.000000e0,-2.2282e-3,-1.5586e-3
3499,DMC,-197.3455,-95.7727,-0.000000e0,-1.0255e-4,5.3505e-5
2888,SEI,-189.3975,-100.0000,0.000000e0,-2.4974e-4,5.8423e-7
83,LithiumIon,-190.4088,-95.9406,1.000000e0,3.5569e-3,2.0877e-3
51,LithiumMetal,-200.0009,-92.7577,-0.000000e0,-9.2677e-5,7.9752e-5
3269,DMC,-200.0008,-88.7385,-0.000000e0,-9.9409e-5,7.0603e-5
35,LithiumIon,-196.1123,-90.1332,1.000000e0,-1.9802e-3,-8.1902e-3
3050,SEI,-192.7101,-93.3084,0.000000e0,2.6778e-5,-1.1716e-5
84,LithiumMetal,-192.0464,-89.0920,-0.000000e0,-5.8123e-6,-9.0124e-6
52,LithiumMetal,-187.9703,-89.9697,-0.000000e0,2.6859e-18,4.9617e-17
3119,DMC,-187.4223,-93.9809,-0.000000e0,-3.2228e-4,-1.0104e-4
2553,SEI,-181.7973,-95.9423,0.000000e0,0.0000e0,0.0000e0
3,LithiumIon,-179.7541,-100.0000,1.000000e0,-2.1350e-3,9.9931e-4
19,LithiumMetal,-177.4244,-99.9998,-0.000000e0,4.6395e-8,6.1786e-8
20,LithiumMetal,-175.2808,-97.1451,-0.000000e0,-3.9132e-8,-5.6730e-8
36,LithiumMetal,-183.2874,-90.4113,-0.000000e0,2.5656e-5,-5.3753e-5
37,LithiumMetal,-178.3897,-92.9229,-0.000000e0,0.0000e0,0.0000e0
3530,DMC,-179.8179,-88.0710,-0.000000e0,-8.3514e-5,3.1591e-4
99,LithiumIon,-197.5264,-86.7167,1.000000e0,-2.0054e-3,9.6667e-4
2889,SEI,-198.8012,-83.6268,0.000000e0,-7.3489e-5,1.2770e-4
3011,SEI,-190.3443,-85.1961,0.000000e0,-4.2625e-5,1.2249e-6
50,LithiumMetal,-193.6625,-82.5738,-0.000000e0,-4.0023e-5,2.0701e-5
2499,ElectrolyteAnion,-200.0004,-79.0333,-1.000000e0,-8.6641e-5,1.2593e-4
18,LithiumMetal,-196.7595,-76.8875,-0.000000e0,-6.9490e-6,2.6615e-6
2880,SEI,-192.7796,-78.4070,0.000000e0,-2.6929e-6,1.1153e-5
82,LithiumMetal,-189.1577,-81.0323,-0.000000e0,1.9376e-7,-1.1382e-7
3248,DMC,-187.7124,-77.1215,-0.000000e0,3.4247e-6,-1.0211e-5
2613,SEI,-185.1210,-86.6182,0.000000e0,-8.8937e-5,-1.3181e-4
67,LithiumMetal,-186.5362,-82.5722,-1.000000e0,1.0913e-5,-1.4014e-5
3443,DMC,-182.1843,-82.3866,-0.000000e0,-4.7674e-4,1.5233e-4
100,LithiumMetal,-175.9250,-87.0683,-0.000000e0,2.6305e-6,6.7775e-7
68,LithiumMetal,-179.0176,-82.7617,-0.000000e0,2.4517e-3,2.3016e-2
146,LithiumMetal,-183.8494,-78.1981,-0.000000e0,6.2353e-6,-2.0841e-6
115,LithiumIon,-180.8484,-78.6781,1.000000e0,1.6906e-5,-2.1478e-6
2685,SEI,-175.4389,-80.6301,0.000000e0,3.9209e-7,-1.4045e-5
131,LithiumMetal,-178.1346,-77.3187,-0.000000e0,1.7802e-5,-8.1736e-9
4,LithiumIon,-174.0813,-100.0000,1.000000e0,5.3158e-3,7.5027e-4
5,LithiumMetal,-169.8066,-99.9999,-0.000000e0,-3.2634e-8,1.9085e-7
21,LithiumMetal,-170.3310,-96.9335,-0.000000e0,3.2634e-8,-1.9085e-7
22,LithiumIon,-166.3983,-100.0000,1.000000e0,8.7064e-3,2.9051e-4
38,LithiumMetal,-165.3494,-96.8991,-0.000000e0,1.9348e-7,3.4748e-8
53,LithiumMetal,-173.3547,-91.2086,-0.000000e0,2.0579e-7,-5.5632e-8
69,LithiumMetal,-170.3957,-92.0085,-0.000000e0,-2.0172e-7,1.1050e-7
85,LithiumMetal,-170.1182,-88.2667,-0.000000e0,-4.0688e-9,-5.4865e-8
54,LithiumMetal,-166.0900,-93.7398,-0.000000e0,5.6898e-8,-2.9256e-8
70,LithiumMetal,-165.4119,-90.4474,-0.000000e0,-1.5472e-8,-3.0660e-8
7,LithiumMetal,-160.6973,-100.0000,-0.000000e0,-4.8262e-8,2.7055e-7
23,LithiumMetal,-162.2566,-97.3558,-0.000000e0,2.7201e-8,-1.7159e-7
24,LithiumMetal,-157.6541,-100.0000,-0.000000e0,-5.9298e-8,1.3547e-7
39,LithiumMetal,-158.9745,-97.0417,-0.000000e0,-1.5719e-7,-1.7975e-7
55,LithiumMetal,-160.8695,-93.9243,-0.000000e0,2.1120e-8,-2.8666e-8
8,LithiumMetal,-154.6133,-100.0000,-0.000000e0,-6.1336e-7,1.1576e-6
40,LithiumMetal,-154.9269,-96.9744,1.000000e0,-3.8153e-5,-5.3589e-5
2083,FoilMetal,-151.9800,-98.4800,1.000000e0,2.5747e-9,-5.2919e-9
56,LithiumMetal,-156.0761,-94.1506,1.000000e0,-4.9761e-5,7.9902e-5
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,4.4799e-12,-2.9873e-12
71,LithiumMetal,-160.4904,-90.4233,-0.000000e0,-5.5032e-9,-1.3955e-8
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,1.7160e-11,2.0195e-15
72,LithiumMetal,-156.2299,-90.4554,-0.000000e0,4.0657e-9,-1.0177e-8
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,2.5798e-10,1.7952e-10
101,LithiumMetal,-169.3195,-83.8231,-0.000000e0,-5.2890e-8,8.2481e-8
86,LithiumMetal,-165.0759,-86.9331,-0.000000e0,-7.0483e-10,-1.1175e-8
102,LithiumMetal,-164.7147,-83.3452,-0.000000e0,-1.8626e-9,-1.3659e-8
116,LithiumMetal,-171.1799,-80.9216,-0.000000e0,1.7433e-6,-8.7640e-7
132,LithiumMetal,-173.8879,-76.4418,-0.000000e0,0.0000e0,-0.0000e0
133,LithiumMetal,-169.3638,-76.1448,-0.000000e0,4.6744e-8,-3.2288e-8
117,LithiumMetal,-168.5790,-79.3479,-0.000000e0,9.7396e-7,7.3626e-7
118,LithiumMetal,-164.3729,-79.6412,-0.000000e0,-5.1241e-10,1.9681e-8
134,LithiumMetal,-164.1510,-76.0828,-0.000000e0,-4.1122e-9,1.2457e-8
87,LithiumMetal,-160.3038,-86.8092,-0.000000e0,-4.3303e-9,-9.5445e-9
103,LithiumMetal,-160.3474,-83.0969,-0.000000e0,-3.6864e-8,1.6356e-7
88,LithiumMetal,-156.1140,-86.6575,-0.000000e0,-2.4855e-9,6.1153e-9
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,1.7163e-11,2.9725e-18
104,LithiumMetal,-156.1765,-82.9212,-0.000000e0,4.0183e-9,1.5158e-8
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,1.7163e-11,4.0538e-21
119,LithiumMetal,-160.0027,-79.5691,-0.000000e0,1.8540e-7,6.6249e-6
135,LithiumMetal,-159.9668,-75.9668,-0.000000e0,4.0690e-8,3.1044e-8
120,LithiumMetal,-156.0221,-79.3157,1.000000e0,-3.0228e-9,2.0768e-8
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,1.7164e-11,-2.1088e-23
136,LithiumMetal,-156.0202,-75.8392,-0.000000e0,-3.5961e-8,1.0570e-8
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,1.7163e-11,4.2404e-17
