step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25317,176585.00,6.282959,-4.513423e-7,4.513423e-7,1.445895e-1,6.330045e-2,1,1
25318,176590.00,0.000270,5.404790e-7,-5.404790e-7,9.510103e-2,6.305677e-2,0,0
25319,176595.00,0.000767,1.534208e-6,-1.534208e-6,1.465827e-1,6.823200e-2,0,0
25320,176600.00,0.001263,2.526029e-6,-2.526029e-6,8.030040e-2,7.831325e-2,0,0
25321,176605.00,0.001760,3.519756e-6,-3.519756e-6,7.323787e-2,7.357884e-2,0,0
25322,176610.00,0.002255,4.511575e-6,-4.511575e-6,6.655741e-2,6.220889e-2,0,0
25323,176615.00,0.002752,5.505301e-6,-5.505301e-6,6.822551e-2,7.359682e-2,0,0
25324,176620.00,0.003248,6.497118e-6,-6.497118e-6,6.546439e-2,6.990653e-2,0,0
25325,176625.00,0.003745,7.490840e-6,-7.490840e-6,6.405883e-2,6.527594e-2,0,0
25326,176630.00,0.004241,8.482654e-6,-8.482654e-6,6.386216e-2,6.637941e-2,0,0
25327,176635.00,0.004738,9.476373e-6,-9.476373e-6,6.503078e-2,7.057138e-2,0,0
25328,176640.00,0.005234,1.046818e-5,-1.046818e-5,6.247921e-2,6.615054e-2,0,0
25329,176645.00,0.005731,1.146190e-5,-1.146190e-5,6.211288e-2,6.905830e-2,0,0
25330,176650.00,0.006227,1.245370e-5,-1.245370e-5,5.998034e-2,6.564953e-2,0,0
25331,176655.00,0.006722,1.344550e-5,-1.344550e-5,5.985648e-2,6.545284e-2,0,0
25332,176660.00,0.007219,1.443920e-5,-1.443920e-5,6.097423e-2,7.433482e-2,0,0
25333,176665.00,0.007715,1.543100e-5,-1.543100e-5,6.179576e-2,6.489293e-2,0,0
25334,176670.00,0.008212,1.642469e-5,-1.642469e-5,6.274936e-2,6.911843e-2,0,0
25335,176675.00,0.008708,1.741648e-5,-1.741648e-5,6.247283e-2,6.994666e-2,0,0
25336,176680.00,0.009205,1.841017e-5,-1.841017e-5,6.435084e-2,6.594320e-2,0,0
25337,176685.00,0.009701,1.940195e-5,-1.940195e-5,6.782936e-2,7.206457e-2,0,0
25338,176690.00,0.010198,2.039563e-5,-2.039563e-5,7.234752e-2,7.614525e-2,0,0
25339,176695.00,0.010694,2.138739e-5,-2.138739e-5,9.578817e-2,7.266317e-2,0,0
25340,176700.00,0.011190,2.238106e-5,-2.238106e-5,9.510303e-2,6.340210e-2,0,0
25341,176705.00,0.011686,2.337282e-5,-2.337282e-5,1.450467e-1,7.023071e-2,0,0
25342,176710.00,0.012183,2.436648e-5,-2.436648e-5,9.478228e-2,7.360457e-2,0,0
25343,176715.00,0.012679,2.535822e-5,-2.535822e-5,7.970241e-2,7.435868e-2,0,0
25344,176720.00,0.013176,2.635187e-5,-2.635187e-5,6.800763e-2,7.591993e-2,0,0
25345,176725.00,0.013672,2.734360e-5,-2.734360e-5,6.666376e-2,7.002191e-2,0,0
25346,176730.00,0.014169,2.833723e-5,-2.833723e-5,6.395158e-2,6.944602e-2,0,0
25347,176735.00,0.014665,2.932895e-5,-2.932895e-5,6.419879e-2,7.180799e-2,0,0
25348,176740.00,0.015162,3.032257e-5,-3.032257e-5,6.374407e-2,6.271242e-2,0,0
25349,176745.00,0.015657,3.131427e-5,-3.131427e-5,6.156245e-2,6.092168e-2,0,0
25350,176750.00,0.016154,3.230787e-5,-3.230787e-5,6.078394e-2,7.254907e-2,0,0
25351,176755.00,0.016650,3.329956e-5,-3.329956e-5,6.050287e-2,6.685366e-2,0,0
25352,176760.00,0.017147,3.429315e-5,-3.429315e-5,5.989838e-2,6.961016e-2,0,0
25353,176765.00,0.017643,3.528482e-5,-3.528482e-5,5.955758e-2,6.317678e-2,0,0
25354,176770.00,0.018140,3.627839e-5,-3.627839e-5,6.095705e-2,6.312374e-2,0,0
25355,176775.00,0.018636,3.727005e-5,-3.727005e-5,6.213716e-2,6.195066e-2,0,0
25356,176780.00,0.019133,3.826360e-5,-3.826360e-5,6.301249e-2,6.547715e-2,0,0
