# step=27687 time_fs=188435.00 v_cell=1.008278e-2 applied_i=-1.846284e-3
id,species,x,y,charge,vx,vy
2885,EC,-72.5056,-100.0234,-0.000000e0,1.6478e-3,6.9644e-5
2818,EC,-44.3031,-100.0046,-0.000000e0,3.1199e-3,-7.1817e-4
3121,DMC,-193.5983,-94.0282,-0.000000e0,7.2306e-5,-1.3443e-4
3543,DMC,-179.5906,-99.1053,-0.000000e0,-1.4038e-4,1.7109e-4
3248,DMC,-183.5788,-91.3611,-0.000000e0,2.4202e-4,-1.6296e-4
3135,DMC,-177.3307,-93.7424,-0.000000e0,-7.7318e-6,8.6928e-5
2613,EC,-180.1728,-87.6989,-0.000000e0,-7.0174e-4,8.2435e-4
2888,EC,-185.0450,-86.5410,-0.000000e0,2.0630e-3,1.8305e-4
2,LithiumIon,-182.2343,-85.3904,1.000000e0,1.8426e-4,1.6327e-4
3050,EC,-185.6899,-81.5718,-0.000000e0,-9.5899e-5,-1.8860e-4
2499,ElectrolyteAnion,-176.7904,-84.7107,-1.000000e0,-8.6417e-5,-7.6864e-4
3011,EC,-180.8186,-82.7043,-0.000000e0,-2.6966e-4,-1.0316e-3
3499,DMC,-174.5798,-99.4009,-0.000000e0,-1.3984e-4,5.2018e-5
3,LithiumMetal,-170.4787,-98.5735,-0.000000e0,2.0718e-7,1.9093e-7
18,LithiumMetal,-173.5523,-95.5091,-0.000000e0,2.0569e-7,2.2545e-7
19,LithiumMetal,-170.4644,-95.4550,-0.000000e0,8.8371e-9,2.9413e-8
4,LithiumMetal,-167.3979,-98.5686,-0.000000e0,1.7847e-8,1.9845e-7
5,LithiumMetal,-164.3566,-98.5210,-0.000000e0,9.1358e-10,2.0537e-7
20,LithiumMetal,-167.3956,-95.4617,-0.000000e0,1.2372e-8,3.0433e-8
21,LithiumMetal,-164.3547,-95.4447,-0.000000e0,-1.9791e-10,1.3529e-8
34,LithiumMetal,-173.5153,-92.4631,-0.000000e0,2.1128e-7,5.8765e-9
35,LithiumMetal,-170.4485,-92.4134,-0.000000e0,8.5391e-9,-3.7554e-9
50,LithiumMetal,-173.4919,-89.4222,-0.000000e0,2.1186e-7,3.7320e-9
51,LithiumMetal,-170.4351,-89.3734,-0.000000e0,6.0100e-9,-3.7148e-9
36,LithiumMetal,-167.4003,-92.4199,-0.000000e0,4.4872e-9,2.4740e-9
37,LithiumMetal,-164.3600,-92.4007,-0.000000e0,6.6276e-10,3.3988e-10
52,LithiumMetal,-167.3941,-89.3794,-0.000000e0,-8.9458e-10,1.9841e-9
53,LithiumMetal,-164.3528,-89.3605,-0.000000e0,-1.8661e-10,-1.6760e-9
6,LithiumMetal,-161.3165,-98.5127,-0.000000e0,-2.3678e-9,2.1033e-7
7,LithiumMetal,-158.2711,-98.5191,-0.000000e0,2.3309e-9,2.1057e-7
22,LithiumMetal,-161.3145,-95.4435,-0.000000e0,-6.6400e-10,1.2008e-8
23,LithiumMetal,-158.2739,-95.4457,-0.000000e0,1.9716e-11,1.5786e-8
8,LithiumMetal,-155.2311,-98.5116,-0.000000e0,-8.0102e-8,2.1156e-7
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,6.1036e-12,1.7056e-11
24,LithiumMetal,-155.2337,-95.4409,-0.000000e0,-8.0793e-8,1.3351e-8
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,6.1589e-12,-2.6117e-15
38,LithiumMetal,-161.3190,-92.4011,-0.000000e0,8.4569e-10,6.3945e-10
39,LithiumMetal,-158.2791,-92.4057,-0.000000e0,1.1064e-9,7.3726e-10
54,LithiumMetal,-161.3127,-89.3606,-0.000000e0,-7.0050e-10,-1.7101e-10
55,LithiumMetal,-158.2727,-89.3656,-0.000000e0,-1.2755e-9,7.7204e-10
40,LithiumMetal,-155.2388,-92.3999,-0.000000e0,-8.1112e-8,-2.2170e-12
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,6.2710e-12,3.0647e-16
56,LithiumMetal,-155.2316,-89.3599,-0.000000e0,-8.0356e-8,-5.5183e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,6.1095e-12,4.4139e-16
66,LithiumMetal,-173.5352,-86.3820,-0.000000e0,2.0462e-7,3.3427e-9
67,LithiumMetal,-170.4431,-86.3334,-0.000000e0,2.2452e-8,-3.5765e-9
82,LithiumMetal,-173.5332,-83.3419,-0.000000e0,2.0197e-7,3.0742e-9
83,LithiumMetal,-170.4308,-83.2934,-0.000000e0,2.6161e-8,-3.5800e-9
68,LithiumMetal,-167.3976,-86.3392,-0.000000e0,3.1379e-9,1.8773e-9
69,LithiumMetal,-164.3564,-86.3197,-0.000000e0,1.7314e-9,-1.1219e-9
84,LithiumMetal,-167.3857,-83.2992,-0.000000e0,2.2842e-9,1.9360e-9
85,LithiumMetal,-164.3440,-83.2797,-0.000000e0,1.1805e-9,-1.4893e-9
98,LithiumMetal,-173.4636,-80.3027,-0.000000e0,2.1530e-7,1.5183e-9
99,LithiumMetal,-170.4088,-80.2535,-0.000000e0,5.2574e-9,-3.4152e-9
114,LithiumMetal,-173.4261,-77.2587,-0.000000e0,2.1750e-7,5.0693e-9
115,LithiumMetal,-170.3821,-77.2136,-0.000000e0,-4.1088e-9,-3.7801e-9
100,LithiumMetal,-167.3641,-80.2593,-0.000000e0,2.2287e-9,1.8010e-9
101,LithiumMetal,-164.3235,-80.2398,-0.000000e0,4.7586e-10,-1.5114e-9
116,LithiumMetal,-167.3381,-77.2194,-0.000000e0,-2.5839e-9,1.8831e-9
117,LithiumMetal,-164.2981,-77.1998,-0.000000e0,-4.3092e-9,-1.4880e-9
70,LithiumMetal,-161.3163,-86.3206,-0.000000e0,1.2613e-9,-3.7197e-10
71,LithiumMetal,-158.2763,-86.3255,-0.000000e0,1.1523e-9,8.5710e-10
86,LithiumMetal,-161.3034,-83.2804,-0.000000e0,7.5148e-10,-2.5121e-10
87,LithiumMetal,-158.2634,-83.2855,-0.000000e0,5.4065e-10,7.9374e-10
72,LithiumMetal,-155.2361,-86.3196,-0.000000e0,-8.0031e-8,-3.1162e-10
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,6.2122e-12,1.3365e-15
88,LithiumMetal,-155.2233,-83.2796,-0.000000e0,-7.7063e-8,-4.5747e-10
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,5.9227e-12,1.6229e-15
102,LithiumMetal,-161.2835,-80.2404,-0.000000e0,6.2144e-10,-3.2427e-10
103,LithiumMetal,-158.2435,-80.2455,-0.000000e0,3.9995e-10,8.1642e-10
118,LithiumMetal,-161.2580,-77.2005,-0.000000e0,-4.3204e-9,-3.3305e-10
119,LithiumMetal,-158.2180,-77.2056,-0.000000e0,-4.4570e-9,7.9588e-10
104,LithiumMetal,-155.2035,-80.2396,-0.000000e0,-7.1026e-8,-4.5966e-10
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,5.4562e-12,1.3460e-15
120,LithiumMetal,-155.1778,-77.1997,-0.000000e0,-6.7371e-8,-4.4145e-10
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,4.8207e-12,1.5325e-16
2889,SEI,-177.5366,-69.8652,0.000000e0,0.0000e0,0.0000e0
3074,EC,-177.2424,-63.5273,-0.000000e0,-1.7540e-4,2.2736e-4
2553,EC,-194.6245,-60.3986,-0.000000e0,-2.0994e-5,1.5506e-3
3275,DMC,-198.5935,-52.2167,-0.000000e0,-4.9588e-4,2.3717e-3
3530,DMC,-177.4706,-58.4440,-0.000000e0,6.2198e-6,-3.1120e-5
3563,DMC,-177.5022,-53.4137,-0.000000e0,5.8581e-7,-3.6069e-5
130,LithiumMetal,-173.4601,-74.2183,-0.000000e0,2.2305e-7,3.2908e-9
131,LithiumMetal,-170.4135,-74.1737,-0.000000e0,3.9198e-9,-3.7077e-9
146,LithiumMetal,-173.4733,-71.1779,1.000000e0,2.2126e-7,-7.0821e-10
147,LithiumMetal,-170.4265,-71.1335,-0.000000e0,3.6631e-9,-3.6034e-9
132,LithiumMetal,-167.3719,-74.1795,-0.000000e0,1.8788e-9,1.9062e-9
133,LithiumMetal,-164.3313,-74.1600,-0.000000e0,1.6548e-9,-1.5149e-9
