# step=31637 time_fs=208185.00 v_cell=-1.226750e-1 applied_i=-9.499117e-6
id,species,x,y,charge,vx,vy
2885,EC,-87.9420,-100.0051,-0.000000e0,-2.9035e-3,3.6771e-5
3121,DMC,-191.5254,-97.8817,-0.000000e0,1.7347e-4,-3.2251e-4
3543,DMC,-181.1077,-99.8873,-0.000000e0,-1.1848e-4,-1.1745e-4
3135,DMC,-178.2484,-94.2106,-0.000000e0,-9.2080e-5,-7.7391e-5
2499,ElectrolyteAnion,-194.5689,-75.0586,-1.000000e0,-1.2768e-3,2.8014e-3
3011,EC,-191.5529,-78.4018,-0.000000e0,-1.5799e-3,2.3754e-3
2,LithiumIon,-189.2663,-76.3942,1.000000e0,-1.4947e-3,5.5995e-4
3050,EC,-187.4173,-81.2325,-0.000000e0,-3.9477e-3,5.0904e-4
2888,EC,-186.2069,-76.3771,-0.000000e0,-2.8677e-3,-1.5820e-3
3499,DMC,-174.3181,-99.7886,-0.000000e0,3.9402e-5,-1.4510e-4
3,LithiumMetal,-170.4846,-98.5785,-1.000000e0,2.0463e-6,2.0073e-7
18,LithiumMetal,-173.5536,-95.5081,-0.000000e0,2.0580e-7,2.2591e-7
19,LithiumMetal,-170.4656,-95.4547,-0.000000e0,8.0767e-9,3.1411e-8
4,LithiumMetal,-167.3970,-98.5694,-0.000000e0,2.0882e-8,1.9938e-7
5,LithiumMetal,-164.3561,-98.5218,-0.000000e0,4.2751e-10,2.0496e-7
20,LithiumMetal,-167.3956,-95.4654,-0.000000e0,1.3116e-8,3.0626e-8
21,LithiumMetal,-164.3552,-95.4447,-0.000000e0,-4.9322e-10,1.3677e-8
34,LithiumMetal,-173.5152,-92.4632,-0.000000e0,2.1161e-7,3.9489e-9
35,LithiumMetal,-170.4494,-92.4133,-0.000000e0,7.6513e-9,-3.6733e-9
50,LithiumMetal,-173.4922,-89.4233,-0.000000e0,2.1158e-7,4.0608e-9
51,LithiumMetal,-170.4355,-89.3733,-0.000000e0,5.8969e-9,-4.4547e-9
36,LithiumMetal,-167.4004,-92.4254,-0.000000e0,4.6896e-9,2.6865e-9
37,LithiumMetal,-164.3597,-92.4009,-0.000000e0,8.9666e-10,-8.6699e-11
52,LithiumMetal,-167.3946,-89.3854,-0.000000e0,-1.1640e-9,2.7124e-9
53,LithiumMetal,-164.3527,-89.3607,-0.000000e0,1.2176e-10,-2.2116e-9
6,LithiumMetal,-161.3155,-98.5140,-0.000000e0,-1.7007e-9,2.0985e-7
7,LithiumMetal,-158.2711,-98.5200,-0.000000e0,1.8710e-9,2.1015e-7
22,LithiumMetal,-161.3144,-95.4436,-0.000000e0,-5.1949e-10,1.2424e-8
23,LithiumMetal,-158.2734,-95.4457,-0.000000e0,1.6995e-10,1.6208e-8
8,LithiumMetal,-155.2310,-98.5120,-0.000000e0,-8.0069e-8,2.1139e-7
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,6.1031e-12,1.7055e-11
24,LithiumMetal,-155.2333,-95.4410,-0.000000e0,-8.0768e-8,1.3523e-8
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,6.1504e-12,-3.0030e-15
38,LithiumMetal,-161.3190,-92.4009,-0.000000e0,8.4706e-10,8.3979e-10
39,LithiumMetal,-158.2790,-92.4057,-0.000000e0,1.0376e-9,7.6782e-10
54,LithiumMetal,-161.3127,-89.3606,-0.000000e0,-1.1612e-9,-3.2457e-10
55,LithiumMetal,-158.2727,-89.3657,-0.000000e0,-8.6758e-10,8.1097e-10
40,LithiumMetal,-155.2387,-92.4000,-0.000000e0,-8.1080e-8,-4.4759e-11
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,6.2703e-12,-1.0216e-16
56,LithiumMetal,-155.2314,-89.3599,-0.000000e0,-8.0291e-8,-4.0656e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,6.1071e-12,4.1441e-16
66,LithiumMetal,-173.5406,-86.3837,-0.000000e0,2.0277e-7,4.6830e-9
