# step=33217 time_fs=216085.00 v_cell=-9.359235e-2 applied_i=1.405872e-3
id,species,x,y,charge,vx,vy
3262,DMC,-126.9346,-100.0004,-0.000000e0,-6.7786e-5,-2.4064e-4
3121,DMC,-189.5444,-98.4348,-0.000000e0,3.3316e-4,6.1940e-4
3543,DMC,-182.5331,-98.8618,-0.000000e0,-3.4982e-4,7.3275e-5
3135,DMC,-179.2285,-95.0047,-0.000000e0,-5.4571e-5,3.6645e-6
3499,DMC,-174.6184,-99.4448,-0.000000e0,-9.7927e-5,-1.0501e-5
3,LithiumMetal,-170.4846,-98.5792,-0.000000e0,2.0452e-7,1.8885e-7
18,LithiumMetal,-173.5536,-95.5081,-0.000000e0,2.0580e-7,2.2592e-7
19,LithiumMetal,-170.4656,-95.4547,-0.000000e0,7.8914e-9,3.1572e-8
4,LithiumMetal,-167.3970,-98.5694,-0.000000e0,2.0909e-8,2.0012e-7
5,LithiumMetal,-164.3561,-98.5218,-0.000000e0,4.6963e-10,2.0491e-7
20,LithiumMetal,-167.3952,-95.4673,-0.000000e0,1.3487e-8,3.0122e-8
21,LithiumMetal,-164.3552,-95.4445,-0.000000e0,-5.3447e-10,1.3721e-8
34,LithiumMetal,-173.5152,-92.4632,-0.000000e0,2.1161e-7,3.9467e-9
35,LithiumMetal,-170.4494,-92.4133,-0.000000e0,7.3554e-9,-3.8102e-9
50,LithiumMetal,-173.4922,-89.4233,-0.000000e0,2.1158e-7,4.0583e-9
51,LithiumMetal,-170.4355,-89.3733,-0.000000e0,5.8924e-9,-4.5960e-9
36,LithiumMetal,-167.3997,-92.4273,-0.000000e0,5.2631e-9,2.9631e-9
37,LithiumMetal,-164.3598,-92.4010,-0.000000e0,5.8490e-10,-2.6353e-10
52,LithiumMetal,-167.3946,-89.3873,-0.000000e0,-1.1580e-9,2.9749e-9
53,LithiumMetal,-164.3526,-89.3610,-0.000000e0,-5.1835e-10,-2.5218e-9
6,LithiumMetal,-161.3156,-98.5138,-0.000000e0,-1.7833e-9,2.0975e-7
7,LithiumMetal,-158.2712,-98.5199,-0.000000e0,1.8594e-9,2.1012e-7
22,LithiumMetal,-161.3148,-95.4433,-0.000000e0,-7.0313e-10,1.2738e-8
23,LithiumMetal,-158.2737,-95.4456,-0.000000e0,2.3204e-10,4.6514e-9
8,LithiumMetal,-155.2310,-98.5127,-0.000000e0,-8.0060e-8,2.1115e-7
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,6.1033e-12,1.7052e-11
24,LithiumMetal,-155.2335,-95.4409,-0.000000e0,-8.0745e-8,1.3892e-8
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,6.1534e-12,-2.7428e-15
38,LithiumMetal,-161.3191,-92.4011,-0.000000e0,1.0824e-9,5.1793e-10
39,LithiumMetal,-158.2790,-92.4056,-0.000000e0,7.5023e-10,1.2286e-8
54,LithiumMetal,-161.3126,-89.3607,-0.000000e0,-7.4898e-11,-3.9108e-10
55,LithiumMetal,-158.2726,-89.3656,-0.000000e0,-1.2807e-9,8.1588e-10
40,LithiumMetal,-155.2387,-92.4000,-0.000000e0,-8.1075e-8,-7.8727e-11
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,6.2703e-12,-1.0216e-16
56,LithiumMetal,-155.2314,-89.3599,-0.000000e0,-8.0322e-8,-3.7246e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,6.1071e-12,4.1441e-16
66,LithiumMetal,-173.5406,-86.3837,-0.000000e0,2.0277e-7,4.6770e-9
67,LithiumMetal,-170.4439,-86.3333,-0.000000e0,2.4333e-8,-4.2441e-9
82,LithiumMetal,-173.5417,-83.3437,-0.000000e0,1.9943e-7,2.9824e-9
83,LithiumMetal,-170.4319,-83.2933,-0.000000e0,2.8822e-8,-4.1829e-9
68,LithiumMetal,-167.3982,-86.3473,-0.000000e0,3.1408e-9,3.0418e-9
69,LithiumMetal,-164.3568,-86.3197,-0.000000e0,1.6737e-9,-1.5052e-9
84,LithiumMetal,-167.3860,-83.3074,-0.000000e0,2.5834e-9,3.0463e-9
85,LithiumMetal,-164.3441,-83.2797,-0.000000e0,1.2411e-9,-2.1041e-9
98,LithiumMetal,-173.4685,-80.3044,-0.000000e0,2.1340e-7,1.1823e-9
99,LithiumMetal,-170.4095,-80.2533,-0.000000e0,6.8840e-9,-4.6467e-9
114,LithiumMetal,-173.4267,-77.2593,-0.000000e0,2.1696e-7,5.4945e-9
115,LithiumMetal,-170.3822,-77.2134,-0.000000e0,-4.0948e-9,-4.4419e-9
100,LithiumMetal,-167.3641,-80.2674,-0.000000e0,2.6438e-9,3.0447e-9
101,LithiumMetal,-164.3238,-80.2397,-0.000000e0,6.1336e-10,-2.1029e-9
116,LithiumMetal,-167.3378,-77.2276,-0.000000e0,-2.4017e-9,3.0892e-9
117,LithiumMetal,-164.2980,-77.1998,-0.000000e0,-4.3658e-9,-2.0952e-9
70,LithiumMetal,-161.3161,-86.3207,-0.000000e0,1.4729e-9,-2.5603e-10
71,LithiumMetal,-158.2760,-86.3256,-0.000000e0,1.1539e-9,6.7662e-10
86,LithiumMetal,-161.3035,-83.2804,-0.000000e0,7.7944e-10,-1.6150e-10
87,LithiumMetal,-158.2634,-83.2854,-0.000000e0,5.1580e-10,8.2696e-10
72,LithiumMetal,-155.2359,-86.3198,-0.000000e0,-7.9991e-8,-4.8537e-10
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,6.2075e-12,7.6805e-16
88,LithiumMetal,-155.2232,-83.2797,-0.000000e0,-7.6968e-8,-4.5806e-10
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,5.9202e-12,8.9795e-16
102,LithiumMetal,-161.2837,-80.2404,-0.000000e0,3.5037e-10,-3.5918e-10
103,LithiumMetal,-158.2434,-80.2454,-0.000000e0,5.3290e-10,8.7514e-10
118,LithiumMetal,-161.2579,-77.2004,-0.000000e0,-4.3878e-9,-3.4088e-10
119,LithiumMetal,-158.2179,-77.2056,-0.000000e0,-4.3982e-9,8.0628e-10
104,LithiumMetal,-155.2034,-80.2396,-0.000000e0,-7.1023e-8,-4.1003e-10
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,5.4548e-12,1.6506e-15
120,LithiumMetal,-155.1778,-77.1997,-0.000000e0,-6.7428e-8,-4.0734e-10
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,4.8207e-12,3.7589e-16
3050,EC,-199.2441,-72.2299,-0.000000e0,-8.2753e-4,1.4110e-3
2888,EC,-194.3616,-71.1485,-0.000000e0,-1.0227e-4,1.4094e-3
3248,DMC,-189.6423,-69.3110,-0.000000e0,1.1060e-4,1.2885e-3
3011,EC,-198.5035,-67.2805,-0.000000e0,1.5442e-3,9.4204e-4
2,LithiumIon,-195.6822,-68.3907,1.000000e0,4.2137e-4,8.4477e-4
