# step=37562 time_fs=237810.00 v_cell=7.531551e-2 applied_i=4.078026e-4
id,species,x,y,charge,vx,vy
3543,DMC,-188.4424,-99.7387,-0.000000e0,-4.0885e-4,-1.0661e-4
3135,DMC,-177.3115,-93.8694,-0.000000e0,-9.9945e-5,2.9919e-4
3121,DMC,-184.1614,-75.6745,-0.000000e0,3.6709e-4,1.8424e-3
3499,DMC,-174.3993,-99.5635,-0.000000e0,1.3602e-4,-5.0302e-4
3,LithiumMetal,-170.4963,-98.5987,-0.000000e0,1.9833e-7,1.8064e-7
18,LithiumMetal,-173.5751,-95.5171,-0.000000e0,7.5878e-8,8.6326e-8
19,LithiumMetal,-170.4697,-95.4579,-0.000000e0,1.3606e-8,3.7267e-8
4,LithiumMetal,-167.3981,-98.5790,-0.000000e0,2.5017e-8,1.9765e-7
5,LithiumMetal,-164.3564,-98.5295,-0.000000e0,5.7838e-10,2.0239e-7
20,LithiumMetal,-167.3965,-95.4721,-0.000000e0,1.3822e-8,3.0962e-8
21,LithiumMetal,-164.3541,-95.4466,-0.000000e0,4.5140e-10,1.5410e-8
34,LithiumMetal,-173.5298,-92.4687,-0.000000e0,-8.5645e-5,-1.4540e-5
35,LithiumMetal,-170.4529,-92.4159,-0.000000e0,6.6298e-5,-8.6137e-6
50,LithiumMetal,-173.5036,-89.4253,1.000000e0,2.0776e-7,4.6745e-9
51,LithiumMetal,-170.4380,-89.3731,-0.000000e0,8.2441e-9,-3.4545e-9
36,LithiumMetal,-167.3988,-92.4291,1.000000e0,7.4437e-9,4.9813e-9
37,LithiumMetal,-164.3588,-92.4016,-0.000000e0,8.3164e-10,-4.3066e-10
52,LithiumMetal,-167.3936,-89.3887,-0.000000e0,3.7446e-8,-5.7102e-8
53,LithiumMetal,-164.3526,-89.3599,-0.000000e0,-2.7755e-10,-1.4746e-9
6,LithiumMetal,-161.3151,-98.5205,-0.000000e0,-1.2182e-9,2.0694e-7
7,LithiumMetal,-158.2710,-98.5287,-0.000000e0,1.6148e-9,2.0656e-7
22,LithiumMetal,-161.3137,-95.4441,-0.000000e0,-2.5240e-10,1.4694e-8
23,LithiumMetal,-158.2737,-95.4458,-0.000000e0,-2.0317e-10,1.9721e-8
8,LithiumMetal,-155.2307,-98.5211,-0.000000e0,-7.9927e-8,2.0784e-7
2083,FoilMetal,-151.9800,-98.4800,-0.000000e0,-3.0677e-11,-5.9307e-10
24,LithiumMetal,-155.2336,-95.4410,1.000000e0,-8.0772e-8,1.7390e-8
2085,FoilMetal,-151.9800,-95.4400,-0.000000e0,1.0004e-11,-5.2919e-12
38,LithiumMetal,-161.3187,-92.4007,-0.000000e0,8.6593e-10,1.0830e-9
39,LithiumMetal,-158.2787,-92.4054,-0.000000e0,6.2581e-10,9.4276e-10
54,LithiumMetal,-161.3125,-89.3604,-0.000000e0,-7.1495e-10,-2.3631e-10
55,LithiumMetal,-158.2724,-89.3654,-0.000000e0,8.3289e-9,-8.3285e-6
40,LithiumMetal,-155.2382,-92.3998,-0.000000e0,-8.0936e-8,1.3480e-10
2087,FoilMetal,-151.9800,-92.4000,-0.000000e0,6.2588e-12,7.6521e-16
56,LithiumMetal,-155.2315,-89.3598,-0.000000e0,-8.0418e-8,-4.6125e-10
2089,FoilMetal,-151.9800,-89.3600,-0.000000e0,6.1085e-12,9.5605e-16
66,LithiumMetal,-173.5460,-86.3843,-0.000000e0,2.0076e-7,3.0883e-9
67,LithiumMetal,-170.4456,-86.3331,-0.000000e0,2.4433e-8,-4.6112e-9
82,LithiumMetal,-173.5475,-83.3426,-0.000000e0,1.9752e-7,3.6960e-9
83,LithiumMetal,-170.4327,-83.2931,-0.000000e0,2.9957e-8,-4.6259e-9
68,LithiumMetal,-167.3967,-86.3484,-0.000000e0,5.1502e-9,3.3369e-9
69,LithiumMetal,-164.3566,-86.3196,-0.000000e0,1.2497e-9,-2.0527e-9
84,LithiumMetal,-167.3850,-83.3084,-0.000000e0,3.5017e-9,3.2033e-9
85,LithiumMetal,-164.3434,-83.2796,-0.000000e0,1.2136e-9,-2.1931e-9
98,LithiumMetal,-173.4731,-80.3033,-0.000000e0,2.1175e-7,2.4606e-9
99,LithiumMetal,-170.4107,-80.2532,-0.000000e0,7.7505e-9,-4.4594e-9
114,LithiumMetal,-173.4322,-77.2611,-0.000000e0,2.1480e-7,3.5308e-9
115,LithiumMetal,-170.3830,-77.2133,-0.000000e0,-2.1543e-9,-4.3607e-9
100,LithiumMetal,-167.3638,-80.2685,-0.000000e0,3.4173e-9,3.2066e-9
101,LithiumMetal,-164.3236,-80.2396,-0.000000e0,6.1441e-10,-2.2564e-9
116,LithiumMetal,-167.3378,-77.2286,-0.000000e0,-2.0432e-9,3.2573e-9
117,LithiumMetal,-164.2979,-77.1998,-0.000000e0,-4.3428e-9,-2.1942e-9
70,LithiumMetal,-161.3163,-86.3204,-0.000000e0,1.1750e-9,-2.8457e-10
71,LithiumMetal,-158.2758,-86.3254,-0.000000e0,-6.5709e-8,-5.5306e-6
86,LithiumMetal,-161.3032,-83.2804,-0.000000e0,1.3488e-10,-7.0916e-8
87,LithiumMetal,-158.2632,-83.2854,-0.000000e0,-6.7065e-8,-5.4822e-6
72,LithiumMetal,-155.2358,-86.3197,-0.000000e0,-8.0038e-8,-4.0041e-10
2091,FoilMetal,-151.9800,-86.3200,-0.000000e0,6.2040e-12,4.2181e-15
88,LithiumMetal,-155.2232,-83.2797,-0.000000e0,-7.7010e-8,-4.3744e-10
2093,FoilMetal,-151.9800,-83.2800,-0.000000e0,5.9489e-12,3.1951e-14
102,LithiumMetal,-161.2835,-80.2405,-0.000000e0,6.9715e-11,-2.9733e-8
103,LithiumMetal,-158.2435,-80.2455,-0.000000e0,-8.3989e-8,-5.4311e-6
118,LithiumMetal,-161.2578,-77.2006,-0.000000e0,2.4760e-8,-2.6124e-8
119,LithiumMetal,-158.2178,-77.2057,-0.000000e0,1.6273e-7,-5.1886e-6
104,LithiumMetal,-155.2035,-80.2398,-0.000000e0,-7.1020e-8,-4.4292e-10
2095,FoilMetal,-151.9800,-80.2400,-0.000000e0,5.4570e-12,9.0273e-16
120,LithiumMetal,-155.1778,-77.1999,-0.000000e0,4.1866e-7,4.7707e-10
2097,FoilMetal,-151.9800,-77.2000,-0.000000e0,4.8207e-12,-2.9757e-16
2889,SEI,-177.5402,-69.8588,0.000000e0,-8.2069e-10,2.6680e-10
3074,SEI,-177.5821,-63.9099,0.000000e0,-4.8521e-6,-1.9295e-5
2888,EC,-188.5307,-56.7425,-0.000000e0,7.1136e-4,6.2202e-4
3050,EC,-190.9999,-52.3813,-0.000000e0,7.9361e-4,-2.5945e-4
3248,DMC,-185.0347,-60.7313,-0.000000e0,-8.1368e-4,4.1237e-4
3530,DMC,-177.5047,-58.6605,-0.000000e0,-3.6145e-5,-1.5329e-5
2,LithiumIon,-186.4140,-54.5420,1.000000e0,-1.2429e-3,4.5311e-4
2613,EC,-183.5871,-55.8761,-0.000000e0,-2.1244e-3,7.3507e-4
3011,EC,-186.0693,-51.5276,-0.000000e0,1.4751e-4,-1.6446e-3
2499,ElectrolyteAnion,-181.5755,-51.8459,-1.000000e0,4.1860e-5,6.9303e-5
3563,DMC,-177.4577,-53.6607,-0.000000e0,1.5935e-5,-1.0267e-5
130,LithiumMetal,-173.4660,-74.2190,1.000000e0,-2.2842e-5,-8.9512e-6
131,LithiumMetal,-170.4130,-74.1735,-0.000000e0,6.7500e-9,-4.2451e-9
146,LithiumMetal,-173.4794,-71.1789,-0.000000e0,2.1717e-7,8.7470e-10
147,LithiumMetal,-170.4262,-71.1335,-0.000000e0,6.2388e-9,-4.2441e-9
132,LithiumMetal,-167.3716,-74.1888,-0.000000e0,2.0039e-9,3.3036e-9
133,LithiumMetal,-164.3314,-74.1599,-0.000000e0,1.5409e-9,-2.1123e-9
148,LithiumMetal,-167.3856,-71.1488,-0.000000e0,6.8713e-10,3.3003e-9
149,LithiumMetal,-164.3457,-71.1200,1.000000e0,4.0288e-10,-2.1945e-9
162,LithiumMetal,-173.4938,-68.1384,-0.000000e0,2.1674e-7,8.0040e-9
163,LithiumMetal,-170.4364,-68.0934,-0.000000e0,-2.0149e-7,1.5335e-7
178,LithiumMetal,-173.4798,-65.0947,-0.000000e0,1.2663e-6,-2.9973e-7
179,LithiumMetal,-170.4369,-65.0534,1.000000e0,2.3986e-8,-8.1689e-6
164,LithiumMetal,-167.3947,-68.1088,-0.000000e0,-1.2554e-5,3.5469e-6
165,LithiumMetal,-164.3543,-68.0799,-0.000000e0,7.2612e-8,2.0131e-8
180,LithiumMetal,-167.3967,-65.0688,-0.000000e0,3.7936e-9,2.1642e-6
181,LithiumMetal,-164.3567,-65.0399,-0.000000e0,4.2385e-10,2.3429e-8
134,LithiumMetal,-161.2913,-74.1607,-0.000000e0,1.4572e-9,-3.7092e-10
135,LithiumMetal,-158.2512,-74.1659,1.000000e0,1.0596e-5,-4.7354e-6
150,LithiumMetal,-161.3057,-71.1205,-0.000000e0,-6.8577e-6,5.7822e-6
151,LithiumMetal,-158.2656,-71.1258,-0.000000e0,4.4721e-11,8.0660e-10
136,LithiumMetal,-155.2112,-74.1600,-0.000000e0,3.2003e-5,6.2046e-8
2099,FoilMetal,-151.9800,-74.1600,-0.000000e0,5.6432e-12,4.8327e-16
152,LithiumMetal,-155.2247,-71.1200,-0.000000e0,-7.7313e-8,-4.6423e-10
