frame,time_fs,arc_length_norm,roughness_rms,dead_li_frac,accessible_atoms
30639,153195.000,1.002175,7.082719,0.001649,136
31639,158195.000,1.002227,7.087152,0.001649,148
32639,163195.000,1.002323,7.453444,0.001649,155
33639,168195.000,1.002532,8.037248,0.001649,162
34639,173195.000,1.002886,7.366804,0.001649,163
35639,178195.000,1.011502,9.735380,0.002755,162
36639,183195.000,1.017853,7.619390,0.004415,173
37639,188195.000,1.148505,9.766472,0.007812,169
38639,193195.000,1.050673,10.083265,0.005096,170
39639,198195.000,1.078514,9.766078,0.012027,164
40639,203195.000,1.091044,10.283710,0.025073,154
41639,208195.000,1.131900,10.869522,0.034198,145
42639,213195.000,1.244153,11.753712,0.053286,153
43639,218195.000,1.393439,13.379829,0.097445,161
44639,223195.000,1.464104,14.656329,0.115500,168
45639,228195.000,1.507890,14.406764,0.115642,163
46639,233195.000,1.905727,17.026880,0.130967,173
47639,238195.000,2.093152,27.728083,0.149664,194
48639,243195.000,2.091954,32.804211,0.164115,209
49639,248195.000,2.353461,34.821251,0.177628,222
50639,253195.000,2.354739,39.011051,0.198898,248
51639,258195.000,2.237118,39.420517,0.206663,260
52639,263195.000,2.442503,42.444633,0.221261,269
53639,268195.000,2.680591,43.049118,0.237477,281
54639,273195.000,2.512091,44.768150,0.260037,296
55639,278195.000,2.630650,48.558372,0.279412,323
56639,283195.000,2.577888,49.828796,0.295102,325
57639,288195.000,2.473508,43.897720,0.921275,893
58639,293195.000,2.889447,45.096031,0.935815,979
59639,298195.000,3.100334,44.297379,0.934016,1173
60639,303195.000,2.583329,39.139107,0.997863,1323
61639,308195.000,2.262051,41.388878,0.867271,1342
62639,313195.000,0.000000,0.000000,0.000000,0
63639,318195.000,0.000000,0.000000,0.000000,0
64639,323195.000,0.000000,0.000000,0.000000,0
65639,328195.000,0.000000,0.000000,0.000000,0
66639,333195.000,0.000000,0.000000,0.000000,0
67639,338195.000,0.000000,0.000000,0.000000,0
68639,343195.000,0.000000,0.000000,0.000000,0
