frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
110,550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.997552,0.996825,0.995768,0.995319,0.995333,0,0,0,0,0,1404,1345,1424,1479,1484
310,1550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998579,0.997076,0.997095,0.998523,0.996224,0,0,0,0,0,1177,796,1147,1124,1094
510,2550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998308,0.997812,0.997738,0.998176,0.996556,0,0,0,0,0,1543,1598,1538,1415,1512
710,3550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998424,0.997027,0.997361,0.996422,0.997270,0,0,0,0,0,1039,779,907,888,869
910,4550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.995943,1.000000,0.998267,0.997738,0,0,0,0,0,338,263,209,347,654
1110,5550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.997911,0.997365,0.998084,0.997508,0.997421,0,0,0,0,0,1206,1288,1336,1375,1321
1310,6550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999255,0.997363,0.999377,0.998650,0.999326,0,0,0,0,0,1112,1287,1374,1251,1253
1510,7550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998893,0.998259,0.998296,0.997384,0.998254,0,0,0,0,0,1577,1493,1531,1299,1488
1710,8550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998476,0.997475,1.000000,1.000000,0.997821,0,0,0,0,0,426,562,776,577,688
1910,9550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998850,0.997831,0.999273,0.997427,0.997477,0,0,0,0,0,1509,1153,1145,936,959
2110,10550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999456,0.998914,0.998360,0.997817,0.998913,0,0,0,0,0,1609,1611,1599,1602,1610
2310,11550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998874,0.998909,0.998299,0.998868,0.998857,0,0,0,0,0,1547,1604,1534,1536,1520
2510,12550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998914,0.998914,0.998369,0.998914,0.998914,0,0,0,0,0,1612,1611,1609,1612,1612
2710,13550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998914,0.998914,0.998912,0.998894,0.998914,0,0,0,0,0,1612,1611,1609,1578,1612
2910,14550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998896,0.998913,0.998370,0.998914,0.998914,0,0,0,0,0,1582,1610,1611,1612,1612
3110,15550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998913,0.999457,0.998365,0.999455,0.998911,0,0,0,0,0,1610,1610,1605,1604,1607
3310,16550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.998908,0.998370,0.999457,0.998912,0,0,0,0,0,1607,1602,1610,1611,1608
3510,17550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999448,0.998856,0.998330,0.999444,0.998881,0,0,0,0,0,1581,1518,1566,1567,1558
3710,18550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999457,0.998912,0.998368,0.999456,0.998911,0,0,0,0,0,1610,1608,1608,1609,1607
3910,19550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999424,0.998859,0.998312,0.999432,0.998880,0,0,0,0,0,1506,1523,1547,1531,1556
4110,20550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.998889,0.998351,0.999439,1.000000,0,0,0,0,0,1582,1570,1589,1554,1578
4310,21550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999444,0.998873,0.998874,0.999435,0.999432,0,0,0,0,0,1569,1545,1547,1541,1531
4510,22550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999441,0.999436,0.998311,0.999431,1.000000,0,0,0,0,0,1559,1544,1546,1528,1523
4710,23550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999455,0.998907,0.998370,0.999455,0.999456,0,0,0,0,0,1606,1600,1611,1606,1607
4910,24550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999436,0.998903,0.998368,0.999457,0.999455,0,0,0,0,0,1544,1593,1608,1611,1606
5110,25550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999457,0.998903,0.998372,0.999457,1.000000,0,0,0,0,0,1610,1593,1613,1611,1596
5310,26550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.998907,0.998372,1.000000,1.000000,0,0,0,0,0,1609,1600,1613,1610,1610
5510,27550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999455,0.998913,0.998356,1.000000,1.000000,0,0,0,0,0,1606,1610,1595,1569,1609
5710,28550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.998866,0.998317,1.000000,1.000000,0,0,0,0,0,1539,1533,1552,1507,1519
5910,29550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999457,0.998913,1.000000,1.000000,0,0,0,0,0,1606,1611,1610,1599,1610
6110,30550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.998372,1.000000,1.000000,0,0,0,0,0,1610,1608,1613,1596,1602
6310,31550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999447,0.998368,1.000000,1.000000,0,0,0,0,0,1570,1577,1608,1609,1538
6510,32550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.998370,1.000000,1.000000,0,0,0,0,0,1603,1605,1611,1610,1587
6710,33550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.999428,1.000000,1.000000,0,0,0,0,0,1359,1406,1519,1554,1507
6910,34550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999434,0.998898,1.000000,1.000000,0,0,0,0,0,1603,1537,1585,1561,1529
7110,35550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999457,0.998370,1.000000,1.000000,0,0,0,0,0,1610,1611,1611,1592,1602
7310,36550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999456,0.998370,1.000000,1.000000,0,0,0,0,0,1579,1607,1610,1609,1600
7510,37550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999455,0.999456,1.000000,1.000000,0,0,0,0,0,1610,1606,1607,1607,1610
7710,38550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999454,0.998906,1.000000,1.000000,0,0,0,0,0,1609,1603,1598,1587,1600
7910,39550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999441,0.998897,1.000000,1.000000,0,0,0,0,0,1607,1560,1584,1589,1606
8110,40550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999443,0.998911,1.000000,1.000000,0,0,0,0,0,1609,1565,1607,1610,1607
8310,41550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999455,0.998914,1.000000,1.000000,0,0,0,0,0,1560,1605,1612,1609,1599
8510,42550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999336,0.999402,1.000000,1.000000,0,0,0,0,0,1418,1276,1442,1505,1521
8710,43550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999454,0.998910,1.000000,1.000000,0,0,0,0,0,1548,1602,1605,1610,1609
8910,44550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999457,0.998914,1.000000,1.000000,0,0,0,0,0,1593,1611,1612,1608,1610
9110,45550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.999454,0.998906,1.000000,1.000000,0,0,0,0,0,1601,1600,1598,1609,1609
9310,46550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.998912,1.000000,1.000000,0,0,0,0,0,1609,1609,1608,1578,1590
9510,47550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.999453,1.000000,1.000000,0,0,0,0,0,1589,1598,1599,1606,1603
9710,48550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.998905,1.000000,1.000000,0,0,0,0,0,1604,1597,1596,1608,1575
9910,49550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.998888,1.000000,1.000000,0,0,0,0,0,1545,1535,1568,1568,1544
10110,50550,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.999457,1.000000,1.000000,0,0,0,0,0,1599,1590,1611,1602,1608
