frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
163,815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.996728,0.996206,0.996139,0.996604,0.995513,0,0,0,0,0,1604,1615,1583,1537,1553
363,1815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.996746,0.996743,0.996152,0.996041,0.996683,0,0,0,0,0,1614,1612,1589,1538,1579
563,2815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.997775,0.997741,0.997185,0.995616,0.996714,0,0,0,0,0,1568,1541,1546,1595,1596
763,3815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.997827,0.997253,0.996725,0.996206,0.996750,0,0,0,0,0,1611,1590,1602,1615,1616
963,4815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998365,0.997831,0.996728,0.996610,0.996741,0,0,0,0,0,1605,1614,1604,1540,1611
1163,5815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998880,0.997478,0.996479,0.996855,0.996583,0,0,0,0,0,1556,1356,1474,1360,1526
1363,6815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998896,0.997514,0.997718,0.997027,0.996577,0,0,0,0,0,1582,1379,1523,1452,1523
1563,7815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.998856,0.997738,0.997138,0.997670,0.997164,0,0,0,0,0,1518,1538,1517,1487,1533
1763,8815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,0.999453,0.997783,0.996721,0.996746,0.997290,0,0,0,0,0,1599,1574,1600,1614,1615
1963,9815,CC,CC,CC,CC,CC,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.997750,0.996622,0.997268,0.997205,0,0,0,0,0,1501,1548,1546,1600,1559
