frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
124,620,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.996929,0.996581,0.994395,0.997734,0.996720,0,0,0,0,0,1398,1525,1554,1535,1599
324,1620,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.978261,1.015676,1.000000,1.000000,8,-40,40,3,4,1614,1610,1620,1601,1614
524,2620,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000541,0.959585,1.039011,0.999437,1.000549,1,-40,42,-1,0,1618,1601,1590,1547,1591
724,3620,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001142,0.943169,1.059327,1.000000,1.000000,-1,-40,40,1,0,1522,1512,1523,1497,1512
924,4620,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000549,0.925083,1.080874,1.000561,1.000000,-1,-40,41,-1,0,1591,1572,1600,1551,1587
1124,5620,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.000594,0.910194,1.088902,1.000000,1.000634,0,-37,37,0,-1,1454,1418,1446,1431,1348
1324,6620,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.009844,0.993533,1.011230,0.981056,1.009519,20,152,-163,-40,20,1497,1471,1551,1512,1556
1524,7620,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.024036,1.000000,1.000000,0.967052,1.021277,20,12,-23,-39,20,1559,1513,1524,1500,1509
1724,8620,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.029076,1.000565,0.999445,0.947641,1.030641,20,1,-1,-41,21,1524,1541,1571,1508,1565
1924,9620,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.044981,1.000000,1.000000,0.927731,1.044579,21,-1,0,-40,20,1593,1560,1613,1555,1587
2124,10620,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.056385,0.998853,1.000000,0.911649,1.054496,21,0,-1,-39,20,1579,1513,1553,1547,1605
2324,11620,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.004360,1.000000,1.019531,0.897119,1.003964,-97,0,40,-40,-91,1605,1569,1562,1471,1536
2524,12620,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000000,1.043353,0.878985,1.001775,-7,0,45,-40,-13,1605,1507,1500,1464,1460
2724,13620,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.998897,1.000560,1.067538,0.866197,1.000560,0,0,41,-40,-4,1583,1556,1606,1474,1556
