frame,time_fs,Foil3_Y-180_edge,Foil3_Y-120_edge,Foil3_Y-60_edge,Foil3_Y0_edge,Foil3_Y+60_edge,Foil3_Y+120_edge,Foil3_Y+180_edge
163,815,24.076773,22.453766,23.989273,23.587534,23.051062,23.073954,22.812319
363,1815,24.187712,22.494337,24.077303,23.53709,23.189999,23.340147,23.012463
563,2815,24.201374,22.500547,23.019209,23.522484,23.15981,23.35373,23.026484
763,3815,24.226116,22.483753,22.948586,23.463089,23.16026,23.34896,22.97215
963,4815,24.226254,22.520473,22.955008,23.473114,23.159893,23.345987,22.939825
1163,5815,24.226013,22.579786,22.956593,23.287659,23.16531,23.351683,22.902822
1363,6815,24.225702,22.692024,22.959438,23.253773,23.087936,23.484419,22.904829
1563,7815,24.225492,22.706726,22.971182,23.242485,23.0294,23.399328,22.82239
1763,8815,24.24991,22.743856,22.97912,23.236582,23.01056,23.274132,22.532158
1963,9815,24.251791,22.718777,23.039593,23.239956,23.011292,23.246517,22.5143
