frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
124,620,22.312344,24.956545,23.132345,22.7921,23.676334,23.226961,22.49646
324,1620,22.889189,25.266201,23.51386,23.721775,24.48508,23.940956,23.134007
524,2620,22.997507,25.052557,23.385895,23.51195,24.591993,23.631126,23.11545
724,3620,23.046684,24.514923,23.368376,23.499058,24.475025,23.66668,23.123665
924,4620,23.060148,24.186863,23.268982,25.84121,24.393213,23.640694,23.17126
1124,5620,23.057396,23.915382,23.206919,25.822584,24.337555,23.568123,23.081059
1324,6620,23.172064,23.834736,23.205954,25.429628,24.253668,23.542246,23.05232
1524,7620,23.231483,23.955036,23.113817,25.263922,24.255707,23.530962,23.124306
1724,8620,23.286018,24.470343,23.120558,25.267048,24.260021,23.534245,23.097511
1924,9620,23.328217,24.90516,23.07825,25.271538,24.260794,23.510696,23.092052
2124,10620,23.361473,25.379566,23.047922,25.154383,24.270073,23.439997,23.095943
2324,11620,23.368269,25.666319,22.95096,24.85557,24.219969,23.26857,23.123295
2524,12620,23.386782,26.019264,23.007895,24.269417,23.957424,23.226849,23.208342
2724,13620,23.539318,25.883146,23.021486,23.607704,23.883516,23.089264,23.264404
2924,14620,23.075056,26.19568,22.8065,23.649164,23.737785,22.965673,23.198439
3124,15620,22.908573,25.826382,22.72208,23.21696,23.36039,23.694668,27.092724
3324,16620,23.101803,25.51307,22.622492,22.762941,23.230566,25.10142,26.80046
3524,17620,23.236586,25.827478,22.888912,22.885298,23.361467,24.930496,27.021622
3724,18620,23.935163,26.181671,23.002592,23.047691,23.46953,24.784311,27.11375
3924,19620,23.984781,26.586456,23.041878,22.797716,23.536509,24.641752,27.116787
4124,20620,23.900105,26.793985,23.081133,22.562807,23.489435,24.670858,27.130056
4324,21620,23.897959,26.989084,23.12349,22.781471,23.48979,24.628736,27.20051
4524,22620,23.875061,24.108292,23.077562,22.785442,23.490282,24.741718,29.156096
4724,23620,23.831669,24.168812,23.037178,22.513601,23.41404,24.552362,29.103674
4924,24620,23.78399,24.19779,23.029095,22.6802,23.299467,24.051813,27.24713
5124,25620,23.850037,23.883923,22.9883,22.818201,23.168287,23.642368,27.325315
5324,26620,23.76002,23.834751,22.954044,23.511354,23.26435,23.615437,27.387627
5524,27620,23.388227,23.905602,22.96235,23.80283,23.832594,23.646385,27.419533
5724,28620,23.392447,23.855429,22.90901,23.77695,23.843422,23.650497,27.510029
5924,29620,23.349485,23.82346,22.862514,23.745775,23.87303,23.651485,27.510029
6124,30620,22.952679,23.59986,22.823927,23.597658,23.89947,23.763601,27.252548
6324,31620,22.655703,23.64992,22.912317,22.87961,24.220812,23.305277,26.052618
6524,32620,22.363316,23.161104,23.053705,22.72853,24.216015,22.725414,25.176535
6724,33620,25.084435,22.585176,22.926764,22.972466,24.161898,22.827667,22.94738
6924,34620,24.993023,22.141678,23.8876,22.646729,24.307236,22.509146,22.249775
7124,35620,25.027613,21.900059,24.126696,23.075323,24.45079,22.536905,37.622643
7324,36620,25.657316,22.54879,24.48073,23.582355,24.75423,22.791235,38.11826
7524,37620,25.285267,23.186893,25.273796,24.083807,24.949059,23.360102,38.4362
7724,38620,25.042385,23.400803,25.338604,24.112993,25.38099,23.686823,31.867922
7924,39620,25.337751,23.47005,25.499325,24.159063,25.447773,23.762217,32.28827
8124,40620,25.19026,23.732279,25.568968,24.219484,25.59083,23.786386,32.733593
8324,41620,25.171638,23.790087,25.571888,24.230753,25.59947,23.810839,33.51372
8524,42620,25.188164,23.832472,25.593615,24.23282,25.61478,23.814945,33.537323
8724,43620,24.581432,23.983921,25.656002,24.26086,26.118427,31.468521,33.70985
8924,44620,24.146465,23.891459,25.853771,24.23657,26.13426,31.83983,33.762573
9124,45620,24.524902,23.906498,25.792542,24.289793,25.637817,23.840725,34.323616
9324,46620,25.011267,23.956259,26.937693,24.834284,25.534523,23.755278,35.415154
9524,47620,25.283993,23.814766,26.901718,25.129105,25.506268,23.729494,23.722239
9724,48620,25.329199,23.82033,26.890186,25.358833,25.477556,23.663874,38.535862
9924,49620,25.304756,23.819677,26.701843,25.691618,25.513422,23.682882,38.583206
10124,50620,25.17521,23.848698,26.261343,25.866182,25.520061,23.624292,38.573364
10324,51620,25.064665,23.407,25.670305,25.320063,25.410927,23.550129,38.116985
10524,52620,24.664383,22.935076,25.52092,24.485916,25.08506,23.175667,38.02292
10724,53620,25.509829,22.915447,25.359768,23.857676,24.898823,22.923506,37.82416
10924,54620,25.2201,22.950714,25.101103,23.576128,24.315626,22.477278,37.291077
11124,55620,25.185637,22.499031,25.17086,23.478348,23.118254,32.234726,43.60848
11324,56620,25.614208,22.87541,25.612309,24.736145,23.70111,26.915918,30.369287
11524,57620,26.813776,23.620142,25.77812,24.514418,23.9938,29.672628,30.555202
11724,58620,27.041964,23.758741,25.652248,24.792114,24.201477,29.67689,30.64668
11924,59620,27.372206,23.811563,25.387514,24.740566,24.321026,29.766329,30.385174
12124,60620,27.516539,24.04624,25.247747,24.666645,24.277147,29.801853,30.090393
12324,61620,27.714083,24.127508,25.217003,24.658968,24.189312,29.954681,29.880133
12524,62620,27.79248,24.177067,24.86272,24.65943,23.98185,30.06808,29.593966
12724,63620,27.65298,24.379154,24.387419,24.546263,23.102379,30.174805,29.233091
12924,64620,27.383291,24.560291,24.605762,24.766808,23.095947,30.326422,28.427036
13124,65620,27.792793,24.612774,24.647118,25.46505,23.449636,30.289812,32.152077
13324,66620,28.079687,24.597242,24.371878,25.913471,23.471523,30.283535,32.45197
13524,67620,28.187979,24.783745,23.752071,26.2503,23.496193,30.430357,32.49482
13724,68620,28.189835,24.999016,22.93815,26.236198,23.433601,30.441101,32.54085
13924,69620,28.189835,25.035957,22.747316,26.23832,23.906988,30.502647,32.673965
14124,70620,28.190817,25.077137,22.66432,26.313927,24.079706,30.469408,32.855854
