time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
320.000000,CC,0.050000,0.000000,0.000000,0.000000,0.000000
1320.000000,CC,0.010000,0.112245,0.066327,0.178571,0.642857
2320.000000,CC,0.010000,0.165829,0.015075,0.286432,0.532663
3320.000000,CC,0.010000,0.161765,0.004902,0.323529,0.509804
4320.000000,CC,0.010000,0.155340,0.009709,0.373786,0.461165
5320.000000,CC,0.010000,0.163462,0.009615,0.399038,0.427885
6320.000000,CC,0.010000,0.157895,0.009569,0.440191,0.392345
7320.000000,CC,0.010000,0.152381,0.004762,0.471429,0.371429
8320.000000,CC,0.010000,0.151659,0.004739,0.483412,0.360190
9320.000000,CC,0.010000,0.146919,0.004739,0.497630,0.350711
10320.000000,CC,0.010000,0.142180,0.000000,0.521327,0.336493
11320.000000,CC,0.010000,0.127358,0.009434,0.542453,0.320755
12320.000000,CC,0.010000,0.098592,0.004695,0.572770,0.323944
13320.000000,CC,0.010000,0.094340,0.004717,0.580189,0.320755
14320.000000,CC,0.010000,0.093897,0.004695,0.586854,0.314554
