time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1840.000000,CC,-0.040000,0.184080,0.059701,0.164179,0.592040
2840.000000,CC,-0.040000,0.225962,0.033654,0.225962,0.514423
3840.000000,CC,-0.040000,0.223744,0.041096,0.237443,0.497717
4840.000000,CC,-0.040000,0.224215,0.026906,0.278027,0.470852
5840.000000,CC,-0.040000,0.211207,0.017241,0.336207,0.435345
6840.000000,CC,-0.040000,0.181818,0.041322,0.322314,0.454545
7840.000000,CC,-0.040000,0.181132,0.041509,0.279245,0.498113
8840.000000,CC,-0.040000,0.164474,0.039474,0.246711,0.549342
9840.000000,CC,-0.040000,0.159639,0.021084,0.228916,0.590361
10840.000000,CC,-0.040000,0.155882,0.026471,0.232353,0.585294
11840.000000,CC,-0.040000,0.152493,0.014663,0.246334,0.586510
12840.000000,CC,-0.040000,0.158046,0.017241,0.250000,0.574713
13840.000000,CC,-0.040000,0.155620,0.017291,0.276657,0.550432
14840.000000,CC,-0.040000,0.173295,0.017045,0.269886,0.539773
15840.000000,CC,-0.040000,0.170391,0.019553,0.284916,0.525140
16840.000000,CC,-0.040000,0.167123,0.019178,0.287671,0.526027
17840.000000,CC,-0.040000,0.182051,0.025641,0.243590,0.548718
18840.000000,CC,-0.040000,0.192399,0.035629,0.225653,0.546318
19840.000000,CC,-0.040000,0.188596,0.030702,0.208333,0.572368
20840.000000,CC,-0.040000,0.196653,0.035565,0.196653,0.571130
21840.000000,CC,-0.040000,0.185824,0.030651,0.189655,0.593870
22840.000000,CC,-0.040000,0.184991,0.040140,0.184991,0.589878
23840.000000,CC,-0.040000,0.180328,0.047541,0.178689,0.593443
24840.000000,CC,-0.040000,0.179245,0.033019,0.176101,0.611635
25840.000000,CC,-0.040000,0.175516,0.047198,0.166667,0.610619
26840.000000,CC,-0.040000,0.174037,0.038516,0.166904,0.620542
27840.000000,CC,-0.040000,0.169054,0.031519,0.164756,0.634670
28840.000000,CC,-0.040000,0.173789,0.031339,0.165242,0.629630
29840.000000,CC,-0.040000,0.163352,0.035511,0.167614,0.633523
30840.000000,CC,-0.040000,0.161826,0.029046,0.163209,0.645920
31840.000000,CC,-0.040000,0.185736,0.016345,0.175334,0.622585
32840.000000,CC,-0.040000,0.193798,0.017054,0.170543,0.618605
33840.000000,CC,-0.040000,0.189873,0.026899,0.181962,0.601266
34840.000000,CC,-0.040000,0.201575,0.025197,0.177953,0.595276
35840.000000,CC,-0.040000,0.198437,0.026563,0.181250,0.593750
36840.000000,CC,-0.040000,0.204403,0.023585,0.202830,0.569182
37840.000000,CC,-0.040000,0.195956,0.034215,0.192846,0.576983
38840.000000,CC,-0.040000,0.201849,0.032357,0.184900,0.580894
39840.000000,CC,-0.040000,0.191265,0.028614,0.191265,0.588855
40840.000000,CC,-0.040000,0.178674,0.037464,0.182997,0.600865
41840.000000,CC,-0.040000,0.171390,0.035088,0.168691,0.624831
42840.000000,CC,-0.040000,0.173127,0.031008,0.155039,0.640827
43840.000000,CC,-0.040000,0.178439,0.023544,0.158612,0.639405
44840.000000,CC,-0.040000,0.175182,0.038929,0.141119,0.644769
45840.000000,CC,-0.040000,0.170012,0.028335,0.148760,0.652893
46840.000000,CC,-0.040000,0.172018,0.026376,0.150229,0.651376
47840.000000,CC,-0.040000,0.170787,0.028090,0.140449,0.660674
48840.000000,CC,-0.040000,0.161290,0.028921,0.137931,0.671858
49840.000000,CC,-0.040000,0.160695,0.028230,0.145494,0.665581
50840.000000,CC,-0.040000,0.165049,0.024811,0.142395,0.667745
51840.000000,CC,-0.040000,0.190035,0.019699,0.144844,0.645423
52840.000000,CC,-0.040000,0.192261,0.029021,0.140266,0.638452
53840.000000,CC,-0.040000,0.198788,0.031515,0.133333,0.636364
54840.000000,CC,-0.040000,0.200483,0.030193,0.132850,0.636473
55840.000000,CC,-0.040000,0.191981,0.029162,0.133657,0.645200
56840.000000,CC,-0.040000,0.194444,0.024155,0.137681,0.643720
57840.000000,CC,-0.040000,0.189964,0.031063,0.135006,0.643967
58840.000000,CC,-0.040000,0.196172,0.034689,0.129187,0.639952
59840.000000,CC,-0.040000,0.199288,0.032028,0.130486,0.638197
60840.000000,CC,-0.040000,0.204947,0.032980,0.126031,0.636042
61840.000000,CC,-0.040000,0.195749,0.042506,0.118568,0.643177
62840.000000,CC,-0.040000,0.193866,0.040526,0.118291,0.647317
63840.000000,CC,-0.040000,0.197383,0.034896,0.119956,0.647764
64840.000000,CC,-0.040000,0.201954,0.026059,0.119435,0.652552
65840.000000,CC,-0.040000,0.197383,0.030534,0.122137,0.649945
66840.000000,CC,-0.040000,0.200000,0.034783,0.116304,0.648913
67840.000000,CC,-0.040000,0.188098,0.047821,0.113709,0.650372
68840.000000,CC,-0.040000,0.185729,0.036726,0.117524,0.660021
69840.000000,CC,-0.040000,0.181626,0.028511,0.122492,0.667371
