target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.009375,-0.006230,0.001572,0.199409,-0.143194,4,-2
1.005,200.0,0.009868,-0.006908,0.001480,0.118400,-0.115384,2,-2
1.005,300.0,0.015773,-0.018633,-0.001430,-0.018996,0.060355,2,-2
1.005,400.0,0.009434,-0.015038,-0.002802,-0.043791,0.150297,-1,1
1.005,500.0,0.009288,0.000000,0.004644,-0.006515,-0.034760,0,2
1.005,600.0,0.009288,-0.009288,-0.000000,0.015968,-0.101424,0,-1
1.005,700.0,0.012678,-0.011958,0.000360,0.038451,-0.119630,1,-3
1.005,800.0,0.009288,-0.021148,-0.005930,-0.027822,-0.040131,0,-1
1.005,900.0,0.006192,-0.009119,-0.001463,0.047919,0.014579,0,2
1.005,1000.0,0.009288,-0.015480,-0.003096,0.096971,0.040952,1,0
1.005,1100.0,0.009302,-0.012800,-0.001749,0.084011,0.022854,1,0
1.005,1200.0,0.012403,-0.009146,0.001628,0.026613,0.031223,1,0
1.005,1300.0,0.012779,-0.009231,0.001774,-0.010075,-0.027892,0,-1
1.005,1400.0,0.009302,-0.006079,0.001612,-0.008301,-0.025509,-1,1
1.005,1500.0,0.006299,-0.015290,-0.004496,0.014181,0.039349,0,0
1.005,1600.0,0.009449,-0.003130,0.003159,0.036664,-0.023758,0,2
1.005,1700.0,0.009302,-0.012140,-0.001419,0.059147,-0.006591,0,-1
1.005,1800.0,0.009569,-0.006908,0.001330,0.081630,0.002100,0,0
1.005,1900.0,0.009724,-0.006515,0.001605,0.050859,-0.042565,1,-2
1.005,2000.0,0.012520,-0.015083,-0.001282,0.014171,0.058391,0,0
1.005,2100.0,0.012214,-0.005988,0.003113,-0.022516,0.057986,0,2
1.005,2200.0,0.009132,-0.005970,0.001581,-0.017785,-0.001930,-1,0
1.005,2300.0,0.009022,-0.014881,-0.002929,0.004698,0.033314,0,-1
1.005,2400.0,0.009217,-0.009077,0.000070,0.027181,-0.061266,0,-1
1.005,2500.0,0.012365,-0.020864,-0.004250,0.008244,0.111215,1,-1
1.005,2600.0,0.009274,-0.011940,-0.001333,0.007059,0.051886,-1,2
1.005,2700.0,0.012270,-0.008969,0.001651,-0.017795,0.051971,1,0
1.005,2800.0,0.008876,-0.005979,0.001448,0.022439,0.016043,-1,1
1.005,2900.0,0.011834,-0.006042,0.002896,-0.005373,-0.055720,1,0
1.005,3000.0,0.009317,-0.009479,-0.000081,0.023315,-0.103334,0,-1
1.005,3100.0,0.009346,-0.015552,-0.003103,0.046061,0.054988,0,-1
1.005,3200.0,0.012251,-0.011940,0.000155,0.018588,0.102606,1,1
1.005,3300.0,0.006319,-0.002998,0.001660,0.041333,-0.037762,0,3
1.005,3400.0,0.012048,-0.008982,0.001533,-0.003864,-0.180913,1,-3
1.005,3500.0,0.011817,-0.011940,-0.000062,-0.007705,-0.085485,1,0
1.005,3600.0,0.008863,-0.011958,-0.001548,-0.002684,-0.034525,-1,-1
1.005,3700.0,0.006173,-0.008982,-0.001405,0.076192,-0.081832,0,0
1.005,3800.0,0.009259,-0.011994,-0.001367,0.087120,-0.009845,2,-2
1.005,3900.0,0.015432,-0.014948,0.000242,-0.055566,0.127607,1,0
1.005,4000.0,0.003165,-0.003150,0.000007,-0.077132,0.038022,-3,4
1.005,4100.0,0.003135,-0.008955,-0.002910,0.034240,0.013917,0,0
1.005,4200.0,0.012327,-0.008955,0.001686,0.024492,-0.009887,2,-1
1.005,4300.0,0.012327,-0.008982,0.001672,-0.011843,-0.027413,0,0
1.005,4400.0,0.009245,-0.008982,0.000131,-0.009776,-0.020987,-1,0
1.005,4500.0,0.009245,-0.012012,-0.001384,0.012969,0.009992,0,-1
1.005,4600.0,0.009288,-0.009023,0.000133,0.035715,-0.022073,0,1
1.005,4700.0,0.000000,-0.009554,-0.004777,0.058460,-0.053692,0,-1
1.005,4800.0,0.012365,-0.012012,0.000176,0.016217,-0.043509,1,-1
1.005,4900.0,0.012384,-0.012251,0.000066,-0.020118,0.059322,0,0
1.005,5000.0,0.012461,-0.009009,0.001726,-0.056453,0.027073,0,1
1.005,5100.0,0.012384,-0.011958,0.000213,-0.092788,-0.008257,0,1
1.005,5200.0,0.009288,-0.011976,-0.001344,-0.046411,0.015958,-1,0
1.005,5300.0,0.009288,-0.011958,-0.001335,-0.023666,0.033815,0,-1
1.005,5400.0,0.009615,-0.009724,-0.000055,-0.000921,0.057788,0,0
1.005,5500.0,0.009509,-0.009050,0.000229,-0.004761,0.042579,0,2
1.005,5600.0,0.007130,-0.009302,-0.001086,0.017984,-0.094555,0,0
1.005,5700.0,0.009404,-0.012066,-0.001331,0.040729,-0.082048,0,-3
1.005,5800.0,0.010489,-0.013582,-0.001546,0.063474,0.058622,0,1
1.005,5900.0,0.015267,-0.011958,0.001655,0.000491,0.058831,2,1
1.005,6000.0,0.009539,-0.005970,0.001784,-0.032830,0.005168,-1,2
1.005,6100.0,0.009217,-0.002990,0.003114,-0.013039,-0.191848,-1,0
